date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,26,25,0.0,8.7,6,26,02:38 AM,02:30 PM,06:35 AM,05:46 PM,21,28,28,26,30,32,73,4.0,1017,26,9,65,16,Montalegre
2019-01-02,26,21,0.0,7.2,6,19,03:32 AM,03:14 PM,06:35 AM,05:47 PM,21,26,26,25,27,60,78,6.1,1017,26,10,80,14,Montalegre
2019-01-03,26,25,0.0,7.2,6,11,04:24 AM,04:00 PM,06:35 AM,05:47 PM,22,28,28,26,34,60,78,5.4,1018,26,10,79,18,Montalegre
2019-01-04,27,26,0.0,8.7,6,4,05:17 AM,04:47 PM,06:36 AM,05:48 PM,21,28,28,26,31,25,74,4.5,1018,27,9,88,18,Montalegre
2019-01-05,27,26,0.0,8.7,6,0,06:08 AM,05:37 PM,06:36 AM,05:48 PM,21,28,28,26,33,24,73,3.8,1018,27,9,93,18,Montalegre
2019-01-06,27,21,0.0,8.7,6,0,06:57 AM,06:27 PM,06:36 AM,05:49 PM,21,27,27,25,31,28,77,3.0,1017,27,10,99,16,Montalegre
2019-01-07,26,25,0.0,8.7,6,3,07:44 AM,07:17 PM,06:36 AM,05:49 PM,21,28,28,26,27,35,77,2.6,1017,26,9,81,16,Montalegre
2019-01-08,26,25,0.0,8.7,6,10,08:28 AM,08:07 PM,06:37 AM,05:50 PM,20,27,27,25,19,40,74,4.2,1017,26,10,74,11,Montalegre
2019-01-09,26,25,0.0,8.7,6,18,09:10 AM,08:55 PM,06:37 AM,05:51 PM,20,27,27,25,23,48,75,5.9,1016,26,10,96,14,Montalegre
2019-01-10,26,25,0.0,8.7,7,25,09:49 AM,09:44 PM,06:37 AM,05:51 PM,20,27,27,25,19,25,72,0.1,1015,26,10,116,9,Montalegre
2019-01-11,26,25,0.0,8.7,6,32,10:26 AM,10:31 PM,06:37 AM,05:52 PM,20,27,27,26,16,29,73,5.0,1016,26,10,123,8,Montalegre
2019-01-12,26,25,0.0,8.7,6,39,11:04 AM,11:19 PM,06:37 AM,05:52 PM,21,27,27,25,20,38,75,6.9,1017,26,9,100,12,Montalegre
2019-01-13,26,25,0.0,8.7,6,47,11:41 AM,No moonset,06:38 AM,05:53 PM,21,27,27,25,24,40,75,2.9,1017,26,9,64,12,Montalegre
2019-01-14,26,25,0.0,8.7,6,54,12:19 PM,12:08 AM,06:38 AM,05:54 PM,21,27,27,25,23,38,76,4.0,1017,26,9,68,13,Montalegre
2019-01-15,26,25,0.0,8.7,6,61,01:00 PM,12:59 AM,06:38 AM,05:54 PM,21,27,27,25,23,46,76,6.9,1017,26,10,89,9,Montalegre
2019-01-16,26,25,0.0,8.7,6,69,01:45 PM,01:52 AM,06:38 AM,05:55 PM,21,28,28,26,24,34,76,3.3,1018,26,9,101,8,Montalegre
2019-01-17,26,25,0.0,8.7,7,76,02:34 PM,02:49 AM,06:38 AM,05:55 PM,19,27,27,25,21,14,70,0.1,1018,26,10,92,6,Montalegre
2019-01-18,26,25,0.0,8.7,7,83,03:29 PM,03:49 AM,06:38 AM,05:56 PM,19,27,27,26,17,29,67,0.2,1017,26,10,87,5,Montalegre
2019-01-19,26,25,0.0,8.7,6,90,04:29 PM,04:52 AM,06:38 AM,05:57 PM,20,27,27,25,20,41,72,0.6,1017,26,10,83,10,Montalegre
2019-01-20,26,25,0.0,8.7,6,98,05:34 PM,05:55 AM,06:38 AM,05:57 PM,21,27,27,25,23,44,75,1.2,1017,26,10,85,11,Montalegre
2019-01-21,26,25,0.0,8.7,6,100,06:40 PM,06:56 AM,06:38 AM,05:58 PM,21,28,28,26,24,31,75,1.4,1018,26,9,97,13,Montalegre
2019-01-22,26,25,0.0,8.7,6,88,07:45 PM,07:53 AM,06:38 AM,05:58 PM,21,28,28,26,27,30,74,2.8,1019,26,9,82,13,Montalegre
2019-01-23,26,25,0.0,8.7,7,81,08:48 PM,08:46 AM,06:38 AM,05:59 PM,20,27,27,25,32,34,73,0.5,1019,26,10,70,17,Montalegre
2019-01-24,26,25,0.0,8.7,6,73,09:48 PM,09:35 AM,06:38 AM,05:59 PM,20,27,27,25,29,37,74,1.2,1018,26,10,84,15,Montalegre
2019-01-25,26,25,0.0,10.2,6,66,10:45 PM,10:20 AM,06:38 AM,06:00 PM,21,27,27,25,28,51,76,6.9,1018,26,10,87,15,Montalegre
2019-01-26,26,25,0.0,11.6,6,59,11:41 PM,11:04 AM,06:38 AM,06:00 PM,21,27,27,25,32,45,76,5.5,1017,26,10,75,18,Montalegre
2019-01-27,26,25,0.0,11.6,7,51,No moonrise,11:47 AM,06:38 AM,06:01 PM,21,27,27,25,29,41,75,0.4,1016,26,10,93,16,Montalegre
2019-01-28,26,25,0.0,11.6,6,44,12:34 AM,12:29 PM,06:38 AM,06:01 PM,20,27,27,25,27,28,73,0.5,1016,26,10,91,15,Montalegre
2019-01-29,26,23,0.0,11.6,6,37,01:28 AM,01:13 PM,06:38 AM,06:02 PM,19,27,27,25,25,28,70,1.1,1016,26,10,88,13,Montalegre
2019-01-30,27,20,0.0,11.6,6,30,02:20 AM,01:58 PM,06:37 AM,06:02 PM,19,25,25,24,22,25,74,0.1,1016,27,10,91,13,Montalegre
2019-01-31,26,20,0.0,10.2,5,26,03:13 AM,02:45 PM,06:37 AM,06:03 PM,20,25,25,24,26,45,76,1.0,1017,26,10,76,14,Montalegre
2019-02-01,27,20,0.0,10.2,5,8,04:04 AM,03:34 PM,06:37 AM,06:03 PM,20,25,25,24,25,55,77,1.4,1016,27,10,76,14,Montalegre
2019-02-02,26,20,0.0,10.2,5,1,04:54 AM,04:23 PM,06:37 AM,06:04 PM,20,25,25,24,23,54,78,3.5,1016,26,10,83,12,Montalegre
2019-02-03,26,25,0.0,11.6,6,0,05:41 AM,05:13 PM,06:36 AM,06:04 PM,20,27,27,25,22,39,74,1.9,1015,26,10,88,10,Montalegre
2019-02-04,26,25,0.0,11.6,6,0,06:26 AM,06:02 PM,06:36 AM,06:05 PM,21,27,27,26,19,45,75,1.7,1015,26,10,91,10,Montalegre
2019-02-05,26,25,0.0,11.6,6,0,07:09 AM,06:52 PM,06:36 AM,06:05 PM,21,28,28,26,20,35,75,1.1,1015,26,10,120,12,Montalegre
2019-02-06,26,25,0.0,11.6,6,7,07:49 AM,07:40 PM,06:36 AM,06:06 PM,21,28,28,26,20,37,77,4.8,1015,26,9,113,11,Montalegre
2019-02-07,26,25,0.0,11.6,6,14,08:26 AM,08:28 PM,06:35 AM,06:06 PM,21,28,28,26,20,37,74,1.9,1015,26,10,102,9,Montalegre
2019-02-08,26,25,0.0,11.6,6,22,09:04 AM,09:15 PM,06:35 AM,06:07 PM,20,27,27,25,28,46,74,3.4,1015,26,10,84,11,Montalegre
2019-02-09,26,25,0.0,11.6,6,29,09:41 AM,10:03 PM,06:35 AM,06:07 PM,20,27,27,25,27,46,74,4.9,1016,26,10,72,12,Montalegre
2019-02-10,26,25,0.0,11.6,6,37,10:18 AM,10:52 PM,06:34 AM,06:07 PM,21,27,27,25,28,44,76,3.8,1017,26,10,80,17,Montalegre
2019-02-11,26,25,0.0,11.6,6,44,10:57 AM,11:43 PM,06:34 AM,06:08 PM,20,27,27,25,30,26,73,1.5,1017,26,10,80,20,Montalegre
2019-02-12,26,25,0.0,11.6,7,52,11:38 AM,No moonset,06:33 AM,06:08 PM,20,27,27,25,31,15,73,0.8,1018,26,10,84,21,Montalegre
2019-02-13,26,25,0.0,11.6,6,60,12:23 PM,12:36 AM,06:33 AM,06:09 PM,20,27,27,26,31,18,73,1.9,1017,26,10,97,21,Montalegre
2019-02-14,26,25,0.0,11.6,6,67,01:14 PM,01:33 AM,06:33 AM,06:09 PM,21,28,28,26,30,34,75,0.8,1017,26,10,109,20,Montalegre
2019-02-15,26,26,0.0,11.6,6,75,02:10 PM,02:32 AM,06:32 AM,06:09 PM,21,28,28,26,30,22,73,2.8,1017,26,10,115,19,Montalegre
2019-02-16,27,26,0.0,11.6,6,82,03:11 PM,03:34 AM,06:32 AM,06:10 PM,22,28,28,26,24,21,76,0.7,1017,27,10,118,18,Montalegre
2019-02-17,26,25,0.0,11.6,6,90,04:15 PM,04:35 AM,06:31 AM,06:10 PM,21,28,28,26,24,22,75,1.3,1018,26,10,101,16,Montalegre
2019-02-18,26,25,0.0,11.6,6,97,05:21 PM,05:34 AM,06:31 AM,06:10 PM,20,27,27,26,30,10,71,3.0,1019,26,10,82,17,Montalegre
2019-02-19,26,25,0.0,11.6,6,100,06:25 PM,06:29 AM,06:30 AM,06:11 PM,20,27,27,26,30,14,71,1.4,1019,26,10,77,17,Montalegre
2019-02-20,26,25,0.0,11.6,6,88,07:29 PM,07:21 AM,06:30 AM,06:11 PM,20,27,27,25,32,14,71,1.5,1018,26,10,74,20,Montalegre
2019-02-21,26,25,0.0,11.6,6,80,08:29 PM,08:09 AM,06:29 AM,06:11 PM,20,27,27,26,34,17,71,2.1,1018,26,9,78,21,Montalegre
2019-02-22,26,25,0.0,11.6,6,73,09:28 PM,08:56 AM,06:28 AM,06:12 PM,21,28,28,26,32,38,76,3.6,1019,26,9,82,18,Montalegre
2019-02-23,26,25,0.0,11.6,6,65,10:24 PM,09:40 AM,06:28 AM,06:12 PM,20,28,28,26,31,38,72,2.5,1019,26,9,70,17,Montalegre
2019-02-24,26,25,0.0,11.6,6,57,11:20 PM,10:24 AM,06:27 AM,06:12 PM,20,27,27,26,34,39,71,2.5,1018,26,9,71,21,Montalegre
2019-02-25,26,25,0.0,11.6,6,50,No moonrise,11:09 AM,06:27 AM,06:13 PM,20,28,28,26,29,30,73,1.4,1018,26,9,82,18,Montalegre
2019-02-26,26,25,0.0,11.6,6,42,12:15 AM,11:55 AM,06:26 AM,06:13 PM,21,27,27,25,34,38,76,6.8,1019,26,10,73,19,Montalegre
2019-02-27,26,25,0.0,11.6,6,35,01:08 AM,12:41 PM,06:26 AM,06:13 PM,21,27,27,25,26,42,77,2.5,1018,26,9,84,17,Montalegre
2019-02-28,26,25,0.0,11.6,6,27,02:00 AM,01:30 PM,06:25 AM,06:13 PM,21,27,27,25,28,36,76,3.4,1019,26,10,98,17,Montalegre
2019-03-01,26,25,0.0,11.6,6,26,02:51 AM,02:19 PM,06:24 AM,06:14 PM,20,27,27,26,30,16,72,1.7,1019,26,10,99,18,Montalegre
2019-03-02,26,25,0.0,11.6,6,19,03:39 AM,03:09 PM,06:24 AM,06:14 PM,20,27,27,25,29,24,74,4.5,1018,26,9,88,18,Montalegre
2019-03-03,26,25,0.0,11.6,6,12,04:24 AM,03:59 PM,06:23 AM,06:14 PM,21,27,27,25,29,30,75,3.9,1017,26,9,97,17,Montalegre
2019-03-04,26,25,0.0,11.6,6,4,05:07 AM,04:48 PM,06:22 AM,06:14 PM,21,28,28,25,35,52,77,6.3,1017,26,10,98,20,Montalegre
2019-03-05,26,25,0.0,11.6,6,0,05:48 AM,05:37 PM,06:22 AM,06:15 PM,21,27,27,25,34,39,76,5.7,1017,26,9,93,22,Montalegre
2019-03-06,26,25,0.0,11.6,6,0,06:27 AM,06:25 PM,06:21 AM,06:15 PM,21,27,27,25,29,39,77,2.1,1017,26,10,95,21,Montalegre
