date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,26,12,0.0,8.7,5,26,02:37 AM,02:08 PM,07:08 AM,05:29 PM,6,17,17,17,9,7,48,0.0,1020,26,10,250,6,Mora
2019-01-02,24,14,0.0,8.7,6,19,03:35 AM,02:47 PM,07:08 AM,05:29 PM,6,19,19,19,8,1,46,0.0,1021,24,10,162,6,Mora
2019-01-03,23,13,0.0,8.7,5,11,04:31 AM,03:29 PM,07:09 AM,05:30 PM,5,17,17,17,15,2,49,0.0,1021,23,10,296,10,Mora
2019-01-04,22,10,0.0,8.7,5,4,05:27 AM,04:13 PM,07:09 AM,05:31 PM,4,15,16,15,11,9,47,0.0,1020,22,10,280,7,Mora
2019-01-05,23,12,0.0,8.7,5,0,06:20 AM,05:01 PM,07:09 AM,05:32 PM,6,17,18,17,14,3,48,0.0,1020,23,10,103,10,Mora
2019-01-06,21,14,0.0,7.1,4,0,07:11 AM,05:51 PM,07:09 AM,05:32 PM,7,17,17,17,14,29,53,1.0,1019,21,10,83,9,Mora
2019-01-07,24,12,0.0,8.7,5,3,07:58 AM,06:43 PM,07:09 AM,05:33 PM,7,16,17,16,16,6,53,0.9,1019,24,10,260,9,Mora
2019-01-08,22,12,0.0,8.7,5,10,08:41 AM,07:36 PM,07:09 AM,05:34 PM,6,15,16,15,20,24,55,0.0,1017,22,10,299,13,Mora
2019-01-09,23,11,0.0,8.7,5,18,09:20 AM,08:28 PM,07:09 AM,05:35 PM,6,15,16,15,15,0,54,0.0,1017,23,10,292,11,Mora
2019-01-10,23,11,0.0,8.7,5,25,09:56 AM,09:21 PM,07:10 AM,05:35 PM,6,15,16,15,10,5,55,0.0,1017,23,10,275,7,Mora
2019-01-11,24,12,0.0,8.7,6,32,10:30 AM,10:13 PM,07:10 AM,05:36 PM,8,18,18,18,8,3,54,0.0,1019,24,10,143,6,Mora
2019-01-12,25,15,0.0,8.7,5,39,11:03 AM,11:06 PM,07:10 AM,05:37 PM,8,18,18,18,7,10,54,0.0,1018,25,10,159,5,Mora
2019-01-13,25,15,0.0,8.7,5,47,11:35 AM,11:59 PM,07:09 AM,05:38 PM,5,18,18,18,12,5,42,0.0,1019,25,10,198,7,Mora
2019-01-14,22,12,0.0,8.7,5,54,12:08 PM,No moonset,07:09 AM,05:39 PM,4,14,15,14,27,0,50,0.0,1018,22,10,297,17,Mora
2019-01-15,21,10,0.0,7.1,4,61,12:42 PM,12:54 AM,07:09 AM,05:40 PM,3,13,14,13,21,17,49,0.0,1017,21,10,292,13,Mora
2019-01-16,22,11,0.0,8.7,5,69,01:21 PM,01:51 AM,07:09 AM,05:40 PM,5,15,16,15,8,9,51,0.0,1018,22,10,161,5,Mora
