date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,31,18,0.0,12.9,6,26,02:02 AM,02:48 PM,05:35 AM,06:26 PM,19,25,25,24,9,17,76,3.1,1014,31,10,142,6,Mourao
2019-01-02,32,20,0.0,12.9,7,19,02:46 AM,03:40 PM,05:36 AM,06:27 PM,18,26,26,24,12,15,69,0.4,1015,32,10,113,7,Mourao
2019-01-03,32,17,0.0,12.9,7,11,03:32 AM,04:32 PM,05:37 AM,06:27 PM,16,24,24,24,10,5,66,0.0,1014,32,10,96,6,Mourao
2019-01-04,32,17,0.0,12.9,7,4,04:19 AM,05:24 PM,05:37 AM,06:28 PM,16,25,25,24,9,8,63,0.0,1014,32,10,79,5,Mourao
2019-01-05,33,19,0.0,12.9,6,0,05:08 AM,06:14 PM,05:38 AM,06:28 PM,17,26,26,25,11,31,62,0.4,1013,33,10,77,6,Mourao
2019-01-06,31,18,0.0,12.9,6,0,05:58 AM,07:02 PM,05:38 AM,06:28 PM,18,24,24,23,7,34,76,12.1,1014,31,8,102,4,Mourao
2019-01-07,30,16,0.0,12.9,6,3,06:47 AM,07:49 PM,05:39 AM,06:28 PM,17,24,24,23,9,20,72,4.0,1014,30,9,147,6,Mourao
2019-01-08,30,18,0.0,12.9,7,10,07:37 AM,08:32 PM,05:39 AM,06:29 PM,17,24,24,23,12,30,72,0.2,1014,30,10,108,8,Mourao
2019-01-09,30,19,0.0,12.9,7,18,08:25 AM,09:14 PM,05:40 AM,06:29 PM,17,25,25,24,13,33,69,0.4,1013,30,9,112,8,Mourao
2019-01-10,30,19,0.0,12.9,6,25,09:13 AM,09:53 PM,05:41 AM,06:29 PM,19,24,24,23,9,44,79,13.2,1013,30,8,167,6,Mourao
2019-01-11,31,18,0.0,12.9,6,32,09:59 AM,10:31 PM,05:41 AM,06:29 PM,19,25,25,24,8,39,78,4.2,1014,31,9,169,5,Mourao
2019-01-12,31,18,0.0,12.9,6,39,10:45 AM,11:10 PM,05:42 AM,06:30 PM,19,26,26,24,10,22,75,4.4,1013,31,10,126,5,Mourao
2019-01-13,31,19,0.0,12.9,6,47,11:33 AM,11:49 PM,05:42 AM,06:30 PM,19,26,26,24,11,26,72,1.5,1013,31,10,132,7,Mourao
2019-01-14,32,18,0.0,12.9,7,54,12:21 PM,No moonset,05:43 AM,06:30 PM,18,26,26,24,11,22,70,0.1,1014,32,10,117,7,Mourao
2019-01-15,30,20,0.0,12.9,6,61,01:12 PM,12:29 AM,05:43 AM,06:30 PM,20,26,26,24,10,37,77,10.9,1014,30,10,126,6,Mourao
2019-01-16,33,19,0.0,12.9,7,69,02:05 PM,01:13 AM,05:44 AM,06:30 PM,18,27,27,25,9,21,68,0.0,1014,33,10,120,6,Mourao
2019-01-17,33,18,0.0,12.9,7,76,03:03 PM,02:01 AM,05:44 AM,06:30 PM,18,27,27,25,9,14,65,0.0,1014,33,10,123,6,Mourao
2019-01-18,33,17,0.0,12.9,7,83,04:03 PM,02:53 AM,05:45 AM,06:31 PM,16,25,25,24,9,11,63,0.0,1013,33,10,129,6,Mourao
2019-01-19,33,17,0.0,12.9,7,90,05:06 PM,03:52 AM,05:46 AM,06:31 PM,16,25,25,25,10,14,59,0.0,1012,33,10,120,6,Mourao
2019-01-20,33,17,0.0,12.9,7,98,06:09 PM,04:54 AM,05:46 AM,06:31 PM,15,26,26,25,12,24,56,0.0,1013,33,10,94,7,Mourao
2019-01-21,34,18,0.0,12.8,7,100,07:09 PM,05:59 AM,05:47 AM,06:31 PM,16,27,27,25,11,20,58,0.0,1013,34,10,109,7,Mourao
2019-01-22,34,18,0.0,12.8,7,88,08:05 PM,07:04 AM,05:47 AM,06:31 PM,15,26,26,25,12,17,55,0.0,1013,34,10,126,7,Mourao
2019-01-23,34,17,0.0,12.8,7,81,08:58 PM,08:07 AM,05:48 AM,06:31 PM,15,27,27,26,11,29,55,0.0,1013,34,10,111,7,Mourao
2019-01-24,32,19,0.0,12.8,6,73,09:47 PM,09:07 AM,05:48 AM,06:31 PM,16,26,26,25,10,18,60,5.0,1013,32,10,99,6,Mourao
2019-01-25,31,18,0.0,12.8,6,66,10:32 PM,10:04 AM,05:49 AM,06:31 PM,19,25,25,24,7,24,77,26.5,1013,31,8,97,4,Mourao
2019-01-26,30,17,0.0,12.8,6,59,11:17 PM,10:59 AM,05:49 AM,06:31 PM,19,24,24,23,9,27,81,19.4,1014,30,8,175,5,Mourao
