date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,12,10,0.0,8.7,3,26,03:26 AM,02:24 PM,08:01 AM,05:27 PM,1,8,11,8,20,37,52,4.3,1018,12,9,34,14,Nisa
2019-01-02,10,8,0.0,8.7,2,19,04:28 AM,02:59 PM,08:02 AM,05:27 PM,1,8,9,8,12,17,55,1.7,1013,10,10,136,8,Nisa
2019-01-03,7,5,0.0,8.7,2,11,05:29 AM,03:38 PM,08:02 AM,05:28 PM,2,4,7,4,22,47,70,11.5,1010,7,9,47,14,Nisa
2019-01-04,5,4,0.0,7.0,1,4,06:27 AM,04:20 PM,08:02 AM,05:29 PM,-1,2,5,2,20,45,67,11.9,1017,5,9,59,15,Nisa
2019-01-05,7,4,0.9,8.7,2,0,07:22 AM,05:07 PM,08:02 AM,05:30 PM,-3,2,6,2,20,31,56,1.1,1017,7,10,164,14,Nisa
2019-01-06,8,6,0.0,8.7,3,0,08:12 AM,05:58 PM,08:02 AM,05:31 PM,-2,4,7,4,26,12,54,0.1,1015,8,10,164,18,Nisa
2019-01-07,7,4,0.0,8.7,3,3,08:56 AM,06:52 PM,08:02 AM,05:32 PM,-4,2,6,2,25,11,50,0.0,1020,7,10,233,18,Nisa
2019-01-08,6,3,0.0,8.7,2,10,09:36 AM,07:48 PM,08:02 AM,05:33 PM,-7,2,5,2,12,16,44,0.1,1021,6,10,128,9,Nisa
2019-01-09,12,6,0.0,3.5,3,18,10:11 AM,08:45 PM,08:01 AM,05:34 PM,7,7,10,7,35,98,83,50.0,1005,12,7,169,24,Nisa
2019-01-10,12,10,0.0,7.0,3,25,10:42 AM,09:42 PM,08:01 AM,05:35 PM,7,9,11,9,40,58,76,28.6,1002,12,8,226,23,Nisa
2019-01-11,9,8,0.0,8.7,2,32,11:11 AM,10:39 PM,08:01 AM,05:36 PM,3,8,9,8,10,42,69,8.3,1013,9,9,93,7,Nisa
2019-01-12,10,8,0.0,8.7,3,39,11:39 AM,11:38 PM,08:01 AM,05:37 PM,1,6,9,6,23,5,59,0.0,1012,10,10,105,16,Nisa
2019-01-13,10,7,0.0,8.7,3,47,12:05 PM,No moonset,08:01 AM,05:38 PM,-1,6,8,6,18,21,51,0.0,1011,10,10,189,11,Nisa
2019-01-14,9,8,0.0,3.5,2,54,12:33 PM,12:36 AM,08:00 AM,05:39 PM,3,6,9,6,18,63,68,2.2,1004,9,8,98,12,Nisa
2019-01-15,10,7,0.0,8.7,3,61,01:03 PM,01:38 AM,08:00 AM,05:40 PM,-1,5,9,5,30,12,53,0.1,1011,10,10,182,20,Nisa
2019-01-16,10,6,0.0,8.7,3,69,01:37 PM,02:40 AM,08:00 AM,05:41 PM,-3,6,8,6,17,2,46,0.0,1023,10,10,183,12,Nisa
2019-01-17,12,9,0.0,8.7,4,76,02:16 PM,03:47 AM,07:59 AM,05:42 PM,4,9,10,9,18,19,66,0.5,1021,12,10,103,13,Nisa
2019-01-18,12,11,0.0,3.7,3,83,03:02 PM,04:54 AM,07:59 AM,05:43 PM,9,10,12,10,25,85,83,46.2,1018,12,7,133,17,Nisa
