date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,16,6,0.0,8.7,4,26,03:24 AM,02:19 PM,07:56 AM,05:18 PM,0,9,9,9,8,24,55,0.0,1032,16,10,187,4,Penacova
2019-01-02,16,6,0.0,8.7,4,19,04:26 AM,02:54 PM,07:56 AM,05:19 PM,4,9,9,9,7,4,69,0.0,1030,16,10,177,4,Penacova
2019-01-03,17,4,0.0,8.7,3,11,05:28 AM,03:32 PM,07:56 AM,05:19 PM,2,7,8,7,10,0,65,0.0,1028,17,10,74,5,Penacova
2019-01-04,15,4,0.0,8.7,3,4,06:26 AM,04:15 PM,07:56 AM,05:20 PM,0,7,7,7,9,5,62,0.0,1031,15,10,119,5,Penacova
2019-01-05,17,4,0.0,8.7,4,0,07:20 AM,05:02 PM,07:56 AM,05:21 PM,0,8,8,8,9,1,57,0.0,1034,17,10,111,5,Penacova
2019-01-06,18,5,0.0,8.7,4,0,08:10 AM,05:54 PM,07:56 AM,05:22 PM,-1,8,9,8,11,0,49,0.0,1032,18,10,68,6,Penacova
2019-01-07,18,5,0.0,8.7,4,3,08:54 AM,06:48 PM,07:56 AM,05:23 PM,-2,8,9,8,14,0,47,0.0,1031,18,10,69,7,Penacova
2019-01-08,18,5,0.0,8.7,4,10,09:33 AM,07:44 PM,07:56 AM,05:24 PM,0,8,9,8,14,2,55,0.0,1030,18,10,72,7,Penacova
2019-01-09,19,6,0.0,8.7,4,18,10:07 AM,08:41 PM,07:56 AM,05:25 PM,4,9,10,9,13,2,66,0.0,1024,19,10,62,7,Penacova
2019-01-10,14,5,0.0,8.7,3,25,10:38 AM,09:39 PM,07:56 AM,05:26 PM,2,6,8,6,20,1,64,0.0,1021,14,10,72,11,Penacova
2019-01-11,13,3,0.0,8.7,3,32,11:07 AM,10:36 PM,07:55 AM,05:27 PM,-2,4,6,4,19,0,56,0.0,1027,13,10,64,11,Penacova
2019-01-12,15,4,0.0,8.7,3,39,11:34 AM,11:35 PM,07:55 AM,05:28 PM,2,7,8,7,12,1,70,0.0,1030,15,10,66,7,Penacova
2019-01-13,16,4,0.0,8.7,3,47,12:00 PM,No moonset,07:55 AM,05:29 PM,3,8,8,8,11,1,72,0.0,1030,16,10,103,6,Penacova
2019-01-14,16,4,0.0,8.7,3,54,12:28 PM,12:34 AM,07:55 AM,05:30 PM,2,8,9,8,8,17,66,0.0,1025,16,10,174,4,Penacova
2019-01-15,15,7,0.0,5.3,3,61,12:58 PM,01:36 AM,07:54 AM,05:32 PM,5,9,10,9,8,42,73,0.0,1021,15,10,164,4,Penacova
2019-01-16,13,6,0.0,3.7,2,69,01:32 PM,02:39 AM,07:54 AM,05:33 PM,7,8,8,8,7,75,91,1.2,1019,13,5,209,4,Penacova
2019-01-17,12,5,0.0,8.7,2,76,02:10 PM,03:46 AM,07:53 AM,05:34 PM,5,6,7,6,9,46,86,0.0,1021,12,5,157,6,Penacova
2019-01-18,10,3,0.0,5.4,2,83,02:57 PM,04:54 AM,07:53 AM,05:35 PM,3,6,6,6,7,50,81,0.7,1021,10,9,158,4,Penacova
2019-01-19,13,6,0.0,3.7,2,90,03:53 PM,06:01 AM,07:52 AM,05:36 PM,8,7,9,7,17,94,96,33.5,1015,13,6,201,10,Penacova
2019-01-20,13,6,0.0,8.7,3,98,04:58 PM,07:06 AM,07:52 AM,05:37 PM,6,6,9,6,18,20,85,2.4,1018,13,9,336,11,Penacova
2019-01-21,13,3,0.0,8.7,2,100,06:09 PM,08:03 AM,07:51 AM,05:38 PM,4,6,7,6,8,6,83,0.0,1024,13,7,157,5,Penacova
2019-01-22,10,4,0.0,3.7,2,88,07:25 PM,08:53 AM,07:51 AM,05:40 PM,6,5,7,5,10,77,93,3.3,1022,10,7,204,6,Penacova
2019-01-23,11,8,0.0,3.7,3,81,08:39 PM,09:36 AM,07:50 AM,05:41 PM,9,7,10,7,25,100,94,3.2,1018,11,5,321,16,Penacova
2019-01-24,14,9,0.0,5.4,3,73,09:53 PM,10:13 AM,07:49 AM,05:42 PM,10,10,11,10,17,63,93,1.2,1017,14,6,291,11,Penacova
2019-01-25,19,8,0.0,8.7,4,66,11:03 PM,10:47 AM,07:49 AM,05:43 PM,8,11,11,11,10,5,79,0.0,1020,19,9,132,6,Penacova
2019-01-26,17,8,0.0,8.7,4,59,No moonrise,11:19 AM,07:48 AM,05:44 PM,6,10,11,10,9,21,73,0.0,1021,17,10,197,5,Penacova
2019-01-27,13,7,0.0,8.7,3,51,12:10 AM,11:50 AM,07:47 AM,05:45 PM,6,7,9,7,16,37,81,0.1,1022,13,8,295,11,Penacova
2019-01-28,12,6,0.0,3.8,2,44,01:17 AM,12:21 PM,07:46 AM,05:47 PM,8,8,9,8,12,81,92,1.8,1025,12,9,277,8,Penacova
2019-01-29,12,7,0.0,3.8,3,37,02:20 AM,12:55 PM,07:45 AM,05:48 PM,8,8,9,8,15,89,93,1.8,1021,12,6,245,10,Penacova
2019-01-30,11,3,0.0,3.8,2,30,03:22 AM,01:33 PM,07:45 AM,05:49 PM,8,7,8,7,17,92,92,20.8,1014,11,9,232,10,Penacova
2019-01-31,13,12,0.0,3.8,3,26,04:20 AM,02:13 PM,07:44 AM,05:50 PM,11,10,12,10,33,100,93,44.6,1005,13,7,258,21,Penacova
2019-02-01,8,5,0.0,5.4,2,8,05:19 AM,02:56 PM,07:45 AM,05:49 PM,4,3,7,3,45,76,79,34.9,997,8,7,283,25,Penacova
2019-02-02,9,3,0.0,8.7,3,1,06:10 AM,03:45 PM,07:44 AM,05:50 PM,1,4,6,4,16,14,74,0.0,1018,9,10,317,10,Penacova
2019-02-03,11,2,0.0,7.1,2,0,06:55 AM,04:38 PM,07:43 AM,05:51 PM,-1,5,6,5,6,18,67,0.0,1029,11,10,155,4,Penacova
2019-02-04,13,4,0.0,8.7,3,0,07:36 AM,05:35 PM,07:42 AM,05:53 PM,-0,7,8,7,8,27,58,0.0,1031,13,10,150,5,Penacova
2019-02-05,16,7,0.0,8.7,4,0,08:11 AM,06:32 PM,07:41 AM,05:54 PM,6,10,10,10,8,10,78,0.0,1030,16,10,144,5,Penacova
2019-02-06,15,7,0.0,8.7,4,7,08:42 AM,07:30 PM,07:40 AM,05:55 PM,6,10,10,10,7,8,75,0.0,1027,15,10,143,5,Penacova
2019-02-07,14,7,0.0,8.7,4,14,09:11 AM,08:28 PM,07:39 AM,05:56 PM,6,9,9,9,6,43,82,0.3,1026,14,10,152,4,Penacova
2019-02-08,11,4,0.0,5.5,2,22,09:38 AM,09:27 PM,07:38 AM,05:58 PM,6,7,8,7,8,61,87,1.3,1024,11,7,151,6,Penacova
2019-02-09,12,8,0.0,3.8,3,29,10:03 AM,10:26 PM,07:36 AM,05:59 PM,7,9,10,9,11,94,87,2.9,1022,12,8,182,8,Penacova
2019-02-10,14,10,0.0,8.5,3,37,10:29 AM,11:26 PM,07:35 AM,06:00 PM,9,10,11,10,14,61,87,23.1,1022,14,8,242,10,Penacova
2019-02-11,18,6,0.0,10.7,4,44,10:57 AM,No moonset,07:34 AM,06:01 PM,5,11,11,11,5,3,69,0.0,1030,18,10,82,4,Penacova
2019-02-12,17,6,0.0,10.7,4,52,11:27 AM,12:28 AM,07:33 AM,06:03 PM,3,10,11,10,12,18,59,0.0,1030,17,10,95,7,Penacova
2019-02-13,20,9,0.0,10.7,4,60,12:02 PM,01:32 AM,07:31 AM,06:04 PM,4,12,13,12,10,2,56,0.0,1029,20,10,136,6,Penacova
2019-02-14,19,9,0.0,10.8,4,67,12:43 PM,02:37 AM,07:30 AM,06:05 PM,5,12,13,12,17,4,61,0.0,1026,19,10,91,10,Penacova
2019-02-15,20,8,0.0,5.4,3,75,01:32 PM,03:44 AM,07:29 AM,06:06 PM,5,12,12,12,14,54,61,0.0,1025,20,10,70,7,Penacova
2019-02-16,21,8,0.0,10.8,5,82,02:30 PM,04:48 AM,07:27 AM,06:07 PM,5,13,14,13,10,18,58,0.0,1024,21,10,128,6,Penacova
2019-02-17,15,8,0.0,10.1,3,90,03:38 PM,05:48 AM,07:26 AM,06:09 PM,5,10,11,10,10,37,70,1.2,1020,15,10,179,6,Penacova
2019-02-18,13,7,0.0,10.1,3,97,04:52 PM,06:41 AM,07:25 AM,06:10 PM,6,9,9,9,8,65,81,8.9,1019,13,8,138,5,Penacova
2019-02-19,14,3,0.0,10.9,3,100,06:08 PM,07:27 AM,07:23 AM,06:11 PM,1,8,8,8,8,13,65,0.0,1021,14,10,135,5,Penacova
2019-02-20,15,5,0.0,10.9,4,88,07:25 PM,08:07 AM,07:22 AM,06:12 PM,2,9,9,9,9,25,64,0.0,1022,15,10,132,6,Penacova
2019-02-21,19,8,0.0,10.9,4,80,08:40 PM,08:42 AM,07:20 AM,06:14 PM,6,12,12,12,16,16,68,0.0,1025,19,10,112,10,Penacova
2019-02-22,20,9,0.0,11.0,4,73,09:53 PM,09:15 AM,07:19 AM,06:15 PM,5,13,14,13,16,21,59,0.0,1028,20,10,108,9,Penacova
