date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,14,6,0.0,8.7,3,26,03:19 AM,02:17 PM,07:50 AM,05:17 PM,1,9,9,9,6,21,58,0.0,1032,14,10,147,3,Portalegre
2019-01-02,14,6,0.0,8.7,3,19,04:21 AM,02:52 PM,07:50 AM,05:18 PM,3,9,9,9,5,14,67,0.0,1030,14,10,288,3,Portalegre
2019-01-03,11,4,0.0,8.7,3,11,05:22 AM,03:31 PM,07:50 AM,05:19 PM,2,6,7,6,10,1,71,0.0,1028,11,10,68,6,Portalegre
2019-01-04,11,4,0.0,8.7,3,4,06:19 AM,04:14 PM,07:50 AM,05:20 PM,2,6,7,6,9,1,71,0.0,1030,11,10,72,5,Portalegre
2019-01-05,11,4,0.0,8.7,3,0,07:14 AM,05:02 PM,07:50 AM,05:21 PM,0,6,7,6,8,0,64,0.0,1034,11,10,59,4,Portalegre
2019-01-06,12,4,0.0,8.7,3,0,08:03 AM,05:53 PM,07:50 AM,05:22 PM,-2,7,7,7,8,0,55,0.0,1032,12,10,87,4,Portalegre
2019-01-07,13,4,0.0,8.7,3,3,08:48 AM,06:47 PM,07:50 AM,05:23 PM,-2,7,7,7,12,0,50,0.0,1030,13,10,40,6,Portalegre
2019-01-08,12,4,0.0,8.7,3,10,09:27 AM,07:43 PM,07:50 AM,05:24 PM,0,7,7,7,11,2,61,0.0,1030,12,10,46,6,Portalegre
2019-01-09,14,6,0.0,8.7,4,18,10:02 AM,08:39 PM,07:50 AM,05:25 PM,4,9,9,9,10,2,72,0.0,1023,14,10,75,5,Portalegre
2019-01-10,12,6,0.0,8.7,3,25,10:33 AM,09:37 PM,07:50 AM,05:26 PM,3,6,8,6,15,1,71,0.0,1021,12,10,50,8,Portalegre
2019-01-11,10,3,0.0,8.7,3,32,11:02 AM,10:33 PM,07:49 AM,05:27 PM,-3,4,5,4,13,0,57,0.0,1027,10,10,52,7,Portalegre
2019-01-12,10,3,0.0,8.7,3,39,11:30 AM,11:32 PM,07:49 AM,05:28 PM,1,4,6,4,12,1,71,0.0,1030,10,10,45,7,Portalegre
2019-01-13,11,3,0.0,8.7,3,47,11:57 AM,No moonset,07:49 AM,05:29 PM,2,6,6,6,9,1,74,0.0,1029,11,10,46,5,Portalegre
2019-01-14,13,5,0.0,8.7,3,54,12:25 PM,12:30 AM,07:49 AM,05:30 PM,2,8,8,8,5,16,68,0.0,1024,13,10,175,2,Portalegre
2019-01-15,13,7,0.0,5.4,2,61,12:55 PM,01:31 AM,07:48 AM,05:31 PM,4,9,9,9,6,32,74,0.0,1021,13,10,123,3,Portalegre
2019-01-16,10,4,0.0,7.0,2,69,01:30 PM,02:34 AM,07:48 AM,05:32 PM,5,7,7,7,6,37,86,0.0,1020,10,9,226,4,Portalegre
2019-01-17,11,6,0.0,8.7,2,76,02:09 PM,03:40 AM,07:47 AM,05:33 PM,5,7,8,7,9,45,85,0.0,1020,11,6,196,6,Portalegre
2019-01-18,9,3,0.0,7.0,2,83,02:56 PM,04:48 AM,07:47 AM,05:34 PM,2,5,6,5,10,38,79,0.0,1021,9,9,171,5,Portalegre
2019-01-19,11,5,0.0,3.7,2,90,03:53 PM,05:55 AM,07:46 AM,05:35 PM,7,6,8,6,15,96,97,4.1,1017,11,4,212,9,Portalegre
2019-01-20,11,7,0.0,8.7,2,98,04:57 PM,06:59 AM,07:46 AM,05:36 PM,6,7,9,7,21,25,84,0.0,1016,11,9,312,13,Portalegre
2019-01-21,11,5,0.0,8.7,3,100,06:08 PM,07:57 AM,07:45 AM,05:37 PM,3,6,7,6,13,8,77,0.0,1023,11,10,306,7,Portalegre
2019-01-22,10,3,0.0,5.4,2,88,07:23 PM,08:47 AM,07:45 AM,05:39 PM,4,5,7,5,17,64,83,0.2,1022,10,9,289,11,Portalegre
2019-01-23,12,6,0.0,5.4,2,81,08:37 PM,09:31 AM,07:44 AM,05:40 PM,6,6,9,6,36,40,83,0.0,1018,12,10,303,21,Portalegre
2019-01-24,17,9,0.0,8.7,4,73,09:50 PM,10:09 AM,07:44 AM,05:41 PM,8,11,12,11,24,7,81,0.0,1016,17,10,323,13,Portalegre
2019-01-25,16,9,0.0,8.7,4,66,10:59 PM,10:43 AM,07:43 AM,05:42 PM,7,11,11,11,12,1,77,0.0,1019,16,10,84,7,Portalegre
2019-01-26,15,7,0.0,8.7,4,59,No moonrise,11:16 AM,07:42 AM,05:43 PM,6,10,10,10,8,11,74,0.0,1020,15,10,127,4,Portalegre
2019-01-27,12,4,0.0,8.7,2,51,12:06 AM,11:47 AM,07:42 AM,05:44 PM,4,6,7,6,17,9,80,0.0,1021,12,8,298,10,Portalegre
2019-01-28,12,4,0.0,8.7,3,44,01:12 AM,12:19 PM,07:41 AM,05:45 PM,5,5,8,5,24,19,84,0.0,1024,12,10,307,15,Portalegre
2019-01-29,10,4,0.0,3.8,2,37,02:15 AM,12:54 PM,07:40 AM,05:47 PM,7,5,8,5,23,74,91,0.6,1021,10,6,280,14,Portalegre
2019-01-30,9,3,0.0,5.4,2,30,03:16 AM,01:32 PM,07:39 AM,05:48 PM,7,5,7,5,22,84,93,3.0,1016,9,8,261,14,Portalegre
2019-01-31,10,8,0.0,3.8,3,26,04:14 AM,02:13 PM,07:38 AM,05:49 PM,9,7,10,7,39,100,95,7.3,1007,10,9,251,22,Portalegre
2019-02-01,7,5,0.0,3.8,2,8,05:10 AM,02:58 PM,07:37 AM,05:50 PM,5,4,7,4,39,66,87,17.6,1001,7,9,274,23,Portalegre
2019-02-02,8,4,0.0,8.7,3,1,06:00 AM,03:48 PM,07:36 AM,05:51 PM,1,3,6,3,22,9,74,0.0,1016,8,10,307,15,Portalegre
2019-02-03,10,2,0.0,8.7,3,0,06:46 AM,04:41 PM,07:36 AM,05:52 PM,-1,4,5,4,10,6,69,0.0,1028,10,10,204,6,Portalegre
2019-02-04,12,2,0.0,8.7,3,0,07:27 AM,05:37 PM,07:35 AM,05:54 PM,-1,6,6,6,6,4,59,0.0,1030,12,10,153,3,Portalegre
2019-02-05,15,6,0.0,8.7,4,0,08:03 AM,06:33 PM,07:34 AM,05:55 PM,3,9,9,9,5,12,65,0.0,1029,15,10,67,3,Portalegre
2019-02-06,15,7,0.0,8.7,4,7,08:35 AM,07:30 PM,07:33 AM,05:56 PM,6,10,10,10,6,13,75,0.0,1026,15,10,154,3,Portalegre
2019-02-07,15,5,0.0,8.7,4,14,09:05 AM,08:27 PM,07:32 AM,05:57 PM,4,9,9,9,6,12,72,0.0,1025,15,10,260,3,Portalegre
2019-02-08,13,6,0.0,8.7,3,22,09:33 AM,09:25 PM,07:30 AM,05:58 PM,6,8,8,8,7,3,84,0.0,1024,13,10,184,4,Portalegre
2019-02-09,13,5,0.0,8.7,2,29,10:00 AM,10:22 PM,07:29 AM,05:59 PM,6,8,8,8,9,33,85,0.0,1024,13,8,255,5,Portalegre
2019-02-10,13,5,0.0,5.4,2,37,10:27 AM,11:21 PM,07:28 AM,06:00 PM,8,7,9,7,17,78,92,1.2,1025,13,5,231,10,Portalegre
2019-02-11,14,6,0.0,10.8,2,44,10:56 AM,No moonset,07:27 AM,06:02 PM,6,9,9,9,8,14,80,0.1,1028,14,7,135,5,Portalegre
2019-02-12,14,6,0.0,10.8,4,52,11:27 AM,12:21 AM,07:26 AM,06:03 PM,4,8,9,8,13,0,68,0.0,1029,14,10,59,7,Portalegre
2019-02-13,15,7,0.0,10.8,4,60,12:03 PM,01:25 AM,07:25 AM,06:04 PM,5,10,10,10,11,1,71,0.0,1028,15,10,70,6,Portalegre
2019-02-14,17,7,0.0,10.8,4,67,12:45 PM,02:29 AM,07:24 AM,06:05 PM,7,10,11,10,14,0,76,0.0,1027,17,10,103,8,Portalegre
2019-02-15,16,7,0.0,7.0,3,75,01:35 PM,03:35 AM,07:22 AM,06:06 PM,6,10,11,10,13,54,75,0.0,1025,16,10,68,7,Portalegre
2019-02-16,16,7,0.0,10.9,3,82,02:33 PM,04:38 AM,07:21 AM,06:07 PM,6,10,11,10,13,48,70,0.0,1023,16,10,73,8,Portalegre
2019-02-17,14,7,0.0,10.1,4,90,03:40 PM,05:38 AM,07:20 AM,06:08 PM,5,9,10,9,10,22,74,0.2,1021,14,10,125,6,Portalegre
2019-02-18,12,8,0.0,7.0,2,97,04:53 PM,06:32 AM,07:18 AM,06:09 PM,8,8,9,8,13,81,89,16.1,1017,12,9,167,8,Portalegre
2019-02-19,14,7,0.0,10.9,3,100,06:08 PM,07:19 AM,07:17 AM,06:11 PM,7,10,10,10,6,25,80,1.6,1020,14,10,164,4,Portalegre
2019-02-20,15,7,0.0,11.0,3,88,07:24 PM,08:01 AM,07:16 AM,06:12 PM,7,10,10,10,6,21,82,0.0,1022,15,9,145,4,Portalegre
2019-02-21,16,7,0.0,11.0,4,80,08:37 PM,08:37 AM,07:14 AM,06:13 PM,7,11,11,11,13,10,77,0.0,1025,16,10,120,8,Portalegre
2019-02-22,17,7,0.0,11.0,4,73,09:49 PM,09:12 AM,07:13 AM,06:14 PM,7,11,12,11,13,13,73,0.0,1029,17,10,127,8,Portalegre
2019-02-23,18,9,0.0,10.1,3,65,10:57 PM,09:45 AM,07:12 AM,06:15 PM,7,13,13,13,8,31,72,0.0,1030,18,10,169,4,Portalegre
2019-02-24,18,8,0.0,11.1,4,57,No moonrise,10:18 AM,07:10 AM,06:16 PM,7,13,13,13,11,0,66,0.0,1028,18,10,76,6,Portalegre
2019-02-25,18,9,0.0,11.1,4,50,12:03 AM,10:53 AM,07:09 AM,06:17 PM,7,13,13,13,11,0,67,0.0,1029,18,10,73,6,Portalegre
2019-02-26,19,9,0.0,11.1,4,42,01:07 AM,11:30 AM,07:07 AM,06:18 PM,7,13,13,13,16,2,66,0.0,1026,19,10,97,9,Portalegre
2019-02-27,16,8,0.0,10.1,3,35,02:08 AM,12:11 PM,07:06 AM,06:19 PM,6,11,12,11,9,26,70,0.0,1028,16,10,169,5,Portalegre
2019-02-28,16,9,0.0,11.2,3,27,03:05 AM,12:55 PM,07:05 AM,06:20 PM,7,12,12,12,7,15,75,0.0,1029,16,8,249,4,Portalegre
2019-03-01,18,9,0.0,10.1,3,26,03:57 AM,01:44 PM,07:03 AM,06:22 PM,5,12,12,12,9,42,67,0.0,1026,18,10,245,5,Portalegre
2019-03-02,18,8,0.0,11.2,3,19,04:44 AM,02:36 PM,07:02 AM,06:23 PM,7,12,12,12,10,8,76,0.0,1026,18,7,225,5,Portalegre
2019-03-03,16,6,0.0,10.1,3,12,05:27 AM,03:31 PM,07:00 AM,06:24 PM,6,10,10,10,12,20,74,0.0,1024,16,10,232,6,Portalegre
2019-03-04,14,8,0.0,8.7,3,4,06:04 AM,04:26 PM,06:59 AM,06:25 PM,8,10,11,10,17,65,82,0.1,1022,14,8,259,12,Portalegre
2019-03-05,13,7,0.0,5.8,3,0,06:37 AM,05:24 PM,06:57 AM,06:26 PM,8,9,10,9,19,82,89,0.7,1017,13,8,201,11,Portalegre
2019-03-06,12,8,0.0,10.2,2,0,07:08 AM,06:21 PM,06:56 AM,06:27 PM,8,7,10,7,37,61,86,2.5,1009,12,8,241,22,Portalegre
2019-03-07,12,4,0.0,7.3,2,3,07:36 AM,07:19 PM,06:54 AM,06:28 PM,6,6,8,6,16,45,89,0.8,1018,12,6,236,10,Portalegre
2019-03-08,15,5,0.0,11.6,3,10,08:03 AM,08:17 PM,06:53 AM,06:29 PM,6,9,9,9,9,20,79,0.5,1023,15,8,205,6,Portalegre
2019-03-09,18,8,0.0,11.6,4,17,08:30 AM,09:16 PM,06:51 AM,06:30 PM,7,12,12,12,5,5,72,0.0,1030,18,10,73,3,Portalegre
2019-03-10,20,9,0.0,11.6,5,24,08:59 AM,10:15 PM,06:49 AM,06:31 PM,9,13,13,13,6,3,77,0.0,1030,20,10,234,3,Portalegre
2019-03-11,20,11,0.0,11.6,5,32,09:29 AM,11:17 PM,06:48 AM,06:32 PM,9,14,14,14,10,3,74,0.0,1029,20,10,133,6,Portalegre
2019-03-12,18,9,0.0,11.6,4,39,10:02 AM,No moonset,06:46 AM,06:33 PM,8,13,13,13,12,21,72,0.0,1027,18,10,240,7,Portalegre
2019-03-13,14,7,0.0,11.6,3,46,10:41 AM,12:19 AM,06:45 AM,06:34 PM,4,8,10,8,20,10,71,0.0,1029,14,7,131,13,Portalegre
2019-03-14,16,6,0.0,11.6,4,54,11:26 AM,01:23 AM,06:43 AM,06:35 PM,2,9,10,9,11,2,60,0.0,1030,16,10,43,7,Portalegre
2019-03-15,20,7,0.0,11.6,4,61,12:19 PM,02:25 AM,06:42 AM,06:36 PM,4,12,13,12,8,1,57,0.0,1026,20,10,57,4,Portalegre
2019-03-16,21,10,0.0,11.6,5,68,01:20 PM,03:25 AM,06:40 AM,06:37 PM,7,14,14,14,10,1,65,0.0,1021,21,10,150,5,Portalegre
2019-03-17,16,4,0.0,11.6,4,75,02:28 PM,04:19 AM,06:38 AM,06:38 PM,6,9,10,9,16,14,78,0.2,1021,16,9,284,9,Portalegre
2019-03-18,16,6,0.0,11.6,4,83,03:41 PM,05:08 AM,06:37 AM,06:39 PM,4,9,10,9,16,13,68,0.0,1023,16,8,119,10,Portalegre
2019-03-19,17,7,0.0,11.6,4,90,04:55 PM,05:51 AM,06:35 AM,06:40 PM,3,10,11,10,15,5,56,0.0,1024,17,10,38,9,Portalegre
2019-03-20,15,6,0.0,11.6,4,97,06:09 PM,06:29 AM,06:34 AM,06:41 PM,2,9,10,9,16,1,58,0.0,1026,15,10,58,10,Portalegre
2019-03-21,16,6,0.0,11.6,4,100,07:23 PM,07:05 AM,06:32 AM,06:42 PM,2,9,10,9,12,5,57,0.0,1026,16,10,64,7,Portalegre
2019-03-22,17,6,0.0,11.6,4,88,08:34 PM,07:39 AM,06:30 AM,06:43 PM,2,10,11,10,14,4,56,0.0,1025,17,10,61,8,Portalegre
2019-03-23,19,8,0.0,11.6,4,81,09:44 PM,08:12 AM,06:29 AM,06:44 PM,4,12,13,12,19,12,56,0.0,1022,19,10,70,11,Portalegre
2019-03-24,19,9,0.0,11.6,5,74,10:51 PM,08:47 AM,06:27 AM,06:45 PM,6,13,14,13,20,12,61,0.0,1020,19,10,67,12,Portalegre
2019-03-25,20,10,0.0,11.6,5,66,11:56 PM,09:25 AM,06:26 AM,06:46 PM,5,14,15,14,18,4,54,0.0,1018,20,10,59,11,Portalegre
2019-03-26,20,9,0.0,7.5,4,59,No moonrise,10:05 AM,06:24 AM,06:47 PM,3,13,14,13,27,45,47,0.0,1015,20,10,57,17,Portalegre
2019-03-27,19,10,0.0,11.6,4,52,12:56 AM,10:49 AM,06:23 AM,06:48 PM,3,13,14,13,24,0,47,0.0,1021,19,10,75,16,Portalegre
2019-03-28,19,8,0.0,11.6,4,45,01:52 AM,11:37 AM,06:21 AM,06:49 PM,2,12,13,12,15,1,50,0.0,1023,19,10,70,9,Portalegre
2019-03-29,18,7,0.0,11.6,4,37,02:41 AM,12:29 PM,06:19 AM,06:50 PM,1,12,12,12,10,1,48,0.0,1021,18,10,79,6,Portalegre
2019-03-30,19,9,0.0,11.6,4,30,03:26 AM,01:23 PM,06:18 AM,06:51 PM,4,12,13,12,12,24,55,0.0,1017,19,10,57,7,Portalegre
2019-03-31,18,9,0.0,11.6,3,26,04:05 AM,02:19 PM,06:16 AM,06:52 PM,6,13,13,13,10,26,64,3.0,1012,18,10,75,6,Portalegre
2019-04-01,16,9,0.0,8.9,3,9,04:39 AM,03:16 PM,06:15 AM,06:53 PM,9,11,12,11,8,69,84,9.8,1013,16,8,101,5,Portalegre
2019-04-02,18,9,0.0,11.6,3,1,05:10 AM,04:13 PM,06:13 AM,06:54 PM,8,13,13,13,10,12,75,0.4,1016,18,9,262,6,Portalegre
2019-04-03,16,4,0.0,11.6,4,0,05:39 AM,05:11 PM,06:12 AM,06:55 PM,3,9,10,9,14,5,68,0.0,1011,16,10,306,9,Portalegre
2019-04-04,14,3,0.0,10.3,2,0,06:06 AM,06:09 PM,06:10 AM,06:56 PM,1,6,8,6,16,30,65,1.5,1007,14,10,222,11,Portalegre
2019-04-05,12,5,0.0,8.9,2,0,06:33 AM,07:09 PM,06:08 AM,06:57 PM,4,4,7,4,24,63,81,2.0,1003,12,8,260,17,Portalegre
2019-04-06,10,4,0.0,8.9,2,6,07:01 AM,08:09 PM,06:07 AM,06:58 PM,4,4,7,4,27,60,85,2.6,1008,10,10,263,17,Portalegre
2019-04-07,12,7,0.0,7.6,2,14,07:31 AM,09:11 PM,06:05 AM,06:59 PM,7,6,8,6,17,80,94,2.5,1013,12,8,228,10,Portalegre
2019-04-08,14,7,0.0,10.3,3,21,08:03 AM,10:14 PM,06:04 AM,07:00 PM,8,10,11,10,20,52,80,4.1,1015,14,10,255,14,Portalegre
2019-04-09,15,6,0.0,10.3,3,29,08:40 AM,11:18 PM,06:02 AM,07:01 PM,6,7,9,7,24,50,81,0.4,1017,15,6,259,15,Portalegre
2019-04-10,16,5,0.0,11.6,3,36,09:23 AM,No moonset,06:01 AM,07:02 PM,5,8,10,8,19,50,77,0.0,1019,16,6,293,13,Portalegre
