date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,33,23,0.0,13.1,6,26,02:14 AM,03:12 PM,05:41 AM,06:51 PM,21,30,30,27,22,43,73,1.0,1008,33,10,329,17,Santa+Cruz
2019-01-02,30,24,0.0,9.5,6,19,02:57 AM,04:05 PM,05:42 AM,06:52 PM,21,28,28,26,26,72,79,3.5,1009,30,10,332,19,Santa+Cruz
2019-01-03,30,23,0.0,12.0,6,11,03:42 AM,04:58 PM,05:42 AM,06:52 PM,21,28,28,26,28,56,76,1.3,1009,30,10,327,21,Santa+Cruz
2019-01-04,33,23,0.0,13.1,6,4,04:28 AM,05:50 PM,05:43 AM,06:52 PM,21,29,29,27,24,33,69,1.5,1010,33,10,329,18,Santa+Cruz
2019-01-05,34,23,0.0,13.1,6,0,05:17 AM,06:40 PM,05:44 AM,06:53 PM,21,29,29,27,27,50,72,1.2,1008,34,10,330,21,Santa+Cruz
2019-01-06,33,24,0.0,13.1,6,0,06:06 AM,07:29 PM,05:44 AM,06:53 PM,21,30,30,28,32,58,67,0.9,1005,33,10,327,24,Santa+Cruz
2019-01-07,29,24,0.0,8.2,6,3,06:57 AM,08:14 PM,05:45 AM,06:53 PM,21,28,28,26,33,88,76,3.1,1006,29,8,329,25,Santa+Cruz
2019-01-08,25,23,0.0,8.2,5,10,07:47 AM,08:56 PM,05:45 AM,06:53 PM,22,26,26,23,29,100,89,7.9,1009,25,8,340,20,Santa+Cruz
2019-01-09,31,23,0.0,9.4,6,18,08:37 AM,09:37 PM,05:46 AM,06:54 PM,21,27,27,25,31,79,78,1.1,1007,31,10,337,22,Santa+Cruz
2019-01-10,28,22,0.0,8.2,5,25,09:26 AM,10:14 PM,05:47 AM,06:54 PM,21,26,26,24,24,78,82,2.1,1008,28,8,332,18,Santa+Cruz
2019-01-11,21,19,0.0,8.2,4,32,10:14 AM,10:51 PM,05:47 AM,06:54 PM,20,20,21,20,12,73,96,81.9,1014,21,6,203,8,Santa+Cruz
2019-01-12,31,18,0.0,13.1,7,39,11:02 AM,11:28 PM,05:48 AM,06:54 PM,19,26,26,24,12,43,77,0.1,1012,31,8,222,9,Santa+Cruz
2019-01-13,30,21,0.0,13.1,6,47,11:51 AM,No moonset,05:49 AM,06:54 PM,21,27,27,25,17,38,81,12.1,1011,30,9,333,12,Santa+Cruz
2019-01-14,32,21,0.0,13.1,7,54,12:41 PM,12:04 AM,05:49 AM,06:54 PM,21,28,28,26,18,31,74,0.2,1011,32,10,332,13,Santa+Cruz
2019-01-15,33,22,0.0,13.0,7,61,01:34 PM,12:43 AM,05:50 AM,06:54 PM,20,29,29,27,20,26,69,0.2,1011,33,10,328,15,Santa+Cruz
2019-01-16,32,23,0.0,13.0,7,69,02:29 PM,01:26 AM,05:50 AM,06:54 PM,20,29,29,27,22,23,69,0.1,1012,32,10,330,16,Santa+Cruz
2019-01-17,33,23,0.0,13.0,7,76,03:29 PM,02:12 AM,05:51 AM,06:54 PM,20,29,29,27,27,28,68,0.2,1010,33,10,324,20,Santa+Cruz
2019-01-18,28,22,0.0,13.0,5,83,04:30 PM,03:03 AM,05:52 AM,06:54 PM,18,26,26,24,25,43,71,15.1,1015,28,9,254,16,Santa+Cruz
2019-01-19,32,21,0.0,13.0,7,90,05:34 PM,04:01 AM,05:52 AM,06:54 PM,15,27,27,25,19,39,56,0.0,1015,32,10,164,14,Santa+Cruz
2019-01-20,33,20,0.0,13.0,7,98,06:36 PM,05:03 AM,05:53 AM,06:54 PM,16,27,27,26,13,20,56,0.0,1014,33,10,225,9,Santa+Cruz
2019-01-21,34,21,0.0,13.0,7,100,07:35 PM,06:09 AM,05:54 AM,06:54 PM,18,29,29,27,18,23,59,0.0,1011,34,10,325,13,Santa+Cruz
2019-01-22,34,23,0.0,13.0,7,88,08:29 PM,07:16 AM,05:54 AM,06:54 PM,20,30,30,28,20,16,66,0.2,1012,34,10,327,14,Santa+Cruz
2019-01-23,34,22,0.0,13.0,7,81,09:20 PM,08:20 AM,05:55 AM,06:54 PM,20,29,29,27,21,18,67,0.0,1011,34,10,328,16,Santa+Cruz
