date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,30,20,0.0,13.2,6,26,02:09 AM,03:13 PM,05:34 AM,06:57 PM,21,27,27,25,11,29,82,9.9,1013,30,8,153,7,Serta
2019-01-02,30,20,0.0,12.0,6,19,02:50 AM,04:07 PM,05:34 AM,06:58 PM,21,27,27,25,11,33,82,12.4,1015,30,9,202,7,Serta
2019-01-03,27,21,0.0,13.2,5,11,03:34 AM,05:01 PM,05:35 AM,06:58 PM,22,27,27,24,11,42,91,43.0,1014,27,7,291,6,Serta
2019-01-04,26,20,0.0,12.0,5,4,04:19 AM,05:53 PM,05:36 AM,06:58 PM,21,24,24,22,14,71,92,39.7,1015,26,8,107,9,Serta
2019-01-05,23,20,0.0,10.8,5,0,05:08 AM,06:44 PM,05:36 AM,06:58 PM,21,24,24,22,7,78,96,16.2,1015,23,8,215,5,Serta
2019-01-06,27,19,0.0,10.8,5,0,05:58 AM,07:32 PM,05:37 AM,06:59 PM,21,24,24,23,10,69,91,6.8,1014,27,5,158,6,Serta
2019-01-07,31,20,0.0,13.2,6,3,06:48 AM,08:17 PM,05:38 AM,06:59 PM,21,27,27,25,11,25,81,7.1,1014,31,8,158,7,Serta
2019-01-08,33,21,0.0,13.2,6,10,07:39 AM,08:59 PM,05:38 AM,06:59 PM,22,28,28,26,9,27,81,6.7,1015,33,8,133,5,Serta
2019-01-09,31,21,0.0,13.2,6,18,08:29 AM,09:38 PM,05:39 AM,06:59 PM,22,28,28,25,11,17,81,13.8,1014,31,9,113,7,Serta
2019-01-10,32,19,0.0,13.2,7,25,09:20 AM,10:14 PM,05:40 AM,06:59 PM,19,27,27,25,9,17,71,0.0,1014,32,10,121,6,Serta
2019-01-11,32,20,0.0,13.2,6,32,10:09 AM,10:50 PM,05:40 AM,06:59 PM,20,28,28,26,7,28,71,3.5,1015,32,10,106,4,Serta
2019-01-12,32,20,0.0,13.2,6,39,10:58 AM,11:26 PM,05:41 AM,06:59 PM,21,28,28,26,7,36,76,15.2,1015,32,8,210,4,Serta
