date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,30,25,0.0,8.7,7,26,01:49 AM,01:56 PM,06:04 AM,05:40 PM,23,30,30,27,31,12,79,0.0,1012,30,10,63,25,Tabua
2019-01-02,29,25,0.0,8.7,6,19,02:39 AM,02:41 PM,06:05 AM,05:40 PM,23,30,30,27,31,42,78,0.3,1013,29,10,58,24,Tabua
2019-01-03,29,25,0.0,8.7,7,11,03:30 AM,03:28 PM,06:05 AM,05:41 PM,22,29,29,27,30,11,77,0.0,1014,29,10,57,23,Tabua
2019-01-04,28,25,0.0,7.2,6,4,04:21 AM,04:16 PM,06:06 AM,05:41 PM,23,30,30,27,30,41,81,0.9,1015,28,10,57,24,Tabua
2019-01-05,28,25,0.0,8.7,7,0,05:12 AM,05:05 PM,06:06 AM,05:42 PM,23,29,29,26,30,34,80,0.4,1014,28,10,56,24,Tabua
2019-01-06,29,24,0.0,8.7,7,0,06:02 AM,05:55 PM,06:06 AM,05:42 PM,22,29,29,27,28,18,77,0.1,1013,29,10,54,22,Tabua
2019-01-07,28,23,0.0,8.7,7,3,06:51 AM,06:44 PM,06:07 AM,05:43 PM,21,27,27,25,25,5,77,0.0,1013,28,10,54,19,Tabua
2019-01-08,29,24,0.0,8.7,7,10,07:38 AM,07:33 PM,06:07 AM,05:43 PM,22,28,28,26,33,10,77,0.0,1013,29,10,57,25,Tabua
2019-01-09,29,24,0.0,8.7,6,18,08:22 AM,08:20 PM,06:07 AM,05:44 PM,22,29,29,26,32,20,76,0.3,1013,29,10,56,25,Tabua
2019-01-10,28,25,0.0,5.7,6,25,09:04 AM,09:07 PM,06:08 AM,05:44 PM,22,29,29,26,29,43,80,0.3,1012,28,10,54,23,Tabua
2019-01-11,28,25,0.0,7.2,6,32,09:45 AM,09:53 PM,06:08 AM,05:45 PM,22,28,28,26,27,52,79,0.1,1012,28,10,58,22,Tabua
