date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,16,6,0.0,3.6,3,26,03:24 AM,02:20 PM,07:56 AM,05:20 PM,0,9,10,9,8,40,52,0.0,1032,16,10,139,4,Tarouca
2019-01-02,16,7,0.0,8.7,4,19,04:26 AM,02:55 PM,07:56 AM,05:20 PM,5,10,10,10,8,1,73,0.0,1030,16,10,137,5,Tarouca
2019-01-03,18,5,0.0,8.7,4,11,05:28 AM,03:34 PM,07:56 AM,05:21 PM,3,9,10,9,9,0,64,0.0,1028,18,10,106,5,Tarouca
2019-01-04,16,5,0.0,8.7,3,4,06:25 AM,04:16 PM,07:56 AM,05:22 PM,2,8,9,8,10,5,63,0.0,1030,16,10,101,6,Tarouca
2019-01-05,18,6,0.0,8.7,4,0,07:20 AM,05:04 PM,07:56 AM,05:23 PM,2,9,10,9,8,2,60,0.0,1034,18,10,157,4,Tarouca
2019-01-06,18,6,0.0,8.7,4,0,08:09 AM,05:55 PM,07:56 AM,05:24 PM,0,10,10,10,9,0,52,0.0,1032,18,10,99,5,Tarouca
2019-01-07,19,6,0.0,8.7,4,3,08:54 AM,06:50 PM,07:56 AM,05:25 PM,-2,9,10,9,10,0,45,0.0,1030,19,10,57,5,Tarouca
2019-01-08,19,6,0.0,8.7,4,10,09:33 AM,07:46 PM,07:56 AM,05:26 PM,1,10,11,10,9,2,52,0.0,1029,19,10,119,5,Tarouca
2019-01-09,19,7,0.0,8.7,4,18,10:07 AM,08:43 PM,07:56 AM,05:27 PM,4,11,11,11,9,2,63,0.0,1024,19,10,139,5,Tarouca
2019-01-10,16,7,0.0,8.7,4,25,10:38 AM,09:40 PM,07:55 AM,05:28 PM,3,8,10,8,13,1,64,0.0,1020,16,10,84,7,Tarouca
2019-01-11,15,4,0.0,8.7,3,32,11:07 AM,10:37 PM,07:55 AM,05:29 PM,-2,6,8,6,13,1,53,0.0,1027,15,10,68,7,Tarouca
2019-01-12,16,5,0.0,8.7,3,39,11:34 AM,11:36 PM,07:55 AM,05:30 PM,2,7,8,7,10,1,67,0.0,1030,16,10,60,5,Tarouca
2019-01-13,16,5,0.0,8.7,3,47,12:01 PM,No moonset,07:55 AM,05:31 PM,3,8,9,8,9,1,70,0.0,1029,16,10,151,5,Tarouca
2019-01-14,16,5,0.0,8.7,3,54,12:29 PM,12:34 AM,07:54 AM,05:32 PM,3,9,9,9,7,19,66,0.0,1025,16,10,171,4,Tarouca
2019-01-15,15,7,0.0,5.3,3,61,12:59 PM,01:36 AM,07:54 AM,05:33 PM,4,9,10,9,7,40,72,0.0,1021,15,10,173,4,Tarouca
2019-01-16,13,6,0.0,3.7,2,69,01:33 PM,02:39 AM,07:54 AM,05:34 PM,7,8,9,8,9,73,89,0.4,1019,13,8,211,5,Tarouca
2019-01-17,13,5,0.0,8.7,2,76,02:12 PM,03:46 AM,07:53 AM,05:35 PM,5,6,8,6,16,27,84,0.2,1021,13,7,181,10,Tarouca
2019-01-18,11,4,0.0,5.4,2,83,02:59 PM,04:54 AM,07:53 AM,05:37 PM,4,6,7,6,7,50,80,1.1,1021,11,7,144,4,Tarouca
2019-01-19,13,6,0.0,3.7,3,90,03:55 PM,06:01 AM,07:52 AM,05:38 PM,9,8,10,8,21,90,95,11.0,1015,13,7,216,12,Tarouca
2019-01-20,13,7,0.0,8.7,4,98,05:00 PM,07:05 AM,07:52 AM,05:39 PM,7,7,10,7,30,22,82,0.8,1018,13,10,341,19,Tarouca
2019-01-21,13,5,0.0,8.7,3,100,06:11 PM,08:03 AM,07:51 AM,05:40 PM,4,5,7,5,16,10,81,0.0,1024,13,10,221,9,Tarouca
