date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,36,23,0.0,11.6,8,26,01:53 AM,02:23 PM,05:35 AM,05:56 PM,19,30,30,29,10,19,59,0.0,1012,36,10,70,8,Terras+de+Tras-os-Montes
2019-01-02,36,24,0.0,11.6,8,19,02:39 AM,03:12 PM,05:35 AM,05:56 PM,19,31,31,29,13,18,57,0.0,1013,36,10,78,10,Terras+de+Tras-os-Montes
2019-01-03,35,24,0.0,11.6,8,11,03:27 AM,04:02 PM,05:36 AM,05:57 PM,19,31,31,29,12,17,59,0.0,1012,35,10,75,9,Terras+de+Tras-os-Montes
2019-01-04,34,24,0.0,11.6,7,4,04:16 AM,04:53 PM,05:36 AM,05:57 PM,20,30,30,28,12,42,62,0.0,1012,34,10,73,9,Terras+de+Tras-os-Montes
2019-01-05,35,23,0.0,11.6,7,0,05:06 AM,05:43 PM,05:37 AM,05:57 PM,20,30,30,28,12,24,62,1.6,1012,35,10,67,9,Terras+de+Tras-os-Montes
2019-01-06,34,25,0.0,8.9,6,0,05:56 AM,06:32 PM,05:37 AM,05:58 PM,20,30,30,28,12,48,63,1.8,1012,34,10,75,9,Terras+de+Tras-os-Montes
2019-01-07,32,24,0.0,11.6,7,3,06:44 AM,07:19 PM,05:38 AM,05:58 PM,19,29,29,28,6,40,63,0.3,1012,32,10,87,4,Terras+de+Tras-os-Montes
2019-01-08,30,23,0.0,8.9,6,10,07:33 AM,08:05 PM,05:38 AM,05:59 PM,21,28,28,26,9,70,73,2.4,1012,30,10,163,5,Terras+de+Tras-os-Montes
2019-01-09,32,23,0.0,11.6,6,18,08:18 AM,08:48 PM,05:39 AM,05:59 PM,21,29,29,26,10,59,75,17.1,1011,32,8,45,5,Terras+de+Tras-os-Montes
2019-01-10,33,23,0.0,11.6,6,25,09:04 AM,09:31 PM,05:39 AM,05:59 PM,20,29,29,27,13,33,67,5.6,1011,33,10,93,9,Terras+de+Tras-os-Montes
2019-01-11,34,23,0.0,12.6,7,32,09:48 AM,10:12 PM,05:39 AM,06:00 PM,19,29,29,28,8,23,62,0.4,1012,34,10,88,5,Terras+de+Tras-os-Montes
2019-01-12,33,23,0.0,11.9,6,39,10:31 AM,10:53 PM,05:40 AM,06:00 PM,21,29,29,26,9,44,73,16.6,1012,33,9,112,5,Terras+de+Tras-os-Montes
2019-01-13,32,23,0.0,12.6,6,47,11:15 AM,11:35 PM,05:40 AM,06:00 PM,22,29,29,26,8,51,78,6.9,1012,32,8,88,5,Terras+de+Tras-os-Montes
2019-01-14,32,22,0.0,12.6,6,54,12:01 PM,No moonset,05:41 AM,06:01 PM,21,29,29,26,12,44,77,10.8,1013,32,10,47,6,Terras+de+Tras-os-Montes
2019-01-15,31,22,0.0,12.6,6,61,12:48 PM,12:18 AM,05:41 AM,06:01 PM,22,28,28,26,9,37,79,23.2,1013,31,8,88,5,Terras+de+Tras-os-Montes
2019-01-16,33,23,0.0,9.2,6,69,01:39 PM,01:05 AM,05:42 AM,06:01 PM,22,29,29,26,9,57,78,15.5,1014,33,9,107,5,Terras+de+Tras-os-Montes
2019-01-17,33,23,0.0,12.6,6,76,02:34 PM,01:55 AM,05:42 AM,06:01 PM,22,29,29,27,10,35,77,9.4,1013,33,9,49,6,Terras+de+Tras-os-Montes
2019-01-18,32,22,0.0,12.6,6,83,03:33 PM,02:50 AM,05:42 AM,06:02 PM,22,29,29,26,9,38,78,10.4,1012,32,9,91,5,Terras+de+Tras-os-Montes
2019-01-19,32,23,0.0,12.6,6,90,04:35 PM,03:49 AM,05:43 AM,06:02 PM,22,29,29,26,13,33,79,3.3,1012,32,10,55,7,Terras+de+Tras-os-Montes
2019-01-20,32,22,0.0,12.6,6,98,05:38 PM,04:52 AM,05:43 AM,06:02 PM,22,29,29,26,11,30,77,5.7,1013,32,10,76,7,Terras+de+Tras-os-Montes
2019-01-21,34,23,0.0,12.6,6,100,06:40 PM,05:56 AM,05:43 AM,06:02 PM,21,30,30,27,12,30,72,1.4,1012,34,10,69,8,Terras+de+Tras-os-Montes
2019-01-22,34,22,0.0,12.6,7,88,07:39 PM,06:58 AM,05:44 AM,06:02 PM,19,29,29,27,10,16,66,0.0,1013,34,10,94,7,Terras+de+Tras-os-Montes
2019-01-23,33,21,0.0,12.6,7,81,08:35 PM,07:59 AM,05:44 AM,06:03 PM,20,28,28,26,7,31,72,0.0,1013,33,10,57,5,Terras+de+Tras-os-Montes
2019-01-24,33,22,0.0,12.6,6,73,09:27 PM,08:55 AM,05:45 AM,06:03 PM,21,29,29,26,9,46,75,2.0,1012,33,8,58,6,Terras+de+Tras-os-Montes
2019-01-25,32,23,0.0,11.8,6,66,10:16 PM,09:49 AM,05:45 AM,06:03 PM,21,29,29,26,8,61,77,26.4,1012,32,8,93,5,Terras+de+Tras-os-Montes
2019-01-26,29,22,0.0,12.6,6,59,11:04 PM,10:41 AM,05:45 AM,06:03 PM,22,27,27,25,6,64,83,9.3,1014,29,8,58,4,Terras+de+Tras-os-Montes
2019-01-27,32,22,0.0,12.6,6,51,11:51 PM,11:31 AM,05:45 AM,06:03 PM,21,28,28,25,11,37,80,8.3,1013,32,8,68,7,Terras+de+Tras-os-Montes
2019-01-28,33,21,0.0,12.6,6,44,No moonrise,12:20 PM,05:46 AM,06:03 PM,19,28,28,26,9,28,70,1.2,1013,33,9,82,6,Terras+de+Tras-os-Montes
2019-01-29,33,22,0.0,12.6,6,37,12:37 AM,01:10 PM,05:46 AM,06:03 PM,21,29,29,27,8,40,74,8.9,1013,33,9,86,5,Terras+de+Tras-os-Montes
2019-01-30,31,22,0.0,9.2,6,30,01:25 AM,02:00 PM,05:46 AM,06:03 PM,22,29,29,26,9,75,80,17.0,1012,31,8,101,5,Terras+de+Tras-os-Montes
2019-01-31,30,23,0.0,10.5,6,26,02:13 AM,02:49 PM,05:47 AM,06:04 PM,23,29,29,25,9,68,87,41.6,1012,30,8,63,5,Terras+de+Tras-os-Montes
2019-02-01,30,23,0.0,7.9,6,8,03:02 AM,03:39 PM,05:47 AM,06:04 PM,23,28,28,25,11,74,86,32.4,1012,30,8,48,6,Terras+de+Tras-os-Montes
2019-02-02,33,22,0.0,9.2,6,1,03:52 AM,04:28 PM,05:47 AM,06:04 PM,21,29,29,26,10,65,76,7.2,1012,33,9,62,7,Terras+de+Tras-os-Montes
2019-02-03,32,22,0.0,12.6,6,0,04:41 AM,05:16 PM,05:47 AM,06:04 PM,21,29,29,26,11,43,75,8.3,1012,32,9,55,6,Terras+de+Tras-os-Montes
2019-02-04,33,21,0.0,11.8,6,0,05:29 AM,06:02 PM,05:47 AM,06:04 PM,22,29,29,26,9,49,79,13.5,1012,33,7,45,5,Terras+de+Tras-os-Montes
2019-02-05,32,23,0.0,11.8,6,0,06:15 AM,06:46 PM,05:48 AM,06:04 PM,23,30,30,27,9,41,80,4.8,1011,32,9,40,5,Terras+de+Tras-os-Montes
2019-02-06,32,23,0.0,11.8,6,7,07:01 AM,07:29 PM,05:48 AM,06:04 PM,23,30,30,26,6,54,82,10.7,1011,32,9,52,4,Terras+de+Tras-os-Montes
2019-02-07,32,23,0.0,12.6,6,14,07:46 AM,08:10 PM,05:48 AM,06:04 PM,22,29,29,26,10,50,82,19.6,1010,32,8,77,5,Terras+de+Tras-os-Montes
2019-02-08,33,23,0.0,12.6,6,22,08:29 AM,08:51 PM,05:48 AM,06:03 PM,21,29,29,27,7,30,75,0.7,1010,33,7,73,4,Terras+de+Tras-os-Montes
2019-02-09,33,23,0.0,12.6,7,29,09:13 AM,09:33 PM,05:48 AM,06:03 PM,21,29,29,27,10,22,72,0.1,1010,33,10,81,6,Terras+de+Tras-os-Montes
2019-02-10,34,22,0.0,12.6,6,37,09:57 AM,10:14 PM,05:48 AM,06:03 PM,21,30,30,27,8,27,72,0.1,1010,34,9,74,6,Terras+de+Tras-os-Montes
2019-02-11,34,23,0.0,12.6,7,44,10:42 AM,10:58 PM,05:48 AM,06:03 PM,21,30,30,28,10,35,71,0.8,1011,34,10,94,7,Terras+de+Tras-os-Montes
2019-02-12,33,23,0.0,12.5,6,52,11:30 AM,11:45 PM,05:49 AM,06:03 PM,22,30,30,27,10,41,74,0.7,1011,33,10,74,7,Terras+de+Tras-os-Montes
2019-02-13,32,23,0.0,10.5,6,60,12:21 PM,No moonset,05:49 AM,06:03 PM,23,29,29,26,8,64,83,14.4,1012,32,7,108,4,Terras+de+Tras-os-Montes
2019-02-14,32,23,0.0,12.5,6,67,01:16 PM,12:36 AM,05:49 AM,06:03 PM,22,29,29,26,7,41,80,12.9,1013,32,9,90,4,Terras+de+Tras-os-Montes
2019-02-15,34,22,0.0,12.5,6,75,02:15 PM,01:31 AM,05:49 AM,06:03 PM,22,30,30,26,8,32,79,4.4,1013,34,9,54,5,Terras+de+Tras-os-Montes
2019-02-16,32,23,0.0,12.5,6,82,03:16 PM,02:30 AM,05:49 AM,06:03 PM,23,29,29,26,7,53,86,21.8,1012,32,9,108,4,Terras+de+Tras-os-Montes
2019-02-17,32,22,0.0,11.8,6,90,04:18 PM,03:33 AM,05:49 AM,06:02 PM,23,29,29,26,9,54,83,4.0,1012,32,6,73,5,Terras+de+Tras-os-Montes
2019-02-18,32,23,0.0,12.5,6,97,05:19 PM,04:35 AM,05:49 AM,06:02 PM,23,29,29,26,8,41,83,16.7,1013,32,7,81,5,Terras+de+Tras-os-Montes
2019-02-19,32,22,0.0,12.5,6,100,06:17 PM,05:38 AM,05:49 AM,06:02 PM,22,29,29,26,8,36,82,15.6,1012,32,8,89,5,Terras+de+Tras-os-Montes
2019-02-20,33,21,0.0,12.5,6,88,07:12 PM,06:37 AM,05:49 AM,06:02 PM,22,28,28,26,7,40,81,4.7,1012,33,8,89,4,Terras+de+Tras-os-Montes
2019-02-21,32,22,0.0,11.8,6,80,08:04 PM,07:34 AM,05:49 AM,06:02 PM,22,29,29,26,9,57,83,15.1,1012,32,6,45,5,Terras+de+Tras-os-Montes
2019-02-22,29,22,0.0,12.5,6,73,08:54 PM,08:28 AM,05:49 AM,06:01 PM,22,28,28,25,8,38,85,18.4,1014,29,9,63,5,Terras+de+Tras-os-Montes
2019-02-23,31,22,0.0,10.5,6,65,09:44 PM,09:21 AM,05:49 AM,06:01 PM,22,28,28,25,9,64,84,19.7,1012,31,5,88,5,Terras+de+Tras-os-Montes
2019-02-24,29,22,0.0,12.5,6,57,10:32 PM,10:13 AM,05:49 AM,06:01 PM,23,28,28,25,8,52,87,30.2,1012,29,8,165,4,Terras+de+Tras-os-Montes
2019-02-25,31,22,0.0,11.8,6,50,11:21 PM,11:04 AM,05:49 AM,06:01 PM,22,28,28,25,7,56,86,5.1,1012,31,6,64,4,Terras+de+Tras-os-Montes
2019-02-26,31,22,0.0,12.5,6,42,No moonrise,11:55 AM,05:49 AM,06:00 PM,22,28,28,25,8,37,84,15.7,1012,31,8,66,4,Terras+de+Tras-os-Montes
2019-02-27,32,22,0.0,12.5,6,35,12:09 AM,12:45 PM,05:49 AM,06:00 PM,22,29,29,25,8,37,85,22.7,1013,32,7,129,4,Terras+de+Tras-os-Montes
2019-02-28,31,22,0.0,9.2,6,27,12:59 AM,01:36 PM,05:49 AM,06:00 PM,22,28,28,25,6,63,85,6.0,1013,31,10,53,4,Terras+de+Tras-os-Montes
2019-03-01,31,21,0.0,8.8,6,26,01:49 AM,02:25 PM,05:49 AM,05:59 PM,21,27,27,25,5,64,83,6.3,1014,31,6,165,3,Terras+de+Tras-os-Montes
2019-03-02,31,21,0.0,11.6,6,19,02:37 AM,03:13 PM,05:49 AM,05:59 PM,22,27,27,24,7,46,86,34.3,1014,31,8,141,3,Terras+de+Tras-os-Montes
2019-03-03,30,22,0.0,10.2,6,12,03:26 AM,04:00 PM,05:48 AM,05:59 PM,22,28,28,25,7,65,87,18.2,1013,30,7,104,5,Terras+de+Tras-os-Montes
2019-03-04,30,22,0.0,10.2,6,4,04:13 AM,04:44 PM,05:48 AM,05:58 PM,23,28,28,25,8,61,88,24.8,1013,30,6,93,4,Terras+de+Tras-os-Montes
2019-03-05,30,22,0.0,10.2,6,0,04:59 AM,05:28 PM,05:48 AM,05:58 PM,22,28,28,25,7,40,84,12.9,1014,30,8,106,4,Terras+de+Tras-os-Montes
2019-03-06,28,22,0.0,8.8,6,0,05:44 AM,06:09 PM,05:48 AM,05:58 PM,22,27,27,24,10,60,90,52.2,1014,28,6,81,5,Terras+de+Tras-os-Montes
2019-03-07,30,22,0.0,10.2,6,3,06:27 AM,06:51 PM,05:48 AM,05:57 PM,22,28,28,25,11,60,86,24.8,1014,30,8,65,6,Terras+de+Tras-os-Montes
2019-03-08,30,21,0.0,11.6,6,10,07:11 AM,07:32 PM,05:48 AM,05:57 PM,22,27,27,24,9,41,86,6.0,1013,30,7,77,5,Terras+de+Tras-os-Montes
2019-03-09,30,21,0.0,11.6,6,17,07:55 AM,08:13 PM,05:48 AM,05:57 PM,22,27,27,24,11,41,86,23.1,1012,30,7,77,6,Terras+de+Tras-os-Montes
2019-03-10,31,21,0.0,10.2,6,24,08:40 AM,08:57 PM,05:48 AM,05:56 PM,22,28,28,25,9,43,86,18.0,1012,31,6,80,5,Terras+de+Tras-os-Montes
2019-03-11,31,22,0.0,8.8,6,32,09:27 AM,09:42 PM,05:47 AM,05:56 PM,23,28,28,25,8,55,86,9.4,1012,31,6,58,5,Terras+de+Tras-os-Montes
2019-03-12,31,22,0.0,10.2,6,39,10:16 AM,10:30 PM,05:47 AM,05:56 PM,22,29,29,26,10,41,83,4.4,1012,31,10,69,6,Terras+de+Tras-os-Montes
2019-03-13,30,21,0.0,10.2,6,46,11:09 AM,11:23 PM,05:47 AM,05:55 PM,22,27,27,24,9,40,87,5.1,1012,30,6,77,5,Terras+de+Tras-os-Montes
2019-03-14,30,21,0.0,8.8,6,54,12:04 PM,No moonset,05:47 AM,05:55 PM,22,28,28,25,7,63,88,17.9,1012,30,5,125,3,Terras+de+Tras-os-Montes
2019-03-15,32,22,0.0,8.8,6,61,01:02 PM,12:18 AM,05:47 AM,05:54 PM,23,28,28,25,8,44,88,9.8,1012,32,6,35,4,Terras+de+Tras-os-Montes
2019-03-16,30,22,0.0,10.2,6,68,02:01 PM,01:17 AM,05:47 AM,05:54 PM,22,29,29,26,7,50,84,7.5,1012,30,8,100,4,Terras+de+Tras-os-Montes
2019-03-17,32,22,0.0,11.6,6,75,03:01 PM,02:17 AM,05:46 AM,05:54 PM,22,29,29,26,8,30,83,10.2,1012,32,8,105,5,Terras+de+Tras-os-Montes
2019-03-18,31,22,0.0,10.2,6,83,03:59 PM,03:18 AM,05:46 AM,05:53 PM,23,29,29,25,7,40,87,12.2,1012,31,9,56,4,Terras+de+Tras-os-Montes
2019-03-19,31,21,0.0,8.8,6,90,04:54 PM,04:17 AM,05:46 AM,05:53 PM,23,28,28,25,8,67,87,15.0,1011,31,5,32,5,Terras+de+Tras-os-Montes
2019-03-20,32,21,0.0,8.8,6,97,05:48 PM,05:16 AM,05:46 AM,05:52 PM,23,28,28,25,8,46,88,21.2,1011,32,7,43,5,Terras+de+Tras-os-Montes
