date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,15,7,0.0,8.7,4,26,03:24 AM,02:18 PM,07:56 AM,05:16 PM,2,10,10,10,12,11,57,0.0,1032,15,10,88,6,Tondela
2019-01-02,16,7,0.0,8.7,4,19,04:26 AM,02:52 PM,07:56 AM,05:17 PM,4,9,10,9,10,13,67,0.0,1030,16,10,52,5,Tondela
2019-01-03,14,4,0.0,8.7,3,11,05:28 AM,03:31 PM,07:56 AM,05:18 PM,1,6,8,6,17,0,65,0.0,1028,14,10,66,9,Tondela
2019-01-04,13,3,0.0,8.7,3,4,06:25 AM,04:13 PM,07:56 AM,05:19 PM,-1,5,7,5,15,2,59,0.0,1031,13,10,64,8,Tondela
2019-01-05,15,3,0.0,8.7,3,0,07:20 AM,05:01 PM,07:56 AM,05:20 PM,-2,6,7,6,16,0,50,0.0,1034,15,10,62,8,Tondela
2019-01-06,14,5,0.0,8.7,3,0,08:10 AM,05:52 PM,07:56 AM,05:21 PM,-2,6,8,6,18,0,49,0.0,1033,14,10,63,9,Tondela
2019-01-07,13,6,0.0,8.7,3,3,08:54 AM,06:46 PM,07:56 AM,05:22 PM,-2,6,8,6,21,0,49,0.0,1031,13,10,66,11,Tondela
2019-01-08,13,6,0.0,8.7,3,10,09:33 AM,07:43 PM,07:56 AM,05:23 PM,1,7,9,7,22,2,58,0.0,1030,13,10,69,12,Tondela
2019-01-09,14,8,0.0,8.7,4,18,10:07 AM,08:40 PM,07:56 AM,05:24 PM,4,8,10,8,19,2,67,0.0,1024,14,10,65,10,Tondela
2019-01-10,11,6,0.0,8.7,3,25,10:37 AM,09:38 PM,07:56 AM,05:25 PM,2,6,8,6,24,1,65,0.0,1021,11,10,71,15,Tondela
2019-01-11,10,3,0.0,8.7,3,32,11:06 AM,10:35 PM,07:55 AM,05:26 PM,-2,3,6,3,24,1,57,0.0,1028,10,10,68,14,Tondela
2019-01-12,11,3,0.0,8.7,3,39,11:33 AM,11:34 PM,07:55 AM,05:27 PM,1,4,6,4,20,1,71,0.0,1031,11,10,66,11,Tondela
2019-01-13,13,4,0.0,8.7,3,47,11:59 AM,No moonset,07:55 AM,05:28 PM,3,6,8,6,17,1,71,0.0,1030,13,10,63,10,Tondela
