date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,17,11,0.0,9.8,3,26,04:16 AM,03:21 PM,08:43 AM,06:23 PM,6,13,13,13,15,34,60,0.0,1031,17,10,93,8,Vila+Real+de+Santo+Antonio
2019-01-02,17,10,0.0,9.8,4,19,05:17 AM,03:57 PM,08:44 AM,06:23 PM,5,12,13,12,17,10,58,0.0,1029,17,10,330,9,Vila+Real+de+Santo+Antonio
2019-01-03,16,10,0.0,9.8,4,11,06:16 AM,04:36 PM,08:44 AM,06:24 PM,7,11,12,11,17,9,70,0.0,1026,16,10,129,9,Vila+Real+de+Santo+Antonio
2019-01-04,15,11,0.0,9.8,4,4,07:14 AM,05:20 PM,08:44 AM,06:25 PM,8,12,13,12,18,22,74,0.0,1028,15,10,77,11,Vila+Real+de+Santo+Antonio
2019-01-05,15,10,0.0,9.8,4,0,08:08 AM,06:07 PM,08:44 AM,06:26 PM,6,11,12,11,18,0,65,0.0,1032,15,10,41,11,Vila+Real+de+Santo+Antonio
2019-01-06,17,9,0.0,9.8,4,0,08:58 AM,06:58 PM,08:44 AM,06:27 PM,3,11,12,11,18,0,54,0.0,1030,17,10,281,9,Vila+Real+de+Santo+Antonio
2019-01-07,17,9,0.0,9.8,4,3,09:42 AM,07:52 PM,08:44 AM,06:28 PM,3,11,12,11,15,0,55,0.0,1028,17,10,175,8,Vila+Real+de+Santo+Antonio
2019-01-08,16,11,0.0,9.9,4,10,10:22 AM,08:47 PM,08:44 AM,06:29 PM,3,12,13,12,16,0,51,0.0,1028,16,10,121,9,Vila+Real+de+Santo+Antonio
2019-01-09,17,10,0.0,9.9,4,18,10:58 AM,09:43 PM,08:44 AM,06:30 PM,3,12,13,12,17,2,54,0.0,1022,17,10,285,9,Vila+Real+de+Santo+Antonio
2019-01-10,16,11,0.0,9.9,4,25,11:30 AM,10:39 PM,08:44 AM,06:31 PM,6,12,13,12,23,0,64,0.0,1018,16,10,107,14,Vila+Real+de+Santo+Antonio
