date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,14,4,0.0,8.7,3,26,03:21 AM,02:11 PM,07:56 AM,05:08 PM,-1,7,7,7,9,1,56,0.0,1033,14,10,102,5,Vinhais
2019-01-02,12,2,0.0,8.7,3,19,04:24 AM,02:45 PM,07:56 AM,05:09 PM,-1,5,6,5,9,1,62,0.0,1032,12,10,64,5,Vinhais
2019-01-03,12,1,0.0,8.7,3,11,05:26 AM,03:23 PM,07:56 AM,05:09 PM,-6,3,5,3,16,13,47,0.0,1030,12,10,57,9,Vinhais
2019-01-04,12,0,0.0,8.7,3,4,06:25 AM,04:05 PM,07:56 AM,05:10 PM,-11,3,4,3,16,3,32,0.0,1032,12,10,53,8,Vinhais
2019-01-05,13,1,0.0,8.7,3,0,07:20 AM,04:52 PM,07:56 AM,05:11 PM,-9,5,6,5,9,0,34,0.0,1035,13,10,97,4,Vinhais
2019-01-06,13,1,0.0,8.7,3,0,08:09 AM,05:44 PM,07:56 AM,05:12 PM,-8,4,5,4,9,1,40,0.0,1034,13,10,56,5,Vinhais
2019-01-07,12,1,0.0,8.7,3,3,08:53 AM,06:38 PM,07:56 AM,05:13 PM,-8,4,5,4,8,1,40,0.0,1033,12,10,71,5,Vinhais
2019-01-08,12,0,0.0,8.7,3,10,09:32 AM,07:35 PM,07:55 AM,05:14 PM,-3,4,5,4,6,7,58,0.0,1032,12,10,79,3,Vinhais
2019-01-09,12,1,0.0,8.7,3,18,10:05 AM,08:33 PM,07:55 AM,05:15 PM,0,5,5,5,7,8,70,0.0,1027,12,10,144,4,Vinhais
2019-01-10,9,-1,0.0,8.7,2,25,10:35 AM,09:31 PM,07:55 AM,05:16 PM,-1,0,2,0,13,3,79,0.0,1025,9,10,79,8,Vinhais
2019-01-11,9,-3,0.0,8.7,2,32,11:03 AM,10:30 PM,07:55 AM,05:17 PM,-4,-0,1,-0,9,4,72,0.0,1030,9,10,75,5,Vinhais
2019-01-12,10,-1,0.0,8.7,2,39,11:29 AM,11:29 PM,07:55 AM,05:19 PM,-1,2,3,2,8,5,77,0.0,1033,10,10,72,4,Vinhais
2019-01-13,11,-1,0.0,8.7,3,47,11:55 AM,No moonset,07:54 AM,05:20 PM,-2,3,3,3,7,3,72,0.0,1032,11,10,99,4,Vinhais
2019-01-14,13,1,0.0,8.7,3,54,12:21 PM,12:29 AM,07:54 AM,05:21 PM,-2,4,5,4,8,10,64,0.0,1026,13,10,69,5,Vinhais
2019-01-15,12,1,0.0,3.6,2,61,12:50 PM,01:32 AM,07:53 AM,05:22 PM,0,4,5,4,8,80,74,0.0,1022,12,10,145,4,Vinhais
2019-01-16,10,0,0.0,7.0,2,69,01:23 PM,02:36 AM,07:53 AM,05:23 PM,1,3,4,3,9,53,81,0.0,1019,10,9,271,6,Vinhais
2019-01-17,9,0,0.0,8.7,1,76,02:01 PM,03:44 AM,07:52 AM,05:24 PM,-1,2,3,2,8,22,77,0.0,1021,9,7,232,4,Vinhais
2019-01-18,6,-1,0.0,5.3,1,83,02:47 PM,04:53 AM,07:52 AM,05:26 PM,-1,1,2,1,9,47,83,1.0,1021,6,8,229,6,Vinhais
2019-01-19,5,-1,0.0,3.7,1,90,03:43 PM,06:01 AM,07:51 AM,05:27 PM,2,1,3,1,9,87,96,23.3,1014,5,4,232,5,Vinhais
2019-01-20,9,1,0.0,8.7,3,98,04:48 PM,07:05 AM,07:51 AM,05:28 PM,2,2,5,2,16,22,81,0.9,1017,9,10,316,10,Vinhais
2019-01-21,10,-1,0.0,8.7,2,100,06:00 PM,08:02 AM,07:50 AM,05:29 PM,-1,1,3,1,11,13,79,0.0,1024,10,10,315,6,Vinhais
