"IdImovel";"UrlPesquisa";"Url";"Nome";"Preco";"PrecoDesconto";"tipo";"metros";"andar";"elevador";"Detalhes";"Status";"Page"
"31418018";"https://www.idealista.pt/arrendar-casas/beja-distrito/pagina-2";"/imovel/31418018/";"Moradia independente na rua Furriel Farias Graça, 29, São Luís, Odemira";"500";"";"T1";"90 ";"";"";"T1 , 90 m² construídos";"OK";"2"
"30386520";"https://www.idealista.pt/arrendar-casas/beja-distrito/pagina-2";"/imovel/30386520/";"Apartamento T1 na estrada Nacional 123, s/n, Ourique";"500";"";"T1";"150 ";"1  ";"sem elevador";"T1 , 150 m² construídos, 1º andar  sem elevador";"OK";"2"
"31446565";"https://www.idealista.pt/arrendar-casas/beja-distrito/pagina-2";"/imovel/31446565/";"Moradia geminada,  Loteamento dos Alagoachos, s/n, Vila Nova de Milfontes, Odemira";"1.200";"";"T4";"150 ";"";"";"T4 , 150 m² construídos";"OK";"2"
"30231517";"https://www.idealista.pt/arrendar-casas/beja-distrito/pagina-2";"/imovel/30231517/";"Apartamento T1 na rua dos Aviadores, 7645, Vila Nova de Milfontes, Odemira";"890";"";"T1";"70 ";"1  ";"sem elevador";"T1 , 70 m² construídos, 1º andar  sem elevador";"OK";"2"
"30963241";"https://www.idealista.pt/arrendar-casas/beja-distrito/pagina-2";"/imovel/30963241/";"Moradia independente na rua Miguel Bombarda, 5, Ferreira do Alentejo e Canhestros, Ferreira do Alentejo";"1.000";"";"T3";"190 ";"";"";"T3 , 190 m² construídos";"OK";"2"
"30957538";"https://www.idealista.pt/arrendar-casas/beja-distrito/pagina-2";"/imovel/30957538/";"Moradia geminada na rua 5 de Outubro, 7, São Luís, Odemira";"1.000";"";"T3";"80 ";"";"";"T3 , 80 m² construídos";"OK";"2"
"31626640";"https://www.idealista.pt/arrendar-casas/beja-distrito/";"/imovel/31626640/";"Moradia em banda na rua da Escola Primária, 1, São Teotónio, Odemira";"2.000";"";"T5";"183 ";"";"";"T5 , 183 m² construídos, Publicado ontem ";"OK";"1"
"31439017";"https://www.idealista.pt/arrendar-casas/beja-distrito/";"/imovel/31439017/";"Moradia independente,  Vale de Aljustrel, s/n, Ferreira do Alentejo e Canhestros, Ferreira do Alentejo";"1.975";"";"T4";"180 ";"";"";"T4 , 180 m² construídos";"OK";"1"
"30115862";"https://www.idealista.pt/arrendar-casas/beja-distrito/";"/imovel/30115862/";"Moradia independente em Figueira dos Cavaleiros, Ferreira do Alentejo";"10.000";"";"T8";"1.000 ";"";"";"T8 , 1.000 m² construídos";"OK";"1"
"30308342";"https://www.idealista.pt/arrendar-casas/beja-distrito/";"/imovel/30308342/";"Casa rústica em Figueira dos Cavaleiros, Ferreira do Alentejo";"10.000";"";"T6";"33.500 ";"";"";"T6 , 33.500 m² construídos";"OK";"1"
