"IdImovel";"UrlPesquisa";"Url";"Nome";"Preco";"PrecoDesconto";"tipo";"metros";"andar";"elevador";"Detalhes";"Status";"Page"
"31342708";"https://www.idealista.pt/arrendar-casas/evora-distrito/";"/imovel/31342708/";"Moradia em Bacelo e Senhora da Saúde, Évora";"1.250";"";"T3";"130 ";"1";"";"T3 , 130 m² construídos, 1º andar ";"OK";"1"
"31586638";"https://www.idealista.pt/arrendar-casas/evora-distrito/";"/imovel/31586638/";"Moradia em Évora";"1.350";"";"T3";"137 ";"1";"";"T3 , 137 m² construídos, 1º andar ";"OK";"1"
"30838603";"https://www.idealista.pt/arrendar-casas/evora-distrito/";"/imovel/30838603/";"Moradia geminada em Campinho, Reguengos de Monsaraz";"350";"";"T1";"40 ";"";"";"T1 , 40 m² construídos";"OK";"1"
"29380803";"https://www.idealista.pt/arrendar-casas/evora-distrito/";"/imovel/29380803/";"Monte alentejano,  N114, 4, Foros de Vale de Figueira, Montemor-o-Novo";"1.500";"";"T45";"2.500 ";"";"";"T45 , 2.500 m² construídos";"OK";"1"
"31523494";"https://www.idealista.pt/arrendar-casas/evora-distrito/";"/imovel/31523494/";"Moradia em Cabeção, Mora";"295";"";"T1";"60 ";"";"";"T1 , 60 m² construídos";"OK";"1"
"30736296";"https://www.idealista.pt/arrendar-casas/evora-distrito/";"/imovel/30736296/";"Monte alentejano,  quinta da Boa Vista, s/n, Mora";"700";"";"T2";"74 ";"";"";"T2 , 74 m² construídos";"OK";"1"
"27264518";"https://www.idealista.pt/arrendar-casas/evora-distrito/";"/imovel/27264518/";"Andar de moradia na rua de Montoito, 71, Redondo";"400";"";"T2";"70 ";"";"";"T2 , 70 m² construídos";"OK";"1"
"27977096";"https://www.idealista.pt/arrendar-casas/evora-distrito/";"/imovel/27977096/";"Casa de aldeia no largo Doutor José Maria Rojão, s/n, Reguengos de Monsaraz";"410";"";"T2";"80 ";"";"";"T2 , 80 m² construídos";"OK";"1"
"31516873";"https://www.idealista.pt/arrendar-casas/evora-distrito/";"/imovel/31516873/";"Apartamento T2 em Évora";"700";"800";"T2";"87 ";"0";"sem elevador";"T2 , 87 m² construídos, Rés do chão  sem elevador";"OK";"1"
"30013258";"https://www.idealista.pt/arrendar-casas/evora-distrito/";"/imovel/30013258/";"Casa de aldeia na rua do Cemitério Velho, 22, Ciladas, Vila Viçosa";"210";"230";"T1";"70 ";"";"";"T1 , 70 m² construídos";"OK";"1"
"31609268";"https://www.idealista.pt/arrendar-casas/evora-distrito/";"/imovel/31609268/";"Apartamento T1 na travessa de Seziano Roiz, Évora";"550";"";"T1";"34 ";"1  ";"sem elevador";"T1 , 34 m² construídos, 1º andar  sem elevador";"OK";"1"
"31593812";"https://www.idealista.pt/arrendar-casas/evora-distrito/";"/imovel/31593812/";"Apartamento T2 na travessa de Seziano Roiz, Évora";"750";"";"T2";"60 ";"1  ";"sem elevador";"T2 , 60 m² construídos, 1º andar  sem elevador";"OK";"1"
"31582733";"https://www.idealista.pt/arrendar-casas/evora-distrito/";"/imovel/31582733/";"Apartamento T2 em Conceição, Vila Viçosa";"300";"";"T2";"75 ";"";"";"T2 , 75 m² construídos";"OK";"1"
"31524356";"https://www.idealista.pt/arrendar-casas/evora-distrito/";"/imovel/31524356/";"Apartamento T3 na rua dos Bombeiros Voluntários, 20, Redondo";"500";"";"T3";"150 ";"1  ";"sem elevador";"T3 , 150 m² construídos, 1º andar  sem elevador";"OK";"1"
"31334132";"https://www.idealista.pt/arrendar-casas/evora-distrito/";"/imovel/31334132/";"Monte alentejano,  lugar Pisão de El Rei, s/n, São Bento de Ana Loura, Estremoz";"470";"";"T2";"200 ";"";"";"T2 , 200 m² construídos";"OK";"1"
"31565370";"https://www.idealista.pt/arrendar-casas/evora-distrito/";"/imovel/31565370/";"Moradia geminada na rua das Quintas, 4, São Manços e São Vicente do Pigeiro, Évora";"500";"";"T3";"80 ";"";"";"T3 , 80 m² construídos";"OK";"1"
"30341937";"https://www.idealista.pt/arrendar-casas/evora-distrito/";"/imovel/30341937/";"Moradia independente na rua Doutor Téles de Matos, 14, Arcos, Estremoz";"450";"";"T3";"200 ";"";"";"T3 , 200 m² construídos";"OK";"1"
"31600412";"https://www.idealista.pt/arrendar-casas/evora-distrito/";"/imovel/31600412/";"Apartamento T1 na rua Engenheiro Tomás Silva, 4, Malagueira e Horta das Figueiras, Évora";"600";"";"T1";"70 ";"2  ";"com elevador";"T1 , 70 m² construídos, 2º andar  com elevador";"OK";"1"
"31613008";"https://www.idealista.pt/arrendar-casas/evora-distrito/";"/imovel/31613008/";"Moradia em banda na rua do Pintor, 7, Santa Maria e Santo André, Estremoz";"190";"";"T1";"50 ";"";"";"T1 , 50 m² construídos, 15 nov ";"OK";"1"
"31465463";"https://www.idealista.pt/arrendar-casas/evora-distrito/";"/imovel/31465463/";"Apartamento T2 na avenida da República (EN4), 10, Vendas Novas";"525";"";"T2";"90 ";"2  ";"com elevador";"T2 , 90 m² construídos, 2º andar  com elevador";"OK";"1"
"31394279";"https://www.idealista.pt/arrendar-casas/evora-distrito/";"/imovel/31394279/";"Quinta,  CM1081-2, s/n, Bacelo e Senhora da Saúde, Évora";"1.200";"";"T2";"79 ";"";"";"T2 , 79 m² construídos";"OK";"1"
