"IdImovel";"UrlPesquisa";"Url";"Nome";"Preco";"PrecoDesconto";"tipo";"metros";"andar";"elevador";"Detalhes";"Status";"Page"
"31302716";"https://www.idealista.pt/arrendar-casas/faro-distrito/pagina-29";"/imovel/31302716/";"Apartamento T2 na rua das acáçias, 833, Vale do Lobo, Almancil";"1.350";"";"T2";"75 ";"0";"sem elevador";"T2 , 75 m² construídos, Rés do chão  sem elevador";"OK";"29"
"31053693";"https://www.idealista.pt/arrendar-casas/faro-distrito/pagina-29";"/imovel/31053693/";"Apartamento T2 na rua do Sol, 7, Vila Nova de Cacela, Vila Real de Santo António";"600";"";"T2";"80 ";"1  ";"sem elevador";"T2 , 80 m² construídos, 1º andar  sem elevador";"OK";"29"
"31027873";"https://www.idealista.pt/arrendar-casas/faro-distrito/pagina-29";"/imovel/31027873/";"Apartamento T2 na rua da Liberdade, 161, Moncarapacho e Fuseta, Olhão";"800";"";"T2";"90 ";"2  ";"sem elevador";"T2 , 90 m² construídos, 2º andar  sem elevador";"OK";"29"
"30777328";"https://www.idealista.pt/arrendar-casas/faro-distrito/pagina-29";"/imovel/30777328/";"Apartamento T3 na rua do Pinhal, 71, Olhos de Água, Albufeira e Olhos de Água";"1.550";"";"T3";"210 ";"2  ";"com elevador";"T3 , 210 m² construídos, 2º andar  com elevador";"OK";"29"
"31447189";"https://www.idealista.pt/arrendar-casas/faro-distrito/pagina-29";"/imovel/31447189/";"Apartamento T1 no caminho das alfarrobeiras, Parque das amendoeiras, s/n, Aldeia do Golf - Alto do Golf, Vilamoura, Quarteira";"650";"";"T1";"65 ";"4  ";"com elevador";"T1 , 65 m² construídos, 4º andar  com elevador";"OK";"29"
"31407274";"https://www.idealista.pt/arrendar-casas/faro-distrito/pagina-29";"/imovel/31407274/";"Apartamento T2,  Urbanização cabanas village, 9, Conceição e Cabanas de Tavira, Tavira";"700";"";"T2";"100 ";"1  ";"sem elevador";"T2 , 100 m² construídos, 1º andar  sem elevador";"OK";"29"
"29456472";"https://www.idealista.pt/arrendar-casas/faro-distrito/pagina-29";"/imovel/29456472/";"Moradia em banda na estrada Nacional 269, s/n, Alcantarilha e Pêra, Silves";"600";"";"T3";"80 ";"";"";"T3 , 80 m² construídos";"OK";"29"
"31345355";"https://www.idealista.pt/arrendar-casas/faro-distrito/pagina-29";"/imovel/31345355/";"Apartamento T0 na rua Aquilino Ribeiro, 90, Montenegro, Faro";"1.000";"";"T0";"50 ";"0";"sem elevador";"T0 , 50 m² construídos, Rés do chão  sem elevador";"OK";"29"
"31401639";"https://www.idealista.pt/arrendar-casas/faro-distrito/pagina-29";"/imovel/31401639/";"Apartamento T2 no beco João Rosado, Conceição e Cabanas de Tavira, Tavira";"600";"";"T2";"80 ";"0";"com elevador";"T2 , 80 m² construídos, Rés do chão  com elevador";"OK";"29"
"27012761";"https://www.idealista.pt/arrendar-casas/faro-distrito/pagina-29";"/imovel/27012761/";"Apartamento T1 na avenida Tomás Cabreira, s/n, Praia da Rocha, Portimão";"740";"";"T1";"60 ";"0";"com elevador";"T1 , 60 m² construídos, Rés do chão  com elevador";"OK";"29"
"31449341";"https://www.idealista.pt/arrendar-casas/faro-distrito/pagina-29";"/imovel/31449341/";"Apartamento T2 na rua Agosto Azul, 2, Três Castelos, Portimão";"800";"";"T2";"90 ";"5  ";"com elevador";"T2 , 90 m² construídos, 5º andar  com elevador";"OK";"29"
"31600459";"https://www.idealista.pt/arrendar-casas/faro-distrito/pagina-28";"/imovel/31600459/";"Apartamento T2 na rua Dom Carlos I, 3, Portimão";"850";"";"T2";"125 ";"2  ";"com elevador";"T2 , 125 m² construídos, 2º andar  com elevador";"OK";"28"
"31600457";"https://www.idealista.pt/arrendar-casas/faro-distrito/pagina-28";"/imovel/31600457/";"Apartamento T1 na rua do Alportel, 157, Alto Rodes, Faro";"700";"";"T1";"70 ";"3  ";"sem elevador";"T1 , 70 m² construídos, 3º andar  sem elevador";"OK";"28"
"31549682";"https://www.idealista.pt/arrendar-casas/faro-distrito/pagina-28";"/imovel/31549682/";"Moradia geminada na estrada M1003, s/n, Aljezur";"1.400";"";"T2";"90 ";"";"";"T2 , 90 m² construídos";"OK";"28"
"31576865";"https://www.idealista.pt/arrendar-casas/faro-distrito/pagina-28";"/imovel/31576865/";"Apartamento T2 na rua Trabucho Alexandre, 1, Aldeia do Carrasco - Boavista - Vale da Arrancada, Portimão";"550";"";"T2";"90 ";"-1";"sem elevador";"T2 , 90 m² construídos, Cave  sem elevador";"OK";"28"
"31509249";"https://www.idealista.pt/arrendar-casas/faro-distrito/pagina-28";"/imovel/31509249/";"Apartamento T1,  quinta das Figueirinhas, 7, Porches, Lagoa (Algarve)";"650";"";"T1";"80 ";"0";"sem elevador";"T1 , 80 m² construídos, Rés do chão  sem elevador";"OK";"28"
"31606286";"https://www.idealista.pt/arrendar-casas/faro-distrito/pagina-28";"/imovel/31606286/";"Apartamento T3 na rua Joao Moitinho, 8, Conceição e Cabanas de Tavira, Tavira";"700";"";"T3";"110 ";"1  ";"sem elevador";"T3 , 110 m² construídos, 1º andar  sem elevador";"OK";"28"
"31537818";"https://www.idealista.pt/arrendar-casas/faro-distrito/pagina-28";"/imovel/31537818/";"Apartamento T2 na avenida Doutor Bernardino da Silva, Cavalinha - Bombeiros, Olhão";"750";"";"T2";"102 ";"8  ";"com elevador";"T2 , 102 m² construídos, 8º andar  com elevador";"OK";"28"
"31509277";"https://www.idealista.pt/arrendar-casas/faro-distrito/pagina-28";"/imovel/31509277/";"Apartamento T2 na avenida Comunidade Lusiadas, s/n, Três Castelos, Portimão";"800";"";"T2";"68 ";"5  ";"com elevador";"T2 , 68 m² construídos, 5º andar  com elevador";"OK";"28"
"31381341";"https://www.idealista.pt/arrendar-casas/faro-distrito/pagina-28";"/imovel/31381341/";"Apartamento T2 na rua da Liberdade, s/n, Altura, Castro Marim";"800";"";"T2";"55 ";"1  ";"sem elevador";"T2 , 55 m² construídos, 1º andar  sem elevador";"OK";"28"
"31134873";"https://www.idealista.pt/arrendar-casas/faro-distrito/pagina-28";"/imovel/31134873/";"Apartamento T1 na rua Agosto Azul, 2, Três Castelos, Portimão";"600";"";"T1";"64 ";"5  ";"com elevador";"T1 , 64 m² construídos, 5º andar  com elevador";"OK";"28"
"99077";"https://www.idealista.pt/arrendar-casas/faro-distrito/pagina-28";"/imovel/99077/";"Apartamento T2 na rua Gonçalo Velho, s/n, Moncarapacho e Fuseta, Olhão";"550";"";"T2";"90 ";"3  ";"com elevador";"T2 , 90 m² construídos, 3º andar  com elevador";"OK";"28"
"31561822";"https://www.idealista.pt/arrendar-casas/faro-distrito/pagina-28";"/imovel/31561822/";"Apartamento T1 na rua do Estádio, Correeira - Caliços, Albufeira, Albufeira e Olhos de Água";"550";"";"T1";"80 ";"3  ";"sem elevador";"T1 , 80 m² construídos, 3º andar  sem elevador";"OK";"28"
"31537478";"https://www.idealista.pt/arrendar-casas/faro-distrito/pagina-28";"/imovel/31537478/";"Apartamento T1 na rua da Vela Redonda, 36, Sesmarias-Cerro de Águia-Pátio, Albufeira e Olhos de Água";"600";"";"T1";"60 ";"0";"sem elevador";"T1 , 60 m² construídos, Rés do chão  sem elevador";"OK";"28"
