"IdImovel";"UrlPesquisa";"Url";"Nome";"Preco";"PrecoDesconto";"tipo";"metros";"andar";"elevador";"Detalhes";"Status";"Page"
"30102005";"https://www.idealista.pt/arrendar-casas/leiria-distrito/pagina-5";"/imovel/30102005/";"Apartamento T2 na avenida Vitor Gallo, 81, Marinha Grande";"500";"";"T2";"78 ";"3  ";"com elevador";"T2 , 78 m² construídos, 3º andar  com elevador";"OK";"5"
"19542";"https://www.idealista.pt/arrendar-casas/leiria-distrito/pagina-5";"/imovel/19542/";"Apartamento T2 no largo de Touros, 1, Nazaré";"600";"";"T2";"80 ";"0";"sem elevador";"T2 , 80 m² construídos, Rés do chão  sem elevador";"OK";"5"
"35547";"https://www.idealista.pt/arrendar-casas/leiria-distrito/pagina-5";"/imovel/35547/";"Apartamento T0 na rua de Touros, s/n, Nazaré";"400";"";"T0";"28 ";"2  ";"sem elevador";"T0 , 28 m² construídos, 2º andar  sem elevador";"OK";"5"
"30114601";"https://www.idealista.pt/arrendar-casas/leiria-distrito/pagina-5";"/imovel/30114601/";"Moradia independente na rua da liberdade, s/n, Alcobaça e Vestiaria, Alcobaça";"3.000";"";"T11";"500 ";"";"";"T11 , 500 m² construídos";"OK";"5"
"30900981";"https://www.idealista.pt/arrendar-casas/leiria-distrito/pagina-5";"/imovel/30900981/";"Apartamento T2 em Leiria - Pousos - Barreira e Cortes, Leiria";"500";"";"T2";"80 ";"8  ";"com elevador";"T2 , 80 m² construídos, 8º andar  com elevador";"OK";"5"
"31606555";"https://www.idealista.pt/arrendar-casas/leiria-distrito/pagina-5";"/imovel/31606555/";"Apartamento T2,  Nova, 111, Alcobaça e Vestiaria, Alcobaça";"400";"";"T2";"55 ";"-1";"sem elevador";"T2 , 55 m² construídos, Cave  sem elevador, 15 nov ";"OK";"5"
"31613580";"https://www.idealista.pt/arrendar-casas/leiria-distrito/pagina-5";"/imovel/31613580/";"Apartamento T2 na estrada de Fátima, 46, São Mamede, Batalha";"350";"";"T2";"120 ";"1  ";"sem elevador";"T2 , 120 m² construídos, 1º andar  sem elevador, 15 nov ";"OK";"5"
"31598311";"https://www.idealista.pt/arrendar-casas/leiria-distrito/pagina-5";"/imovel/31598311/";"Apartamento T1 na avenida Doutor Vítor Faveiro, 6, Ansião";"165";"";"T1";"40 ";"2  ";"sem elevador";"T1 , 40 m² construídos, 2º andar  sem elevador";"OK";"5"
"31557589";"https://www.idealista.pt/arrendar-casas/leiria-distrito/pagina-5";"/imovel/31557589/";"Apartamento T3 na rua da Escola, 10, Leiria - Pousos - Barreira e Cortes, Leiria";"550";"";"T3";"100 ";"1  ";"sem elevador";"T3 , 100 m² construídos, 1º andar  sem elevador";"OK";"5"
"31038838";"https://www.idealista.pt/arrendar-casas/leiria-distrito/pagina-5";"/imovel/31038838/";"Moradia independente no largo dos Galeões, 7, Peniche";"977";"";"T4";"600 ";"";"";"T4 , 600 m² construídos";"OK";"5"
