"IdImovel";"UrlPesquisa";"Url";"Nome";"Preco";"PrecoDesconto";"tipo";"metros";"andar";"elevador";"Detalhes";"Status";"Page"
"31353462";"https://www.idealista.pt/arrendar-casas/porto-distrito/pagina-67";"/imovel/31353462/";"Apartamento T2 na rua da Memória, 131, Lordelo, Paredes";"400";"";"T2";"85 ";"2  ";"sem elevador";"T2 , 85 m² construídos, 2º andar  sem elevador";"NOK";"67"
"31333373";"https://www.idealista.pt/arrendar-casas/porto-distrito/pagina-67";"/imovel/31333373/";"Apartamento T1 na rua de São Bento da Vitória, 22, Centro Histórico, Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória";"600";"";"T1";"50 ";"2  ";"sem elevador";"T1 , 50 m² construídos, 2º andar  sem elevador";"OK";"67"
"31011437";"https://www.idealista.pt/arrendar-casas/porto-distrito/pagina-67";"/imovel/31011437/";"Apartamento T2 na estrada da Circunvalação, 2050, Circunvalação - Parque Nascente, Rio Tinto";"600";"";"T2";"100 ";"3  ";"sem elevador";"T2 , 100 m² construídos, 3º andar  sem elevador";"OK";"67"
"31425224";"https://www.idealista.pt/arrendar-casas/porto-distrito/pagina-67";"/imovel/31425224/";"Apartamento T1 na avenida da República, 1820, Soares dos Reis - Rasa de Cima, Mafamude e Vilar do Paraíso";"650";"";"T1";"70 ";"3  ";"com elevador";"T1 , 70 m² construídos, 3º andar  com elevador";"OK";"67"
"30415979";"https://www.idealista.pt/arrendar-casas/porto-distrito/pagina-67";"/imovel/30415979/";"Apartamento T0 na rua de Mouzinho da Silveira, Centro Histórico, Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória";"450";"";"T0";"40 ";"4  ";"sem elevador";"T0 , 40 m² construídos, 4º andar  sem elevador";"OK";"67"
"31375600";"https://www.idealista.pt/arrendar-casas/porto-distrito/pagina-66";"/imovel/31375600/";"Apartamento T3 na rua São João Bosco, 221, Pinheiro Manso, Ramalde";"1.600";"";"T3";"123 ";"3  ";"com elevador";"T3 , 123 m² construídos, 3º andar  com elevador";"OK";"66"
"31310669";"https://www.idealista.pt/arrendar-casas/porto-distrito/pagina-66";"/imovel/31310669/";"Apartamento T2,  Urbanização de Soutelo, 76, São Caetano - Soutelo - Areias, Rio Tinto";"600";"";"T2";"90 ";"3  ";"com elevador";"T2 , 90 m² construídos, 3º andar  com elevador";"OK";"66"
"31290567";"https://www.idealista.pt/arrendar-casas/porto-distrito/pagina-66";"/imovel/31290567/";"Apartamento T0 na rua Santo Ildefonso, 252, Baixa, Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória";"750";"";"T0";"40 ";"2  ";"sem elevador";"T0 , 40 m² construídos, 2º andar  sem elevador";"OK";"66"
"31209255";"https://www.idealista.pt/arrendar-casas/porto-distrito/pagina-66";"/imovel/31209255/";"Apartamento T3 na rua Sousa Carvalho, 147, Pedra Verde, São Mamede de Infesta e Senhora da Hora";"720";"";"T3";"100 ";"0";"com elevador";"T3 , 100 m² construídos, Rés do chão  com elevador";"OK";"66"
"31159846";"https://www.idealista.pt/arrendar-casas/porto-distrito/pagina-66";"/imovel/31159846/";"Apartamento T1 na rua Dom Manuel II, 193, Santo Ovídio - Cedro - Monte da Virgem, Mafamude e Vilar do Paraíso";"600";"";"T1";"60 ";"1  ";"com elevador";"T1 , 60 m² construídos, 1º andar  com elevador";"OK";"66"
"31067394";"https://www.idealista.pt/arrendar-casas/porto-distrito/pagina-66";"/imovel/31067394/";"Apartamento T2 na rua do Lugarinho, 123, Francos - Casa da Música - Pedro Hispano, Ramalde";"780";"";"T2";"80 ";"3  ";"com elevador";"T2 , 80 m² construídos, 3º andar  com elevador";"OK";"66"
"30900191";"https://www.idealista.pt/arrendar-casas/porto-distrito/pagina-66";"/imovel/30900191/";"Apartamento T2 na avenida do Bessa, Bessa - Foco, Ramalde";"1.300";"";"T2";"117 ";"4  ";"com elevador";"T2 , 117 m² construídos, 4º andar  com elevador";"OK";"66"
"30806046";"https://www.idealista.pt/arrendar-casas/porto-distrito/pagina-66";"/imovel/30806046/";"Apartamento T1 na rua do Bonjardim, 1043, Marquês - Faria Guimarães, Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória";"800";"";"T1";"65 ";"1  ";"com elevador";"T1 , 65 m² construídos, 1º andar  com elevador";"OK";"66"
"30720541";"https://www.idealista.pt/arrendar-casas/porto-distrito/pagina-66";"/imovel/30720541/";"Apartamento T2 na rua do Choupelo, 855, Barrosa - Devesas - Telheira do Meio, Santa Marinha e São Pedro da Afurada";"1.250";"";"T2";"100 ";"0";"com elevador";"T2 , 100 m² construídos, Rés do chão  com elevador";"OK";"66"
"30350671";"https://www.idealista.pt/arrendar-casas/porto-distrito/pagina-66";"/imovel/30350671/";"Apartamento T2 na rua da Arménia, 10, Miragaia - Virtudes, Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória";"800";"";"T2";"92 ";"3  ";"sem elevador";"T2 , 92 m² construídos, 3º andar  sem elevador";"OK";"66"
"31411819";"https://www.idealista.pt/arrendar-casas/porto-distrito/pagina-66";"/imovel/31411819/";"Apartamento T1 na travessa da Carvalhosa, 13, Centro de Cedofeita - Maternidade, Cedofeita - Boavista, Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória";"850";"";"T1";"50 ";"1  ";"sem elevador";"T1 , 50 m² construídos, 1º andar  sem elevador";"OK";"66"
