"IdImovel";"UrlPesquisa";"Url";"Nome";"Preco";"PrecoDesconto";"tipo";"metros";"andar";"elevador";"Detalhes";"Status";"Page"
"31205859";"https://www.idealista.pt/arrendar-casas/santarem-distrito/pagina-3";"/imovel/31205859/";"Apartamento T4 na avenida José Eduardo Vitor das Neves, 10, São João Baptista, Entroncamento";"700";"";"T4";"190 ";"6  ";"com elevador";"T4 , 190 m² construídos, 6º andar  com elevador";"OK";"3"
"31283691";"https://www.idealista.pt/arrendar-casas/santarem-distrito/pagina-3";"/imovel/31283691/";"Apartamento T2 na avenida José Eduardo Vitor das Neves, 2, São João Baptista, Entroncamento";"600";"";"T2";"112 ";"1  ";"com elevador";"T2 , 112 m² construídos, 1º andar  com elevador";"OK";"3"
"31600059";"https://www.idealista.pt/arrendar-casas/santarem-distrito/pagina-3";"/imovel/31600059/";"Apartamento T3 na praceta Habijovem, 8, Cidade de Santarém, Santarém";"600";"";"T3";"106 ";"8  ";"com elevador";"T3 , 106 m² construídos, 8º andar  com elevador";"OK";"3"
"30833032";"https://www.idealista.pt/arrendar-casas/santarem-distrito/pagina-3";"/imovel/30833032/";"Apartamento T3 na rua Almirante Reis, 28, Nossa Senhora de Fátima, Entroncamento";"450";"";"T3";"92 ";"1  ";"sem elevador";"T3 , 92 m² construídos, 1º andar  sem elevador";"OK";"3"
"31587200";"https://www.idealista.pt/arrendar-casas/santarem-distrito/pagina-3";"/imovel/31587200/";"Apartamento T3 na praceta Cónego Doutor Manuel Nunes Formigão, 5, Cidade de Santarém, Santarém";"600";"";"T3";"111 ";"2  ";"com elevador";"T3 , 111 m² construídos, 2º andar  com elevador";"OK";"3"
"31583830";"https://www.idealista.pt/arrendar-casas/santarem-distrito/pagina-3";"/imovel/31583830/";"Casa de aldeia,  peralva, 1, Paialvo, Tomar";"400";"";"T1";"100 ";"";"";"T1 , 100 m² construídos";"OK";"3"
"31612301";"https://www.idealista.pt/arrendar-casas/santarem-distrito/pagina-3";"/imovel/31612301/";"Apartamento T2 na rua Gregório Pinho, 17, Santa Maria - Salvador - Santiago, Torres Novas";"300";"";"T2";"75 ";"0";"sem elevador";"T2 , 75 m² construídos, Rés do chão  sem elevador";"OK";"3"
"31558794";"https://www.idealista.pt/arrendar-casas/santarem-distrito/pagina-3";"/imovel/31558794/";"Moradia independente em Gondemaria e Olival, Ourém";"560";"";"T1";"80 ";"";"";"T1 , 80 m² construídos";"OK";"3"
"31559879";"https://www.idealista.pt/arrendar-casas/santarem-distrito/pagina-3";"/imovel/31559879/";"Apartamento T6 na rua da Padeira, 3, Cidade de Santarém, Santarém";"850";"";"T6";"200 ";"2  ";"sem elevador";"T6 , 200 m² construídos, 2º andar  sem elevador";"OK";"3"
"27958255";"https://www.idealista.pt/arrendar-casas/santarem-distrito/pagina-3";"/imovel/27958255/";"Apartamento T3 na rua dos Bombeiros Voluntários, 10, Cidade de Santarém, Santarém";"625";"";"T3";"117 ";"6  ";"com elevador";"T3 , 117 m² construídos, 6º andar  com elevador";"OK";"3"
"31512983";"https://www.idealista.pt/arrendar-casas/santarem-distrito/pagina-3";"/imovel/31512983/";"Apartamento T0 na rua de São José, 41, Fátima, Ourém";"600";"";"T0";"80 ";"5  ";"com elevador";"T0 , 80 m² construídos, 5º andar  com elevador";"OK";"3"
"28305793";"https://www.idealista.pt/arrendar-casas/santarem-distrito/pagina-3";"/imovel/28305793/";"Casa de aldeia na rua Conego Pereira Simões, 592, Espite, Ourém";"500";"";"T2";"100 ";"";"";"T2 , 100 m² construídos";"OK";"3"
"28006889";"https://www.idealista.pt/arrendar-casas/santarem-distrito/pagina-3";"/imovel/28006889/";"Moradia independente na rua da Escola, 228, Fontes, Abrantes";"350";"";"T2";"60 ";"";"";"T2 , 60 m² construídos";"OK";"3"
"31543052";"https://www.idealista.pt/arrendar-casas/santarem-distrito/pagina-3";"/imovel/31543052/";"Apartamento T2 em Fátima, Ourém";"850";"";"T2";"75 ";"1  ";"sem elevador";"T2 , 75 m² construídos, 1º andar  sem elevador";"OK";"3"
"31538946";"https://www.idealista.pt/arrendar-casas/santarem-distrito/pagina-3";"/imovel/31538946/";"Apartamento T5 na avenida 5 de Outubro, Cidade de Santarém, Santarém";"820";"";"T5";"181 ";"1  ";"sem elevador";"T5 , 181 m² construídos, 1º andar  sem elevador";"OK";"3"
"31521575";"https://www.idealista.pt/arrendar-casas/santarem-distrito/pagina-3";"/imovel/31521575/";"Apartamento T3 na rua Arquitecto Cottinelli Telmo, 7, São João Baptista, Entroncamento";"450";"";"T3";"87 ";"0";"sem elevador";"T3 , 87 m² construídos, Rés do chão  sem elevador";"OK";"3"
"27211486";"https://www.idealista.pt/arrendar-casas/santarem-distrito/pagina-3";"/imovel/27211486/";"Apartamento T2 na rua Ferreira de Castro, 71, Samora Correia, Benavente";"700";"";"T2";"100 ";"10  ";"com elevador";"T2 , 100 m² construídos, 10º andar  com elevador";"OK";"3"
"31366858";"https://www.idealista.pt/arrendar-casas/santarem-distrito/pagina-3";"/imovel/31366858/";"Apartamento T2 na avenida José António de Carvalho, 1, Moitas Venda, Alcanena";"450";"";"T2";"120 ";"0";"sem elevador";"T2 , 120 m² construídos, Rés do chão  sem elevador";"OK";"3"
"27006221";"https://www.idealista.pt/arrendar-casas/santarem-distrito/pagina-3";"/imovel/27006221/";"Apartamento T1 na rua Nossa Senhora da Conceição, 12, São Vicente - São João - Alferrarede, Abrantes";"325";"";"T1";"55 ";"2  ";"sem elevador";"T1 , 55 m² construídos, 2º andar  sem elevador";"OK";"3"
"31297216";"https://www.idealista.pt/arrendar-casas/santarem-distrito/pagina-2";"/imovel/31297216/";"Moradia em Serra e Junceira, Tomar";"800";"";"T2";"64 ";"1";"";"T2 , 64 m² construídos, 1º andar ";"OK";"2"
"31222618";"https://www.idealista.pt/arrendar-casas/santarem-distrito/pagina-2";"/imovel/31222618/";"Apartamento T3 em Fátima, Ourém";"750";"";"T3";"132 ";"3  ";"com elevador";"T3 , 132 m² construídos, 3º andar  com elevador";"OK";"2"
"31516844";"https://www.idealista.pt/arrendar-casas/santarem-distrito/pagina-2";"/imovel/31516844/";"Apartamento T3 na avenida António da Fonseca Simões, s/n, Tomar e Santa Maria dos Olivais, Tomar";"450";"";"T3";"79 ";"";"";"T3 , 79 m² construídos";"OK";"2"
"31198381";"https://www.idealista.pt/arrendar-casas/santarem-distrito/pagina-2";"/imovel/31198381/";"Andar de moradia na rua Júlio Dinis, s/n, Cidade de Santarém, Santarém";"900";"";"T4";"154 ";"";"";"T4 , 154 m² construídos";"OK";"2"
"31476725";"https://www.idealista.pt/arrendar-casas/santarem-distrito/pagina-2";"/imovel/31476725/";"Apartamento T4 em Cidade de Santarém, Santarém";"850";"";"T4";"196 ";"3  ";"com elevador";"T4 , 196 m² construídos, 3º andar  com elevador";"OK";"2"
"31459662";"https://www.idealista.pt/arrendar-casas/santarem-distrito/pagina-2";"/imovel/31459662/";"Apartamento T2 em Tomar e Santa Maria dos Olivais, Tomar";"700";"";"T2";"129 ";"1";"";"T2 , 129 m² construídos, 1º andar ";"OK";"2"
"31285401";"https://www.idealista.pt/arrendar-casas/santarem-distrito/pagina-2";"/imovel/31285401/";"Moradia em banda em Paialvo, Tomar";"380";"";"T2";"61 ";"";"";"T2 , 61 m² construídos";"OK";"2"
"28354602";"https://www.idealista.pt/arrendar-casas/santarem-distrito/pagina-2";"/imovel/28354602/";"Apartamento T1 na rua Doutor Agostinho Neto, 3, Cidade de Santarém, Santarém";"400";"";"T1";"60 ";"0";"com elevador";"T1 , 60 m² construídos, Rés do chão  com elevador";"OK";"2"
"30786763";"https://www.idealista.pt/arrendar-casas/santarem-distrito/pagina-2";"/imovel/30786763/";"Apartamento T2 na rua Dona Inês de Castro, 4, São João Baptista, Entroncamento";"410";"";"T2";"113 ";"2  ";"com elevador";"T2 , 113 m² construídos, 2º andar  com elevador";"OK";"2"
"31575487";"https://www.idealista.pt/arrendar-casas/santarem-distrito/pagina-2";"/imovel/31575487/";"Apartamento T1 na avenida Bernardo Santareno, 37, Cidade de Santarém, Santarém";"625";"";"T1";"87 ";"4  ";"com elevador";"T1 , 87 m² construídos, 4º andar  com elevador";"OK";"2"
