"IdImovel";"UrlPesquisa";"Url";"Nome";"Preco";"PrecoDesconto";"tipo";"metros";"andar";"elevador";"Detalhes";"Status";"Page"
"31616837";"https://www.idealista.pt/arrendar-casas/viana-do-castelo-distrito/pagina-3";"/imovel/31616837/";"Apartamento T3 na rua de São João, 111, Parada, Arcos de Valdevez";"425";"";"T3";"80 ";"1  ";"sem elevador";"T3 , 80 m² construídos, 1º andar  sem elevador, 16 nov ";"OK";"3"
"31537374";"https://www.idealista.pt/arrendar-casas/viana-do-castelo-distrito/pagina-3";"/imovel/31537374/";"Casa de aldeia na rua dos Rubins, Centro Histórico, Viana do Castelo e Meadela";"400";"";"T1";"92 ";"";"";"T1 , 92 m² construídos";"OK";"3"
"31126535";"https://www.idealista.pt/arrendar-casas/viana-do-castelo-distrito/pagina-3";"/imovel/31126535/";"Apartamento T2 na rua do Vilarinho, 12, Centro Histórico, Viana do Castelo e Meadela";"750";"";"T2";"96 ";"2  ";"sem elevador";"T2 , 96 m² construídos, 2º andar  sem elevador";"OK";"3"
"31454160";"https://www.idealista.pt/arrendar-casas/viana-do-castelo-distrito/pagina-3";"/imovel/31454160/";"Quinta na avenida de Paço, 512, Carreço, Viana do Castelo";"4.000";"";"T5";"800 ";"";"";"T5 , 800 m² construídos";"OK";"3"
"29795011";"https://www.idealista.pt/arrendar-casas/viana-do-castelo-distrito/pagina-3";"/imovel/29795011/";"Moradia independente na avenida do cabedelo, 1517, Darque, Viana do Castelo";"1.800";"";"T5";"250 ";"";"";"T5 , 250 m² construídos";"OK";"3"
"31549892";"https://www.idealista.pt/arrendar-casas/viana-do-castelo-distrito/pagina-3";"/imovel/31549892/";"Apartamento T2 no largo de São Domingos, 4900, Centro Histórico, Viana do Castelo e Meadela";"800";"";"T2";"90 ";"1  ";"sem elevador";"T2 , 90 m² construídos, 1º andar  sem elevador";"OK";"3"
"31552544";"https://www.idealista.pt/arrendar-casas/viana-do-castelo-distrito/pagina-3";"/imovel/31552544/";"Apartamento T3 em Salvador, Arcos de Valdevez";"600";"";"T3";"231 ";"";"";"T3 , 231 m² construídos";"OK";"3"
"31438394";"https://www.idealista.pt/arrendar-casas/viana-do-castelo-distrito/pagina-3";"/imovel/31438394/";"Moradia em Cendufe, Arcos de Valdevez";"400";"";"T2";"109 ";"";"";"T2 , 109 m² construídos";"OK";"3"
"29413362";"https://www.idealista.pt/arrendar-casas/viana-do-castelo-distrito/pagina-3";"/imovel/29413362/";"Apartamento T2 na rua das torres, 289, Chafé, Viana do Castelo";"500";"";"T2";"80 ";"1  ";"com elevador";"T2 , 80 m² construídos, 1º andar  com elevador";"OK";"3"
"31458556";"https://www.idealista.pt/arrendar-casas/viana-do-castelo-distrito/pagina-3";"/imovel/31458556/";"Casa de aldeia na rua das Rochas, 16, Torre e Vila Mou, Viana do Castelo";"750";"";"T2";"70 ";"";"";"T2 , 70 m² construídos";"OK";"3"
