"IdImovel";"UrlPesquisa";"Url";"Nome";"Preco";"PrecoDesconto";"tipo";"metros";"andar";"elevador";"Detalhes";"Status";"Page"
"29925622";"https://www.idealista.pt/arrendar-casas/lisboa/campo-de-ourique/";"/imovel/29925622/";"Apartamento T1 em Santo Condestável - Centro, Campo de Ourique";"975";"";"T1";"57";"1";"com elevador";"T1 , 57 m² construídos, 1º andar  com elevador";"OK";"1.0"
"31365330";"https://www.idealista.pt/arrendar-casas/lisboa/campo-de-ourique/";"/imovel/31365330/";"Apartamento T2 em Santo Condestável - Centro, Campo de Ourique";"1.300";"";"T2";"95";"1";"com elevador";"T2 , 95 m² construídos, 1º andar  com elevador";"NOK";"1.0"
"31268054";"https://www.idealista.pt/arrendar-casas/lisboa/campo-de-ourique/";"/imovel/31268054/";"Apartamento T3 em Santo Condestável - Centro, Campo de Ourique";"1.900";"";"T3";"135";"5";"com elevador";"T3 , 135 m² construídos, 5º andar  com elevador";"NOK";"1.0"
"31081674";"https://www.idealista.pt/arrendar-casas/lisboa/santa-maria-maior/pagina-11";"/imovel/31081674/";"Apartamento T1,  Praça Martim Moniz, 10, Rossio - Martim Moniz, Santa Maria Maior";"800";"";"T1";"60";"3";"com elevador";"T1 , 60 m² construídos, 3º andar  com elevador";"NOK";"11.0"
"30400106";"https://www.idealista.pt/arrendar-casas/lisboa/santa-maria-maior/pagina-10";"/imovel/30400106/";"Apartamento T0 no beco do Jasmim, 2, Castelo - Mouraria, Santa Maria Maior";"690";"";"T0";"40";"3";"sem elevador";"T0 , 40 m² construídos, 3º andar  sem elevador";"NOK";"10.0"
"31053922";"https://www.idealista.pt/arrendar-casas/lisboa/santa-maria-maior/pagina-10";"/imovel/31053922/";"Apartamento T1 na travessa dos Lagares, 16, Castelo - Mouraria, Santa Maria Maior";"600";"";"T1";"30";"1";"sem elevador";"T1 , 30 m² construídos, 1º andar  sem elevador";"NOK";"10.0"
"31052848";"https://www.idealista.pt/arrendar-casas/lisboa/santa-maria-maior/pagina-10";"/imovel/31052848/";"Apartamento T1,  N2, 7, Alfama - Sé, Santa Maria Maior";"750";"";"T1";"36";"0";"sem elevador";"T1 , 36 m² construídos, Rés do chão  sem elevador";"OK";"10.0"
"30839119";"https://www.idealista.pt/arrendar-casas/lisboa/santa-maria-maior/pagina-10";"/imovel/30839119/";"Duplex na travessa Merceeiras, 15, Alfama - Sé, Santa Maria Maior";"800";"";"T1";"55";"1";"sem elevador";"T1 , 55 m² construídos, 1º andar  sem elevador";"NOK";"10.0"
"30843233";"https://www.idealista.pt/arrendar-casas/lisboa/santa-maria-maior/pagina-10";"/imovel/30843233/";"Apartamento T2 em Rossio - Martim Moniz, Santa Maria Maior";"900";"";"T2";"80";"0";"sem elevador";"T2 , 80 m² construídos, Rés do chão  sem elevador";"NOK";"10.0"
"31412614";"https://www.idealista.pt/arrendar-casas/lisboa/santa-maria-maior/pagina-10";"/imovel/31412614/";"Apartamento T4 na rua do Benformoso, 155, Rossio - Martim Moniz, Santa Maria Maior";"1.600";"";"T4";"100";"2";"sem elevador";"T4 , 100 m² construídos, 2º andar  sem elevador";"NOK";"10.0"
