
Quadro extraído em 28 de Julho de 2025 (19:30:24)
http://www.ine.pt



Localização geográfica (NUTS - 2024);Valor mediano das rendas por m2 de novos contratos de arrendamento de alojamentos familiares nos últimos 12 meses (?) por Localização geográfica (NUTS - 2024) -  Semestral;;
;Período de referência dos dados;;
;2.º Semestre de 2024;1.º Semestre de 2024;
;? ;? ;
PT: Portugal;7,97;7,6;
1: Continente;8;7,63;
11: Norte;6,94;6,6;
111: Alto Minho;5,89;5,56;
1111601: Arcos de Valdevez;4,64;4,21;
1111602: Caminha;5,83;5,16;
1111603: Melgaço;3,29;3,33;
1111604: Monção;6,58;5,36;
1111605: Paredes de Coura;3,84;3,48;
1111606: Ponte da Barca;3,64;3,43;
1111607: Ponte de Lima;5,32;5,27;
1111608: Valença;4,79;4,42;
1111609: Viana do Castelo;6,99;6,67;
1111610: Vila Nova de Cerveira;4,55;4,3;
112: Cávado;6,98;6,77;
1120301: Amares;4,47;4,39;
1120302: Barcelos;5,42;5,34;
1120303: Braga;7,69;7,41;
1120306: Esposende;7,37;7,14;
1120310: Terras de Bouro;- -;- -;
1120313: Vila Verde;5;4,88;
119: Ave;5,34;4,97;
1190304: Cabeceiras de Basto;4,23;3,43;
1190307: Fafe;4,12;3,85;
1190308: Guimarães;5,75;5,24;
1191705: Mondim de Basto;- -;- -;
1190309: Póvoa de Lanhoso;4,68;3,86;
1190311: Vieira do Minho;- -;- -;
1190312: Vila Nova de Famalicão;5,71;5,38;
1190314: Vizela;4,83;4,82;
11A: Área Metropolitana do Porto;8,85;8,47;
11A0104: Arouca;5,03;4,55;
11A010402: Alvarenga;- -;- -;
11A010407: Chave;- -;- -;
11A010409: Escariz;- -;- -;
11A010411: Fermedo;- -;- -;
11A010413: Mansores;- -;- -;
11A010414: Moldes;- -;- -;
11A010415: Rossas;- -;- -;
11A010416: Santa Eulália;- -;- -;
11A010417: São Miguel do Mato;-;-;
11A010418: Tropeço;- -;- -;
11A010421: União das freguesias de Arouca e Burgo;6,28;5,65;
11A010422: União das freguesias de Cabreiros e Albergaria da Serra;- -;- -;
11A010423: União das freguesias de Canelas e Espiunca;- -;- -;
11A010424: União das freguesias de Covelo de Paivó e Janarde;-;-;
11A010419: Urrô;- -;- -;
11A010420: Várzea;- -;- -;
11A0107: Espinho;8,04;7,61;
11A010702: Espinho;8,71;8,34;
11A010704: Paramos;- -;- -;
11A010705: Silvalde;8,19;- -;
11A010706: União das freguesias de Anta e Guetim;7,27;7,13;
11A1304: Gondomar;7,56;7,32;
11A130412: Baguim do Monte (Rio Tinto);9,26;7,74;
11A130405: Lomba;- -;- -;
11A130408: Rio Tinto;8,18;8,19;
11A130413: União das freguesias de Fânzeres e São Pedro da Cova;6,46;6,35;
