
Quadro extraído em 28 de Julho de 2025 (19:21:17)
http://www.ine.pt



Localização geográfica (NUTS - 2024);Taxa de criminalidade (?) por Localização geográfica (NUTS - 2024) e Categoria de crime -  Anual;;;;;;;
;Período de referência dos dados (1) ;;;;;;;
;2024;;;;;;;
;Categoria de crime;;;;;;;
;Total;Crimes contra a integridade física;Furto/roubo por esticão e na via pública;Furto de veículo e em veículo motorizado;Condução de veículo com taxa de álcool igual ou superior a 1,2g/l;Condução sem habilitação legal;Crimes contra o património;
;? ;? ;? ;? ;? ;? ;? ;
PT: Portugal;33;5,4;0,7;2,7;1,7;1;17,3;
1: Continente;31,4;5,3;0,7;2,7;1,6;1;16,3;
11: Norte;26,1;4,8;0,5;2,9;1,3;0,8;13,3;
111: Alto Minho;28,7;5;0,2;2;1,9;0,9;13,1;
1111601: Arcos de Valdevez;30,9;5;? ?;1,4;2;1,1;9,3;
1111602: Caminha;35,6;6,9;? ?;2,5;2,8;1,3;15,5;
1111603: Melgaço;41,9;5,7;? ?;1,6;2,2;1,6;18,9;
1111604: Monção;18,3;2,5;0;1,2;2,2;1,6;7,9;
1111605: Paredes de Coura;27,7;3;0;1;4;0,9;12,9;
1111606: Ponte da Barca;29;5,9;0,3;0,6;2,2;0,3;10,4;
1111607: Ponte de Lima;22,4;4,5;0,1;1,8;0,9;0,4;10,5;
1111608: Valença;36,7;7,5;0,2;2,7;2,5;0,9;14,6;
1111609: Viana do Castelo;29;5;0,2;2,6;1,6;0,7;15,3;
1111610: Vila Nova de Cerveira;35;5,3;0;2;3,6;1,5;14,5;
112: Cávado;21,9;4,2;0,3;2,1;1;0,3;11;
1120301: Amares;17,9;4;? ?;0,8;1,4;0,2;7,2;
1120302: Barcelos;16,3;3,5;0,1;1,4;0,7;0,3;7,4;
1120303: Braga;23;4,2;0,5;2,6;0,8;0,2;12,7;
1120306: Esposende;26,8;4,8;0,1;3;2,1;0,6;13,9;
1120310: Terras de Bouro;32,4;7,1;0;1,1;3;0,6;9,9;
1120313: Vila Verde;26,9;5,3;? ?;1,5;1,3;0,5;12,1;
119: Ave;20,9;4,3;0,2;1,6;1,3;0,5;9,3;
1190304: Cabeceiras de Basto;22,4;4,1;? ?;1,9;2,7;0;7,3;
1190307: Fafe;26,5;4,7;0,1;1,1;1,2;0,4;11,5;
1190308: Guimarães;19,4;4,2;0,3;1,5;1,2;0,5;9;
1191705: Mondim de Basto;23,8;4,4;0;1,6;0,6;? ?;9,7;
1190309: Póvoa de Lanhoso;25,2;4,9;0,3;1,3;1,7;0,5;10,6;
1190311: Vieira do Minho;22;5;? ?;1,1;1,2;0,4;8,5;
1190312: Vila Nova de Famalicão;20,2;4,3;0,3;2,1;1,4;0,7;9,2;
1190314: Vizela;16,6;3,9;0,1;1,2;0,8;? ?;7,3;
11A: Área Metropolitana do Porto;29,1;5;0,8;4,2;1,1;0,9;16,5;
11A0104: Arouca;14,6;3,8;? ?;0,6;1,1;0,1;5,3;
11A0107: Espinho;32,7;6,1;0,8;4,2;0,9;0,6;18,1;
11A1304: Gondomar;19,2;4,2;0,4;2,5;0,4;0,5;10,1;
11A1306: Maia;28;4;0,6;3,6;0,9;1;17;
11A1308: Matosinhos;28,7;4,9;0,9;4,3;0,4;0,6;18,3;
11A0113: Oliveira de Azeméis;18,3;4,5;? ?;0,6;1,7;0,3;7,7;
11A1310: Paredes;22,6;5;0,2;1,9;2,5;1,4;8,1;
11A1312: Porto;60,6;7,3;2,9;12,1;1,4;2;39,9;
11A1313: Póvoa de Varzim;22;4,1;0,3;2,9;0,4;0,3;12,9;
11A0109: Santa Maria da Feira;21,1;5;0,2;2,1;1,7;0,5;9,1;
11A1314: Santo Tirso;21,3;4,1;0,2;1,8;1,8;0,8;9;
11A0116: São João da Madeira;27,1;6,9;0,5;1,8;0,8;0,9;13,3;
11A1318: Trofa;17,8;3,9;0,1;1,9;1;0,9;8,7;
11A0119: Vale de Cambra;28,8;4,8;0;1,2;3,1;0,7;14,2;
11A1315: Valongo;21,3;4,4;0,4;2,5;1,8;0,8;10,2;
11A1316: Vila do Conde;26;4,2;0,4;3,5;1,9;1,4;13,1;
11A1317: Vila Nova de Gaia;26,3;5,1;0,6;3,8;0,6;0,6;14,9;
