01. Ano,02. Nome País (Europa),03. Nome Região (Portugal),04. Âmbito Geográfico,05. Filtro 1,06. Filtro 2,07. Filtro 3,08. Escala,09. Símbolo,10. Valor
2008,Alemanha,,,01. Homicídio intencional,,, crimes,,656
2008,Alemanha,,,02. Tentativa de homicídio intencional,,, crimes,,1610
2008,Alemanha,,,03. Agressão grave,,, crimes,,518499
2008,Alemanha,,,04. Sequestro,,, crimes,,1857
2008,Alemanha,,,05. Violência sexual,,, crimes,,56784
2008,Alemanha,,,06. Violação,,, crimes,,7292
2008,Alemanha,,,07. Assédio sexual,,, crimes,,49492
2008,Alemanha,,,08. Roubo,,, crimes,,49913
2008,Alemanha,,,09. Arrombamento,,, crimes,,390367
2008,Alemanha,,,10. Roubo em residências particulares,,, crimes,,108284
2008,Alemanha,,,11. Furto,,, crimes,,2052913
2008,Alemanha,,,12. Furto de veículo motorizado ou peças do mesmo,,, crimes,,89036
2008,Alemanha,,,13. Atos ilícitos envolvendo drogas controladas ou precursores,,, crimes,,239951
2008,Áustria,,,01. Homicídio intencional,,, crimes,,58
2008,Áustria,,,02. Tentativa de homicídio intencional,,, crimes,,58
2008,Áustria,,,03. Agressão grave,,, crimes,,3945
2008,Áustria,,,04. Sequestro,,, crimes,,11
2008,Áustria,,,05. Violência sexual,,, crimes,,4185
2008,Áustria,,,06. Violação,,, crimes,,693
2008,Áustria,,,07. Assédio sexual,,, crimes,,3492
2008,Áustria,,,08. Roubo,,, crimes,,4786
2008,Áustria,,,09. Arrombamento,,, crimes,,104296
2008,Áustria,,,10. Roubo em residências particulares,,, crimes,,17180
2008,Áustria,,,11. Furto,,, crimes,,174008
2008,Áustria,,,12. Furto de veículo motorizado ou peças do mesmo,,, crimes,,9049
2008,Áustria,,,13. Atos ilícitos envolvendo drogas controladas ou precursores,,, crimes,,1980
2008,Bélgica,,,01. Homicídio intencional,,, crimes,,204
2008,Bélgica,,,02. Tentativa de homicídio intencional,,, crimes,,682
2008,Bélgica,,,03. Agressão grave,,, crimes,,76314
2008,Bélgica,,,04. Sequestro,,, crimes,,1013
2008,Bélgica,,,05. Violência sexual,,, crimes,,10779
2008,Bélgica,,,06. Violação,,, crimes,,3231
2008,Bélgica,,,07. Assédio sexual,,, crimes,,7548
2008,Bélgica,,,08. Roubo,,, crimes,,22877
2008,Bélgica,,,09. Arrombamento,,, crimes,,93363
2008,Bélgica,,,10. Roubo em residências particulares,,, crimes,,64061
2008,Bélgica,,,11. Furto,,, crimes,,245682
2008,Bélgica,,,12. Furto de veículo motorizado ou peças do mesmo,,, crimes,,23303
2008,Bélgica,,,13. Atos ilícitos envolvendo drogas controladas ou precursores,,, crimes,,14854
2008,Bulgária,,,01. Homicídio intencional,,, crimes,,172
2008,Bulgária,,,02. Tentativa de homicídio intencional,,, crimes,,60
2008,Bulgária,,,03. Agressão grave,,, crimes,,3216
2008,Bulgária,,,04. Sequestro,,, crimes,,127
2008,Bulgária,,,05. Violência sexual,,, crimes,,749
2008,Bulgária,,,06. Violação,,, crimes,,262
2008,Bulgária,,,07. Assédio sexual,,, crimes,,487
2008,Bulgária,,,08. Roubo,,, crimes,,2868
2008,Bulgária,,,09. Arrombamento,,, crimes,,19980
2008,Bulgária,,,10. Roubo em residências particulares,,, crimes,,6745
2008,Bulgária,,,11. Furto,,, crimes,,42553
2008,Bulgária,,,12. Furto de veículo motorizado ou peças do mesmo,,, crimes,,4571
2008,Bulgária,,,13. Atos ilícitos envolvendo drogas controladas ou precursores,,, crimes,,2857
2008,Chéquia,,,01. Homicídio intencional,,, crimes,,113
2008,Chéquia,,,02. Tentativa de homicídio intencional,,, crimes,,89
2008,Chéquia,,,03. Agressão grave,,, crimes,,5397
2008,Chéquia,,,04. Sequestro,,, crimes,,15
2008,Chéquia,,,05. Violência sexual,,, crimes,,1680
2008,Chéquia,,,06. Violação,,, crimes,,529
2008,Chéquia,,,07. Assédio sexual,,, crimes,,1151
2008,Chéquia,,,08. Roubo,,, crimes,,4641
2008,Chéquia,,,09. Arrombamento,,, crimes,,53381
2008,Chéquia,,,10. Roubo em residências particulares,,, crimes,,4634
2008,Chéquia,,,11. Furto,,, crimes,,148264
2008,Chéquia,,,12. Furto de veículo motorizado ou peças do mesmo,,, crimes,,31594
2008,Chéquia,,,13. Atos ilícitos envolvendo drogas controladas ou precursores,,, crimes,,2812
2008,Chipre,,,01. Homicídio intencional,,, crimes,,9
2008,Chipre,,,02. Tentativa de homicídio intencional,,, crimes,,13
2008,Chipre,,,03. Agressão grave,,, crimes,,167
2008,Chipre,,,04. Sequestro,,, crimes,,12
2008,Chipre,,,05. Violência sexual,,, crimes,,97
2008,Chipre,,,06. Violação,,, crimes,,34
2008,Chipre,,,07. Assédio sexual,,, crimes,,63
2008,Chipre,,,08. Roubo,,, crimes,,71
2008,Chipre,,,09. Arrombamento,,, crimes,,2587
2008,Chipre,,,10. Roubo em residências particulares,,, crimes,x,
2008,Chipre,,,11. Furto,,, crimes,,3191
2008,Chipre,,,12. Furto de veículo motorizado ou peças do mesmo,,, crimes,,1786
2008,Chipre,,,13. Atos ilícitos envolvendo drogas controladas ou precursores,,, crimes,,779
2008,Croácia,,,01. Homicídio intencional,,, crimes,,71
2008,Croácia,,,02. Tentativa de homicídio intencional,,, crimes,x,
2008,Croácia,,,03. Agressão grave,,, crimes,,1128
2008,Croácia,,,04. Sequestro,,, crimes,,16
2008,Croácia,,,05. Violência sexual,,, crimes,,765
2008,Croácia,,,06. Violação,,, crimes,,188
2008,Croácia,,,07. Assédio sexual,,, crimes,,577
2008,Croácia,,,08. Roubo,,, crimes,,1259
2008,Croácia,,,09. Arrombamento,,, crimes,,17471
2008,Croácia,,,10. Roubo em residências particulares,,, crimes,,2714
2008,Croácia,,,11. Furto,,, crimes,,15300
2008,Croácia,,,12. Furto de veículo motorizado ou peças do mesmo,,, crimes,,1927
2008,Croácia,,,13. Atos ilícitos envolvendo drogas controladas ou precursores,,, crimes,,7882
2008,Dinamarca,,,01. Homicídio intencional,,, crimes,,53
2008,Dinamarca,,,02. Tentativa de homicídio intencional,,, crimes,,197
2008,Dinamarca,,,03. Agressão grave,,, crimes,,1663
2008,Dinamarca,,,05. Violência sexual,,, crimes,,1812
2008,Dinamarca,,,06. Violação,,, crimes,,975
2008,Dinamarca,,,07. Assédio sexual,,, crimes,,837
2008,Dinamarca,,,08. Roubo,,, crimes,,3400
2008,Dinamarca,,,09. Arrombamento,,, crimes,,93578
2008,Dinamarca,,,10. Roubo em residências particulares,,, crimes,,58790
2008,Dinamarca,,,11. Furto,,, crimes,,297206
2008,Dinamarca,,,12. Furto de veículo motorizado ou peças do mesmo,,, crimes,,1750
2008,Dinamarca,,,13. Atos ilícitos envolvendo drogas controladas ou precursores,,, crimes,,20260
2008,Eslováquia,,,01. Homicídio intencional,,, crimes,,94
2008,Eslováquia,,,02. Tentativa de homicídio intencional,,, crimes,,0
2008,Eslováquia,,,03. Agressão grave,,, crimes,,2702
2008,Eslováquia,,,04. Sequestro,,, crimes,,3
2008,Eslováquia,,,05. Violência sexual,,, crimes,x,
2008,Eslováquia,,,06. Violação,,, crimes,,152
2008,Eslováquia,,,07. Assédio sexual,,, crimes,x,
2008,Eslováquia,,,08. Roubo,,, crimes,,1371
2008,Eslováquia,,,09. Arrombamento,,, crimes,,15159
2008,Eslováquia,,,10. Roubo em residências particulares,,, crimes,,2118
2008,Eslováquia,,,11. Furto,,, crimes,,33743
2008,Eslováquia,,,12. Furto de veículo motorizado ou peças do mesmo,,, crimes,,4135
2008,Eslováquia,,,13. Atos ilícitos envolvendo drogas controladas ou precursores,,, crimes,,538
2008,Eslovénia,,,01. Homicídio intencional,,, crimes,,11
2008,Eslovénia,,,02. Tentativa de homicídio intencional,,, crimes,,19
2008,Eslovénia,,,03. Agressão grave,,, crimes,,214
2008,Eslovénia,,,04. Sequestro,,, crimes,,7
2008,Eslovénia,,,05. Violência sexual,,, crimes,,312
2008,Eslovénia,,,06. Violação,,, crimes,,230
2008,Eslovénia,,,07. Assédio sexual,,, crimes,,82
2008,Eslovénia,,,08. Roubo,,, crimes,,386
2008,Eslovénia,,,09. Arrombamento,,, crimes,,15310
2008,Eslovénia,,,10. Roubo em residências particulares,,, crimes,,2036
2008,Eslovénia,,,11. Furto,,, crimes,,28765
2008,Eslovénia,,,12. Furto de veículo motorizado ou peças do mesmo,,, crimes,,582
2008,Eslovénia,,,13. Atos ilícitos envolvendo drogas controladas ou precursores,,, crimes,,1434
2008,Espanha,,,01. Homicídio intencional,,, crimes,,407
2008,Espanha,,,02. Tentativa de homicídio intencional,,, crimes,,887
2008,Espanha,,,03. Agressão grave,,, crimes,,72803
2008,Espanha,,,04. Sequestro,,, crimes,,237
2008,Espanha,,,05. Violência sexual,,, crimes,,10888
2008,Espanha,,,06. Violação,,, crimes,,2437
2008,Espanha,,,07. Assédio sexual,,, crimes,,8451
2008,Espanha,,,08. Roubo,,, crimes,,71421
2008,Espanha,,,09. Arrombamento,,, crimes,r,174276
2008,Espanha,,,10. Roubo em residências particulares,,, crimes,,93920
