01. Ano,02. Nome Região (Portugal),03. Âmbito Geográfico,04. Filtro 1,05. Filtro 2,06. Filtro 3,08. Símbolo,07. Escala,09. Valor
1960,Portugal,,,,,, recintos,437
1961,Portugal,,,,,, recintos,435
1962,Portugal,,,,,, recintos,456
1963,Portugal,,,,,, recintos,450
1964,Portugal,,,,,, recintos,441
1965,Portugal,,,,,, recintos,449
1966,Portugal,,,,,, recintos,439
1967,Portugal,,,,,, recintos,482
1968,Portugal,,,,,, recintos,492
1969,Portugal,,,,,, recintos,484
1970,Portugal,,,,,x, recintos,
1971,Portugal,,,,,x, recintos,
1972,Portugal,,,,,x, recintos,
1973,Portugal,,,,,x, recintos,
1974,Portugal,,,,,x, recintos,
1975,Portugal,,,,,x, recintos,
1976,Portugal,,,,,x, recintos,
1977,Portugal,,,,,x, recintos,
1978,Portugal,,,,,x, recintos,
1979,Portugal,,,,,, recintos,435
1980,Portugal,,,,,, recintos,423
1981,Portugal,,,,,, recintos,420
1982,Portugal,,,,,, recintos,423
1983,Portugal,,,,,, recintos,415
1984,Portugal,,,,,, recintos,377
1985,Portugal,,,,,, recintos,379
1986,Portugal,,,,,, recintos,373
1987,Portugal,,,,,, recintos,358
1988,Portugal,,,,,, recintos,378
1989,Portugal,,,,,, recintos,333
1990,Portugal,,,,,, recintos,276
1991,Portugal,,,,,, recintos,240
1992,Portugal,,,,,, recintos,209
1993,Portugal,,,,,, recintos,187
1994,Portugal,,,,,, recintos,175
1995,Portugal,,,,,, recintos,241
1996,Portugal,,,,,, recintos,270
1997,Portugal,,,,,, recintos,313
1998,Portugal,,,,,, recintos,332
1999,Portugal,,,,,Quebra de série, recintos,214
2000,Portugal,,,,,, recintos,226
2001,Portugal,,,,,, recintos,238
2002,Portugal,,,,,, recintos,245
2003,Portugal,,,,,, recintos,245
2004,Portugal,,,,,, recintos,246
2005,Portugal,,,,,, recintos,255
2006,Portugal,,,,,Quebra de série, recintos,140
2007,Portugal,,,,,, recintos,176
2008,Portugal,,,,,, recintos,182
2009,Portugal,,,,,, recintos,174
2010,Portugal,,,,,, recintos,167
2011,Portugal,,,,,, recintos,165
2012,Portugal,,,,,, recintos,160
2013,Portugal,,,,,, recintos,158
2014,Portugal,,,,,, recintos,168
2015,Portugal,,,,,, recintos,165
2016,Portugal,,,,,, recintos,167
2017,Portugal,,,,,, recintos,173
2018,Portugal,,,,,, recintos,186
2019,Portugal,,,,,, recintos,185
2020,Portugal,,,,,, recintos,174
2021,Portugal,,,,,, recintos,176
2022,Portugal,,,,,, recintos,190
2023,Portugal,,,,,, recintos,200
2024,Portugal,,,,,, recintos,204
2009,Abrantes,Município,,,,, recintos,1
2009,Águeda,Município,,,,, recintos,1
2009,Aguiar da Beira,Município,,,,, recintos,0
2009,Alandroal,Município,,,,, recintos,1
2009,Albergaria-a-Velha,Município,,,,, recintos,0
2009,Albufeira,Município,,,,, recintos,1
2009,Alcácer do Sal,Município,,,,, recintos,1
2009,Alcanena,Município,,,,, recintos,0
2009,Alcobaça,Município,,,,, recintos,1
2009,Alcochete,Município,,,,, recintos,1
2009,Alcoutim,Município,,,,, recintos,0
2009,Alenquer,Município,,,,, recintos,0
2009,Alfândega da Fé,Município,,,,, recintos,1
2009,Alijó,Município,,,,, recintos,0
2009,Aljezur,Município,,,,, recintos,0
2009,Aljustrel,Município,,,,, recintos,0
2009,Almada,Município,,,,, recintos,1
2009,Almeida,Município,,,,, recintos,0
2009,Almeirim,Município,,,,, recintos,0
2009,Almodôvar,Município,,,,, recintos,0
2009,Alpiarça,Município,,,,, recintos,0
2009,Alter do Chão,Município,,,,, recintos,0
2009,Alvaiázere,Município,,,,, recintos,1
2009,Alvito,Município,,,,, recintos,0
2009,Amadora,Município,,,,, recintos,1
2009,Amarante,Município,,,,, recintos,0
2009,Amares,Município,,,,, recintos,0
2009,Anadia,Município,,,,, recintos,1
2009,Angra do Heroísmo,Município,,,,, recintos,0
2009,Ansião,Município,,,,, recintos,1
2009,Arcos de Valdevez,Município,,,,, recintos,1
2009,Arganil,Município,,,,, recintos,0
2009,Armamar,Município,,,,, recintos,0
2009,Arouca,Município,,,,, recintos,0
2009,Arraiolos,Município,,,,, recintos,1
2009,Arronches,Município,,,,, recintos,1
2009,Arruda dos Vinhos,Município,,,,, recintos,0
2009,Aveiro,Município,,,,, recintos,3
2009,Avis,Município,,,,, recintos,0
2009,Azambuja,Município,,,,, recintos,1
2009,Baião,Município,,,,, recintos,0
2009,Barcelos,Município,,,,, recintos,2
2009,Barrancos,Município,,,,, recintos,0
2009,Barreiro,Município,,,,, recintos,1
2009,Batalha,Município,,,,, recintos,1
2009,Beja,Município,,,,, recintos,1
2009,Belmonte,Município,,,,, recintos,0
2009,Benavente,Município,,,,, recintos,0
2009,Bombarral,Município,,,,, recintos,0
2009,Borba,Município,,,,, recintos,1
2009,Boticas,Município,,,,, recintos,0
2009,Braga,Município,,,,, recintos,2
2009,Bragança,Município,,,,, recintos,1
2009,Cabeceiras de Basto,Município,,,,, recintos,0
2009,Cadaval,Município,,,,, recintos,0
2009,Caldas da Rainha,Município,,,,, recintos,2
2009,Calheta [R.A.A.],Município,,,,, recintos,0
2009,Calheta [R.A.M.],Município,,,,, recintos,0
2009,Câmara de Lobos,Município,,,,, recintos,0
2009,Caminha,Município,,,,, recintos,0
2009,Campo Maior,Município,,,,, recintos,0
2009,Cantanhede,Município,,,,, recintos,0
2009,Carrazeda de Ansiães,Município,,,,, recintos,0
2009,Carregal do Sal,Município,,,,, recintos,0
2009,Cartaxo,Município,,,,, recintos,1
2009,Cascais,Município,,,,, recintos,2
2009,Castanheira de Pêra,Município,,,,, recintos,0
2009,Castelo Branco,Município,,,,, recintos,1
2009,Castelo de Paiva,Município,,,,, recintos,0
2009,Castelo de Vide,Município,,,,, recintos,1
2009,Castro Daire,Município,,,,, recintos,0
2009,Castro Marim,Município,,,,, recintos,0
2009,Castro Verde,Município,,,,, recintos,1
2009,Celorico da Beira,Município,,,,, recintos,0
2009,Celorico de Basto,Município,,,,, recintos,0
2009,Chamusca,Município,,,,, recintos,0
2009,Chaves,Município,,,,, recintos,1
2009,Cinfães,Município,,,,, recintos,0
2009,Coimbra,Município,,,,, recintos,2
2009,Condeixa-a-Nova,Município,,,,, recintos,0
2009,Constância,Município,,,,, recintos,1
2009,Coruche,Município,,,,, recintos,0
2009,Corvo,Município,,,,, recintos,0
2009,Covilhã,Município,,,,, recintos,1
2009,Crato,Município,,,,, recintos,0
2009,Cuba,Município,,,,, recintos,1
2009,Elvas,Município,,,,, recintos,1
2009,Entroncamento,Município,,,,, recintos,0
2009,Espinho,Município,,,,, recintos,2
2009,Esposende,Município,,,,, recintos,1
2009,Estarreja,Município,,,,, recintos,3
2009,Estremoz,Município,,,,, recintos,0
2009,Évora,Município,,,,, recintos,2
2009,Fafe,Município,,,,, recintos,0
2009,Faro,Município,,,,, recintos,3
2009,Felgueiras,Município,,,,, recintos,0
2009,Ferreira do Alentejo,Município,,,,, recintos,1
2009,Ferreira do Zêzere,Município,,,,, recintos,0
2009,Figueira da Foz,Município,,,,, recintos,1
2009,Figueira de Castelo Rodrigo,Município,,,,, recintos,0
2009,Figueiró dos Vinhos,Município,,,,, recintos,0
2009,Fornos de Algodres,Município,,,,, recintos,0
2009,Freixo de Espada à Cinta,Município,,,,, recintos,1
2009,Fronteira,Município,,,,, recintos,0
2009,Funchal,Município,,,,, recintos,2
2009,Fundão,Município,,,,, recintos,0
2009,Gavião,Município,,,,, recintos,0
2009,Góis,Município,,,,, recintos,0
2009,Golegã,Município,,,,, recintos,0
2009,Gondomar,Município,,,,, recintos,1
2009,Gouveia,Município,,,,, recintos,0
2009,Grândola,Município,,,,, recintos,0
2009,Guarda,Município,,,,, recintos,1
2009,Guimarães,Município,,,,, recintos,3
2009,Horta,Município,,,,, recintos,1
2009,Idanha-a-Nova,Município,,,,, recintos,1
2009,Ílhavo,Município,,,,, recintos,0
2009,Lagoa,Município,,,,, recintos,0
2009,Lagoa [R.A.A.],Município,,,,, recintos,0
2009,Lagos,Município,,,,, recintos,0
2009,Lajes das Flores,Município,,,,, recintos,0
2009,Lajes do Pico,Município,,,,, recintos,0
2009,Lamego,Município,,,,, recintos,0
2009,Leiria,Município,,,,, recintos,5
2009,Lisboa,Município,,,,, recintos,12
2009,Loulé,Município,,,,, recintos,1
2009,Loures,Município,,,,, recintos,1
2009,Lourinhã,Município,,,,, recintos,0
2009,Lousã,Município,,,,, recintos,0
2009,Lousada,Município,,,,, recintos,0
2009,Mação,Município,,,,, recintos,0
2009,Macedo de Cavaleiros,Município,,,,, recintos,0
2009,Machico,Município,,,,, recintos,0
2009,Madalena,Município,,,,, recintos,0
2009,Mafra,Município,,,,, recintos,1
2009,Maia,Município,,,,, recintos,2
2009,Mangualde,Município,,,,, recintos,0
2009,Manteigas,Município,,,,, recintos,1
2009,Marco de Canaveses,Município,,,,, recintos,1
2009,Marinha Grande,Município,,,,, recintos,1
2009,Marvão,Município,,,,, recintos,0
2009,Matosinhos,Município,,,,, recintos,2
2009,Mealhada,Município,,,,, recintos,0
2009,Mêda,Município,,,,, recintos,1
2009,Melgaço,Município,,,,, recintos,0
2009,Mértola,Município,,,,, recintos,1
2009,Mesão Frio,Município,,,,, recintos,0
2009,Mira,Município,,,,, recintos,0
2009,Miranda do Corvo,Município,,,,, recintos,1
2009,Miranda do Douro,Município,,,,, recintos,0
2009,Mirandela,Município,,,,, recintos,1
2009,Mogadouro,Município,,,,, recintos,0
2009,Moimenta da Beira,Município,,,,, recintos,1
2009,Moita,Município,,,,, recintos,0
2009,Monção,Município,,,,, recintos,0
2009,Monchique,Município,,,,, recintos,0
2009,Mondim de Basto,Município,,,,, recintos,0
2009,Monforte,Município,,,,, recintos,0
2009,Montalegre,Município,,,,, recintos,0
2009,Montemor-o-Novo,Município,,,,, recintos,0
2009,Montemor-o-Velho,Município,,,,, recintos,0
2009,Montijo,Município,,,,, recintos,1
2009,Mora,Município,,,,, recintos,1
2009,Mortágua,Município,,,,, recintos,0
2009,Moura,Município,,,,, recintos,1
2009,Mourão,Município,,,,, recintos,0
2009,Murça,Município,,,,, recintos,0
2009,Murtosa,Município,,,,, recintos,0
2009,Nazaré,Município,,,,, recintos,0
2009,Nelas,Município,,,,, recintos,1
2009,Nisa,Município,,,,, recintos,1
2009,Nordeste,Município,,,,, recintos,0
2009,Óbidos,Município,,,,, recintos,0
2009,Odemira,Município,,,,, recintos,2
2009,Odivelas,Município,,,,, recintos,1
2009,Oeiras,Município,,,,, recintos,3
2009,Oleiros,Município,,,,, recintos,0
2009,Olhão,Município,,,,, recintos,1
2009,Oliveira de Azeméis,Município,,,,, recintos,0
2009,Oliveira de Frades,Município,,,,, recintos,0
