01. Ano,02. Nome Região (Portugal),03. Âmbito Geográfico,04. Filtro 1,05. Filtro 2,06. Filtro 3,08. Símbolo,07. Escala,09. Valor
1950,Portugal,,,,,, sessões,3728
1951,Portugal,,,,,, sessões,3646
1952,Portugal,,,,,, sessões,3056
1953,Portugal,,,,,, sessões,4055
1954,Portugal,,,,,, sessões,3493
1955,Portugal,,,,,, sessões,3842
1956,Portugal,,,,,, sessões,4183
1957,Portugal,,,,,x, sessões,
1958,Portugal,,,,,, sessões,4096
1959,Portugal,,,,,, sessões,3467
1960,Portugal,,,,,, sessões,3380
1961,Portugal,,,,,, sessões,3431
1962,Portugal,,,,,, sessões,3457
1963,Portugal,,,,,, sessões,3811
1964,Portugal,,,,,, sessões,3733
1965,Portugal,,,,,, sessões,4735
1966,Portugal,,,,,, sessões,4892
1967,Portugal,,,,,, sessões,4499
1968,Portugal,,,,,, sessões,4651
1969,Portugal,,,,,, sessões,4462
1970,Portugal,,,,,, sessões,4732
1971,Portugal,,,,,, sessões,4481
1972,Portugal,,,,,, sessões,4408
1973,Portugal,,,,,, sessões,4168
1974,Portugal,,,,,, sessões,4613
1975,Portugal,,,,,, sessões,4773
1976,Portugal,,,,,, sessões,4008
1977,Portugal,,,,,, sessões,4362
1978,Portugal,,,,,, sessões,3774
1979,Portugal,,,,,, sessões,4555
1980,Portugal,,,,,, sessões,3715
1981,Portugal,,,,,, sessões,4578
1982,Portugal,,,,,, sessões,4641
1983,Portugal,,,,,, sessões,4888
1984,Portugal,,,,,, sessões,4498
1985,Portugal,,,,,, sessões,3750
1986,Portugal,,,,,, sessões,3245
1987,Portugal,,,,,, sessões,6189
1988,Portugal,,,,,, sessões,4164
1989,Portugal,,,,,, sessões,3542
1990,Portugal,,,,,, sessões,3040
1991,Portugal,,,,,, sessões,3390
1992,Portugal,,,,,, sessões,4101
1993,Portugal,,,,,, sessões,3362
1994,Portugal,,,,,, sessões,4306
1995,Portugal,,,,,, sessões,4799
1996,Portugal,,,,,, sessões,3793
1997,Portugal,,,,,, sessões,4284
1998,Portugal,,,,,, sessões,3911
1999,Portugal,,,,,Quebra de série, sessões,4570
2000,Portugal,,,,,, sessões,9016
2001,Portugal,,,,,, sessões,13196
2002,Portugal,,,,,, sessões,14938
2003,Portugal,,,,,, sessões,15143
2004,Portugal,,,,,, sessões,23371
2005,Portugal,,,,,, sessões,24471
2006,Portugal,,,,,, sessões,24717
2007,Portugal,,,,,, sessões,27650
2008,Portugal,,,,,, sessões,30581
2009,Portugal,,,,,, sessões,28809
2010,Portugal,,,,,, sessões,30088
2011,Portugal,,,,,Quebra de série, sessões,25871
2012,Portugal,,,,,, sessões,27566
2013,Portugal,,,,,, sessões,29385
2014,Portugal,,,,,, sessões,29666
2015,Portugal,,,,,, sessões,28466
2016,Portugal,,,,,, sessões,32182
2017,Portugal,,,,,, sessões,33404
2018,Portugal,,,,,, sessões,36620
2019,Portugal,,,,,, sessões,37049
2020,Portugal,,,,,, sessões,14951
2021,Portugal,,,,,, sessões,24469
