01. Ano,02. Nome Região (Portugal),03. Âmbito Geográfico,04. Filtro 1,05. Filtro 2,06. Filtro 3,07. Escala,08. Símbolo,09. Valor
2012,Portugal,,,,,,,5571
2013,Portugal,,,,,,,5242
2014,Portugal,,,,,,,4980
2015,Portugal,,,,,,,4781
2016,Portugal,,,,,,,4585
2017,Portugal,,,,,,,4144
2018,Portugal,,,,,,,3985
2019,Portugal,,,,,,,3644
2020,Portugal,,,,,,,3462
2021,Portugal,,,,,,,3266
2022,Portugal,,,,,,,2917
2023,Portugal,,,,,,,2830
2012,Abrantes,Município,,,,,,18
2012,Águeda,Município,,,,,,25
2012,Aguiar da Beira,Município,,,,,,4
2012,Alandroal,Município,,,,,,1
2012,Albergaria-a-Velha,Município,,,,,,12
2012,Albufeira,Município,,,,,,32
2012,Alcácer do Sal,Município,,,,,,6
2012,Alcanena,Município,,,,,,5
2012,Alcobaça,Município,,,,,,30
2012,Alcochete,Município,,,,,,8
2012,Alcoutim,Município,,,,,,2
2012,Alenquer,Município,,,,,,16
2012,Alfândega da Fé,Município,,,,,,2
2012,Alijó,Município,,,,,,4
2012,Aljezur,Município,,,,,,3
2012,Aljustrel,Município,,,,,,4
2012,Almada,Município,,,,,,84
2012,Almeida,Município,,,,,,5
2012,Almeirim,Município,,,,,,11
2012,Almodôvar,Município,,,,,,4
2012,Alpiarça,Município,,,,,,2
2012,Alter do Chão,Município,,,,,,1
2012,Alvaiázere,Município,,,,,,5
2012,Alvito,Município,,,,,,1
2012,Amadora,Município,,,,,,67
2012,Amarante,Município,,,,,,15
2012,Amares,Município,,,,,,4
2012,Anadia,Município,,,,,,13
2012,Angra do Heroísmo,Município,,,,,,17
2012,Ansião,Município,,,,,,8
2012,Arcos de Valdevez,Município,,,,,,11
2012,Arganil,Município,,,,,,4
2012,Armamar,Município,,,,,,2
2012,Arouca,Município,,,,,,7
2012,Arraiolos,Município,,,,,,3
2012,Arronches,Município,,,,,,1
2012,Arruda dos Vinhos,Município,,,,,,7
2012,Aveiro,Município,,,,,,65
2012,Avis,Município,,,,,,2
2012,Azambuja,Município,,,,,,7
2012,Baião,Município,,,,,,5
2012,Barcelos,Município,,,,,,40
2012,Barrancos,Município,,,,,,2
2012,Barreiro,Município,,,,,,29
2012,Batalha,Município,,,,,,10
2012,Beja,Município,,,,,,20
2012,Belmonte,Município,,,,,,5
2012,Benavente,Município,,,,,,17
2012,Bombarral,Município,,,,,,7
2012,Borba,Município,,,,,,4
2012,Boticas,Município,,,,,,2
2012,Braga,Município,,,,,,108
2012,Bragança,Município,,,,,,20
2012,Cabeceiras de Basto,Município,,,,,,8
2012,Cadaval,Município,,,,,,5
2012,Caldas da Rainha,Município,,,,,,25
2012,Calheta [R.A.A.],Município,,,,,,4
2012,Calheta [R.A.M.],Município,,,,,,9
2012,Câmara de Lobos,Município,,,,,,10
2012,Caminha,Município,,,,,,11
2012,Campo Maior,Município,,,,,,3
2012,Cantanhede,Município,,,,,,17
2012,Carrazeda de Ansiães,Município,,,,,,2
2012,Carregal do Sal,Município,,,,,,5
2012,Cartaxo,Município,,,,,,10
2012,Cascais,Município,,,,,,125
2012,Castanheira de Pêra,Município,,,,,,2
2012,Castelo Branco,Município,,,,,,36
2012,Castelo de Paiva,Município,,,,,,3
2012,Castelo de Vide,Município,,,,,,2
2012,Castro Daire,Município,,,,,,6
2012,Castro Marim,Município,,,,,,3
2012,Castro Verde,Município,,,,,,5
2012,Celorico da Beira,Município,,,,,,4
2012,Celorico de Basto,Município,,,,,,5
2012,Chamusca,Município,,,,,,3
2012,Chaves,Município,,,,,,18
2012,Cinfães,Município,,,,,,4
2012,Coimbra,Município,,,,,,103
2012,Condeixa-a-Nova,Município,,,,,,6
2012,Constância,Município,,,,,,4
2012,Coruche,Município,,,,,,7
2012,Corvo,Município,,,,,,2
2012,Covilhã,Município,,,,,,28
2012,Crato,Município,,,,,,2
2012,Cuba,Município,,,,,,2
2012,Elvas,Município,,,,,,13
2012,Entroncamento,Município,,,,,,9
2012,Espinho,Município,,,,,,18
2012,Esposende,Município,,,,,,16
2012,Estarreja,Município,,,,,,12
2012,Estremoz,Município,,,,,,7
2012,Évora,Município,,,,,,38
2012,Fafe,Município,,,,,,15
2012,Faro,Município,,,,,,50
2012,Felgueiras,Município,,,,,,22
2012,Ferreira do Alentejo,Município,,,,,,3
2012,Ferreira do Zêzere,Município,,,,,,3
2012,Figueira da Foz,Município,,,,,,27
2012,Figueira de Castelo Rodrigo,Município,,,,,,4
2012,Figueiró dos Vinhos,Município,,,,,,2
2012,Fornos de Algodres,Município,,,,,,2
2012,Freixo de Espada à Cinta,Município,,,,,,2
2012,Fronteira,Município,,,,,,2
2012,Funchal,Município,,,,,,89
2012,Fundão,Município,,,,,,12
2012,Gavião,Município,,,,,,2
2012,Góis,Município,,,,,,1
2012,Golegã,Município,,,,,,3
2012,Gondomar,Município,,,,,,49
2012,Gouveia,Município,,,,,,5
2012,Grândola,Município,,,,,,6
2012,Guarda,Município,,,,,,28
2012,Guimarães,Município,,,,,,67
2012,Horta,Município,,,,,,11
2012,Idanha-a-Nova,Município,,,,,,2
2012,Ílhavo,Município,,,,,,16
2012,Lagoa,Município,,,,,,16
2012,Lagoa [R.A.A.],Município,,,,,,5
2012,Lagos,Município,,,,,,18
2012,Lajes das Flores,Município,,,,,,3
2012,Lajes do Pico,Município,,,,,,5
2012,Lamego,Município,,,,,,11
2012,Leiria,Município,,,,,,83
2012,Lisboa,Município,,,,,,694
2012,Loulé,Município,,,,,,57
2012,Loures,Município,,,,,,82
2012,Lourinhã,Município,,,,,,9
2012,Lousã,Município,,,,,,6
2012,Lousada,Município,,,,,,9
2012,Mação,Município,,,,,,3
2012,Macedo de Cavaleiros,Município,,,,,,9
2012,Machico,Município,,,,,,11
2012,Madalena,Município,,,,,,6
2012,Mafra,Município,,,,,,40
2012,Maia,Município,,,,,,71
2012,Mangualde,Município,,,,,,7
2012,Manteigas,Município,,,,,,1
2012,Marco de Canaveses,Município,,,,,,19
2012,Marinha Grande,Município,,,,,,16
2012,Marvão,Município,,,,,,2
2012,Matosinhos,Município,,,,,,97
2012,Mealhada,Município,,,,,,10
2012,Mêda,Município,,,,,,3
2012,Melgaço,Município,,,,,,6
2012,Mértola,Município,,,,,,2
2012,Mesão Frio,Município,,,,,,2
2012,Mira,Município,,,,,,5
2012,Miranda do Corvo,Município,,,,,,3
2012,Miranda do Douro,Município,,,,,,7
2012,Mirandela,Município,,,,,,12
2012,Mogadouro,Município,,,,,,3
2012,Moimenta da Beira,Município,,,,,,4
2012,Moita,Município,,,,,,16
2012,Monção,Município,,,,,,9
2012,Monchique,Município,,,,,,2
2012,Mondim de Basto,Município,,,,,,3
2012,Monforte,Município,,,,,,2
2012,Montalegre,Município,,,,,,8
2012,Montemor-o-Novo,Município,,,,,,8
2012,Montemor-o-Velho,Município,,,,,,5
2012,Montijo,Município,,,,,,24
2012,Mora,Município,,,,,,2
2012,Mortágua,Município,,,,,,4
2012,Moura,Município,,,,,,5
2012,Mourão,Município,,,,,,2
2012,Murça,Município,,,,,,2
2012,Murtosa,Município,,,,,,5
2012,Nazaré,Município,,,,,,9
2012,Nelas,Município,,,,,,6
2012,Nisa,Município,,,,,,3
2012,Nordeste,Município,,,,,,4
2012,Óbidos,Município,,,,,,5
2012,Odemira,Município,,,,,,9
2012,Odivelas,Município,,,,,,44
2012,Oeiras,Município,,,,,,112
2012,Oleiros,Município,,,,,,3
2012,Olhão,Município,,,,,,15
2012,Oliveira de Azeméis,Município,,,,,,32
2012,Oliveira de Frades,Município,,,,,,7
2012,Oliveira do Bairro,Município,,,,,,15
