01. Ano,02. Nome Região (Portugal),03. Âmbito Geográfico,04. Filtro 1,05. Filtro 2,06. Filtro 3,07. Escala,08. Símbolo,09. Valor
1997,Portugal,,25-34,,,,,113401.6
1997,Portugal,,35-44,,,,,84706.1
1997,Portugal,,45-54,,,,,69822.0
1997,Portugal,,55 ou mais anos,,,,,60510.3
1997,Portugal,,Menos de 25 anos,,,,,100041.9
1997,Portugal,,Total,,,,,428481.8
1998,Portugal,,25-34,,,,,98049.3
1998,Portugal,,35-44,,,,,77511.8
1998,Portugal,,45-54,,,,,67809.8
1998,Portugal,,55 ou mais anos,,,,,62223.5
1998,Portugal,,Menos de 25 anos,,,,,81725.4
1998,Portugal,,Total,,,,,387319.8
1999,Portugal,,25-34,,,,,83570.4
1999,Portugal,,35-44,,,,,69033.3
1999,Portugal,,45-54,,,,,65037.2
1999,Portugal,,55 ou mais anos,,,,,63868.3
1999,Portugal,,Menos de 25 anos,,,,,63719.2
1999,Portugal,,Total,,,,,345228.3
2000,Portugal,,25-34,,,,,74115.3
2000,Portugal,,35-44,,,,,61658.8
2000,Portugal,,45-54,,,,,62438.3
2000,Portugal,,55 ou mais anos,,,,,66238.8
2000,Portugal,,Menos de 25 anos,,,,,52467.4
2000,Portugal,,Total,,,,,316918.5
2001,Portugal,,25-34,,,,,74311.3
2001,Portugal,,35-44,,,,,60650.8
2001,Portugal,,45-54,,,,,62003.5
2001,Portugal,,55 ou mais anos,,,,,68021.5
2001,Portugal,,Menos de 25 anos,,,,,51181.3
2001,Portugal,,Total,,,,,316168.3
2002,Portugal,,25-34,,,,,82909.2
2002,Portugal,,35-44,,,,,64548.7
2002,Portugal,,45-54,,,,,65286.6
2002,Portugal,,55 ou mais anos,,,,,69306.0
2002,Portugal,,Menos de 25 anos,,,,,54610.1
2002,Portugal,,Total,,,,,336660.5
2003,Portugal,,25-34,,,,,108774.3
2003,Portugal,,35-44,,,,,81673.3
2003,Portugal,,45-54,,,,,78407.4
2003,Portugal,,55 ou mais anos,,,,,81102.0
2003,Portugal,,Menos de 25 anos,,,,,67623.8
2003,Portugal,,Total,,,,,417580.8
2004,Portugal,,25-34,,,,,114829.8
2004,Portugal,,35-44,,,,,89850.8
2004,Portugal,,45-54,,,,,87820.3
2004,Portugal,,55 ou mais anos,,,,,90458.8
2004,Portugal,,Menos de 25 anos,,,,,68194.8
2004,Portugal,,Total,,,,,451154.5
2005,Portugal,,25-34,,,,,116743.8
2005,Portugal,,35-44,,,,,94816.6
2005,Portugal,,45-54,,,,,94584.7
2005,Portugal,,55 ou mais anos,,,,,93430.0
2005,Portugal,,Menos de 25 anos,,,,,66538.3
2005,Portugal,,Total,,,,,466113.3
2006,Portugal,,25-34,,,,,110422.9
2006,Portugal,,35-44,,,,,91770.5
2006,Portugal,,45-54,,,,,94980.6
2006,Portugal,,55 ou mais anos,,,,,91324.5
2006,Portugal,,Menos de 25 anos,,,,,59479.2
2006,Portugal,,Total,,,,,447977.7
2007,Portugal,,25-34,,,,,94235.3
2007,Portugal,,35-44,,,,,80588.3
2007,Portugal,,45-54,,,,,87818.8
2007,Portugal,,55 ou mais anos,,,,,82507.4
2007,Portugal,,Menos de 25 anos,,,,,52722.3
2007,Portugal,,Total,,,,,397871.9
2008,Portugal,,25-34,,,,,88326.3
2008,Portugal,,35-44,,,,,79182.8
2008,Portugal,,45-54,,,,,86290.7
2008,Portugal,,55 ou mais anos,,,,,77787.2
2008,Portugal,,Menos de 25 anos,,,,,50608.3
2008,Portugal,,Total,,,,,382195.3
2009,Portugal,,25-34,,,,,113123.4
2009,Portugal,,35-44,,,,,105402.1
2009,Portugal,,45-54,,,,,108101.2
2009,Portugal,,55 ou mais anos,,,,,88400.4
2009,Portugal,,Menos de 25 anos,,,,,63359.8
2009,Portugal,,Total,,,,,478386.8
2010,Portugal,,25-34,,,,,125119.2
2010,Portugal,,35-44,,,,,122906.3
2010,Portugal,,45-54,,,,,124386.1
2010,Portugal,,55 ou mais anos,,,,,98018.9
2010,Portugal,,Menos de 25 anos,,,,,64303.2
2010,Portugal,,Total,,,,,534733.7
2011,Portugal,,25-34,,,,,118959.8
2011,Portugal,,35-44,,,,,122873.1
2011,Portugal,,45-54,,,,,124870.2
2011,Portugal,,55 ou mais anos,,,,,99243.5
2011,Portugal,,Menos de 25 anos,,,,,60814.9
2011,Portugal,,Total,,,,,526761.4
2012,Portugal,,25-34,,,,,147293.7
2012,Portugal,,35-44,,,,,152804.6
2012,Portugal,,45-54,,,,,146577.5
2012,Portugal,,55 ou mais anos,,,,,110171.3
2012,Portugal,,Menos de 25 anos,,,,,77597.8
2012,Portugal,,Total,,,,,634444.9
2013,Portugal,,25-34,,,,,148438.2
2013,Portugal,,35-44,,,,,160048.3
2013,Portugal,,45-54,,,,,157999.1
2013,Portugal,,55 ou mais anos,,,,,122430.3
2013,Portugal,,Menos de 25 anos,,,,,82800.6
2013,Portugal,,Total,,,,,671716.4
2014,Portugal,,25-34,,,,,121791.3
2014,Portugal,,35-44,,,,,138318.6
2014,Portugal,,45-54,,,,,144790.3
2014,Portugal,,55 ou mais anos,,,,,125041.4
2014,Portugal,,Menos de 25 anos,,,,,74624.5
2014,Portugal,,Total,,,,,604566.1
2015,Portugal,,25-34,,,,,103031.8
2015,Portugal,,35-44,,,,,115212.6
2015,Portugal,,45-54,,,,,125930.5
2015,Portugal,,55 ou mais anos,,,,,119169.3
2015,Portugal,,Menos de 25 anos,,,,,63993.5
2015,Portugal,,Total,,,,,527337.1
2016,Portugal,,25-34,,,,,95370.7
2016,Portugal,,35-44,,,,,105168.3
2016,Portugal,,45-54,,,,,115882.4
2016,Portugal,,55 ou mais anos,,,,,116412.9
2016,Portugal,,Menos de 25 anos,,,,,58743.0
2016,Portugal,,Total,,,,,491577.0
2017,Portugal,,25-34,,,,,75805.3
2017,Portugal,,35-44,,,,,84591.5
2017,Portugal,,45-54,,,,,93857.8
2017,Portugal,,55 ou mais anos,,,,,107281.7
2017,Portugal,,Menos de 25 anos,,,,,45595.9
2017,Portugal,,Total,,,,,407132.1
2018,Portugal,,25-34,,,,,59685.5
2018,Portugal,,35-44,,,,,68553.8
2018,Portugal,,45-54,,,,,74786.6
2018,Portugal,,55 ou mais anos,,,,,95315.1
2018,Portugal,,Menos de 25 anos,,,,,34368.2
2018,Portugal,,Total,,,,,332709.2
2019,Portugal,,25-34,,,,,52200.6
2019,Portugal,,35-44,,,,,59393.3
2019,Portugal,,45-54,,,,,63678.7
2019,Portugal,,55 ou mais anos,,,,,86453.8
2019,Portugal,,Menos de 25 anos,,,,,29769.5
2019,Portugal,,Total,,,,,291495.8
2020,Portugal,,25-34,,,,,74612.2
2020,Portugal,,35-44,,,,,75972.8
2020,Portugal,,45-54,,,,,76169.0
2020,Portugal,,55 ou mais anos,,,,,92763.0
2020,Portugal,,Menos de 25 anos,,,,,40523.6
2020,Portugal,,Total,,,,,360040.5
2021,Portugal,,25-34,,,,,73678.4
2021,Portugal,,35-44,,,,,74347.8
2021,Portugal,,45-54,,,,,75968.9
2021,Portugal,,55 ou mais anos,,,,,97665.6
2021,Portugal,,Menos de 25 anos,,,,,39756.7
2021,Portugal,,Total,,,,,361417.4
2022,Portugal,,25-34,,,,,54194.1
2022,Portugal,,35-44,,,,,56408.8
2022,Portugal,,45-54,,,,,60070.1
2022,Portugal,,55 ou mais anos,,,,,86907.6
2022,Portugal,,Menos de 25 anos,,,,,29810.3
2022,Portugal,,Total,,,,,287390.8
2023,Portugal,,25-34,,,,,56642.8
2023,Portugal,,35-44,,,,,56669.3
2023,Portugal,,45-54,,,,,59353.5
2023,Portugal,,55 ou mais anos,,,,,84270.0
2023,Portugal,,Menos de 25 anos,,,,,30968.8
2023,Portugal,,Total,,,,,287904.4
2009,Abrantes,Município,25-34,,,,,589.7
2009,Abrantes,Município,35-44,,,,,439.2
2009,Abrantes,Município,45-54,,,,,424.8
2009,Abrantes,Município,55 ou mais anos,,,,,379.3
2009,Abrantes,Município,Menos de 25 anos,,,,,331.1
2009,Abrantes,Município,Total,,,,,2164.1
2009,Águeda,Município,25-34,,,,,479.7
2009,Águeda,Município,35-44,,,,,422.2
2009,Águeda,Município,45-54,,,,,435.6
2009,Águeda,Município,55 ou mais anos,,,,,428.1
2009,Águeda,Município,Menos de 25 anos,,,,,318.8
2009,Águeda,Município,Total,,,,,2084.3
2009,Aguiar da Beira,Município,25-34,,,,,33.7
2009,Aguiar da Beira,Município,35-44,,,,,35.8
