01. Ano,02. Nome Região (Portugal),03. Âmbito Geográfico,04. Filtro 1,05. Filtro 2,06. Filtro 3,08. Símbolo,07. Escala,09. Valor
2013,Portugal,,01. Inferior ao 1.º ciclo,,,x, pessoas,
2013,Portugal,,02. Básico - 1º Ciclo,,,x, pessoas,
2013,Portugal,,03. Básico - 2º Ciclo,,,x, pessoas,
2013,Portugal,,04. Básico - 3º Ciclo,,,x, pessoas,
2013,Portugal,,05. Secundário,,,x, pessoas,
2013,Portugal,,06. Curso técnico superior profissional,,,x, pessoas,
2013,Portugal,,07. Bacharelato,,,x, pessoas,
2013,Portugal,,08. Licenciatura,,,x, pessoas,
2013,Portugal,,09. Mestrado,,,x, pessoas,
2013,Portugal,,10. Doutoramento,,,x, pessoas,
2013,Portugal,,Total,,,x, pessoas,
2014,Portugal,,01. Inferior ao 1.º ciclo,,,x, pessoas,
2014,Portugal,,02. Básico - 1º Ciclo,,,x, pessoas,
2014,Portugal,,03. Básico - 2º Ciclo,,,x, pessoas,
2014,Portugal,,04. Básico - 3º Ciclo,,,x, pessoas,
2014,Portugal,,05. Secundário,,,x, pessoas,
2014,Portugal,,06. Curso técnico superior profissional,,,x, pessoas,
2014,Portugal,,07. Bacharelato,,,x, pessoas,
2014,Portugal,,08. Licenciatura,,,x, pessoas,
2014,Portugal,,09. Mestrado,,,x, pessoas,
2014,Portugal,,10. Doutoramento,,,x, pessoas,
2014,Portugal,,Total,,,x, pessoas,
2015,Portugal,,01. Inferior ao 1.º ciclo,,,, pessoas,9130.0
2015,Portugal,,02. Básico - 1º Ciclo,,,, pessoas,234847.0
2015,Portugal,,03. Básico - 2º Ciclo,,,, pessoas,304430.0
2015,Portugal,,04. Básico - 3º Ciclo,,,, pessoas,536605.0
2015,Portugal,,05. Secundário,,,, pessoas,557471.0
2015,Portugal,,06. Curso técnico superior profissional,,,x, pessoas,
2015,Portugal,,07. Bacharelato,,,, pessoas,38762.0
2015,Portugal,,08. Licenciatura,,,, pessoas,340008.0
2015,Portugal,,09. Mestrado,,,, pessoas,35889.0
2015,Portugal,,10. Doutoramento,,,, pessoas,3729.0
2015,Portugal,,Total,,,, pessoas,2065599.0
2016,Portugal,,01. Inferior ao 1.º ciclo,,,, pessoas,8934.0
2016,Portugal,,02. Básico - 1º Ciclo,,,, pessoas,225201.0
2016,Portugal,,03. Básico - 2º Ciclo,,,, pessoas,300646.0
2016,Portugal,,04. Básico - 3º Ciclo,,,, pessoas,555857.0
2016,Portugal,,05. Secundário,,,, pessoas,596087.0
2016,Portugal,,06. Curso técnico superior profissional,,,x, pessoas,
2016,Portugal,,07. Bacharelato,,,, pessoas,38566.0
2016,Portugal,,08. Licenciatura,,,, pessoas,356627.0
2016,Portugal,,09. Mestrado,,,, pessoas,42711.0
2016,Portugal,,10. Doutoramento,,,, pessoas,4311.0
2016,Portugal,,Total,,,, pessoas,2133382.0
2017,Portugal,,01. Inferior ao 1.º ciclo,,,, pessoas,8667.0
2017,Portugal,,02. Básico - 1º Ciclo,,,, pessoas,215366.0
2017,Portugal,,03. Básico - 2º Ciclo,,,, pessoas,298698.0
2017,Portugal,,04. Básico - 3º Ciclo,,,, pessoas,576245.0
2017,Portugal,,05. Secundário,,,, pessoas,638288.0
2017,Portugal,,06. Curso técnico superior profissional,,,, pessoas,841.0
2017,Portugal,,07. Bacharelato,,,, pessoas,38902.0
2017,Portugal,,08. Licenciatura,,,, pessoas,378393.0
2017,Portugal,,09. Mestrado,,,, pessoas,50206.0
2017,Portugal,,10. Doutoramento,,,, pessoas,5025.0
2017,Portugal,,Total,,,, pessoas,2214698.0
2018,Portugal,,01. Inferior ao 1.º ciclo,,,, pessoas,7998.0
2018,Portugal,,02. Básico - 1º Ciclo,,,, pessoas,203624.0
2018,Portugal,,03. Básico - 2º Ciclo,,,, pessoas,292257.0
2018,Portugal,,04. Básico - 3º Ciclo,,,, pessoas,592314.0
2018,Portugal,,05. Secundário,,,, pessoas,687103.0
2018,Portugal,,06. Curso técnico superior profissional,,,, pessoas,1134.0
2018,Portugal,,07. Bacharelato,,,, pessoas,39978.0
2018,Portugal,,08. Licenciatura,,,, pessoas,399781.0
2018,Portugal,,09. Mestrado,,,, pessoas,58882.0
2018,Portugal,,10. Doutoramento,,,, pessoas,5678.0
2018,Portugal,,Total,,,, pessoas,2293329.0
2019,Portugal,,01. Inferior ao 1.º ciclo,,,, pessoas,7825.0
2019,Portugal,,02. Básico - 1º Ciclo,,,, pessoas,187185.0
2019,Portugal,,03. Básico - 2º Ciclo,,,, pessoas,278697.0
2019,Portugal,,04. Básico - 3º Ciclo,,,, pessoas,589526.0
2019,Portugal,,05. Secundário,,,, pessoas,718845.0
2019,Portugal,,06. Curso técnico superior profissional,,,, pessoas,1332.0
2019,Portugal,,07. Bacharelato,,,, pessoas,40572.0
2019,Portugal,,08. Licenciatura,,,, pessoas,416511.0
2019,Portugal,,09. Mestrado,,,, pessoas,67519.0
2019,Portugal,,10. Doutoramento,,,, pessoas,7867.0
2019,Portugal,,Total,,,, pessoas,2321620.0
2020,Portugal,,01. Inferior ao 1.º ciclo,,,, pessoas,6814.0
2020,Portugal,,02. Básico - 1º Ciclo,,,, pessoas,167622.0
2020,Portugal,,03. Básico - 2º Ciclo,,,, pessoas,258651.0
2020,Portugal,,04. Básico - 3º Ciclo,,,, pessoas,559748.0
2020,Portugal,,05. Secundário,,,, pessoas,703045.0
2020,Portugal,,06. Curso técnico superior profissional,,,, pessoas,1635.0
2020,Portugal,,07. Bacharelato,,,, pessoas,38856.0
2020,Portugal,,08. Licenciatura,,,, pessoas,420764.0
2020,Portugal,,09. Mestrado,,,, pessoas,73386.0
2020,Portugal,,10. Doutoramento,,,, pessoas,8570.0
2020,Portugal,,Total,,,, pessoas,2244715.0
2021,Portugal,,01. Inferior ao 1.º ciclo,,,, pessoas,6478.0
2021,Portugal,,02. Básico - 1º Ciclo,,,, pessoas,155654.0
2021,Portugal,,03. Básico - 2º Ciclo,,,, pessoas,253549.0
2021,Portugal,,04. Básico - 3º Ciclo,,,, pessoas,559497.0
2021,Portugal,,05. Secundário,,,, pessoas,735564.0
2021,Portugal,,06. Curso técnico superior profissional,,,, pessoas,2068.0
2021,Portugal,,07. Bacharelato,,,, pessoas,38382.0
2021,Portugal,,08. Licenciatura,,,, pessoas,440051.0
2021,Portugal,,09. Mestrado,,,, pessoas,81564.0
2021,Portugal,,10. Doutoramento,,,, pessoas,9175.0
2021,Portugal,,Total,,,, pessoas,2287160.0
2022,Portugal,,01. Inferior ao 1.º ciclo,,,, pessoas,6344.0
2022,Portugal,,02. Básico - 1º Ciclo,,,, pessoas,154783.0
2022,Portugal,,03. Básico - 2º Ciclo,,,, pessoas,254956.0
2022,Portugal,,04. Básico - 3º Ciclo,,,, pessoas,591089.0
2022,Portugal,,05. Secundário,,,, pessoas,828405.0
2022,Portugal,,06. Curso técnico superior profissional,,,, pessoas,2636.0
2022,Portugal,,07. Bacharelato,,,, pessoas,42867.0
2022,Portugal,,08. Licenciatura,,,, pessoas,478244.0
2022,Portugal,,09. Mestrado,,,, pessoas,94993.0
2022,Portugal,,10. Doutoramento,,,, pessoas,9677.0
2022,Portugal,,Total,,,, pessoas,2470818.0
2023,Portugal,,01. Inferior ao 1.º ciclo,,,, pessoas,6583.0
2023,Portugal,,02. Básico - 1º Ciclo,,,, pessoas,146367.0
2023,Portugal,,03. Básico - 2º Ciclo,,,, pessoas,247028.0
2023,Portugal,,04. Básico - 3º Ciclo,,,, pessoas,601423.0
2023,Portugal,,05. Secundário,,,, pessoas,897802.0
2023,Portugal,,06. Curso técnico superior profissional,,,, pessoas,3095.0
2023,Portugal,,07. Bacharelato,,,, pessoas,42303.0
2023,Portugal,,08. Licenciatura,,,, pessoas,501469.0
2023,Portugal,,09. Mestrado,,,, pessoas,105490.0
2023,Portugal,,10. Doutoramento,,,, pessoas,10264.0
2023,Portugal,,Total,,,, pessoas,2570047.0
2013,Abrantes,Município,01. Inferior ao 1.º ciclo,,,, pessoas,31.0
2013,Abrantes,Município,02. Básico - 1º Ciclo,,,, pessoas,713.0
2013,Abrantes,Município,03. Básico - 2º Ciclo,,,, pessoas,713.0
2013,Abrantes,Município,04. Básico - 3º Ciclo,,,, pessoas,1474.0
2013,Abrantes,Município,05. Secundário,,,, pessoas,1380.0
2013,Abrantes,Município,06. Curso técnico superior profissional,,,x, pessoas,
2013,Abrantes,Município,07. Bacharelato,,,, pessoas,125.0
2013,Abrantes,Município,08. Licenciatura,,,, pessoas,692.0
2013,Abrantes,Município,09. Mestrado,,,, pessoas,46.0
2013,Abrantes,Município,10. Doutoramento,,,, pessoas,4.0
2013,Abrantes,Município,Total,,,, pessoas,5181.0
2013,Águeda,Município,01. Inferior ao 1.º ciclo,,,, pessoas,75.0
2013,Águeda,Município,02. Básico - 1º Ciclo,,,, pessoas,1766.0
2013,Águeda,Município,03. Básico - 2º Ciclo,,,, pessoas,2431.0
