01. Ano,02. Nome Região (Portugal),03. Filtro 1,04. Filtro 2,05. Filtro 3,06. Escala,07. Símbolo,08. Valor
2011,Portugal,Homens, Básico - 1º Ciclo,Total,,,461.3
2011,Portugal,Homens, Básico - 1º Ciclo,Trabalhador familiar não remunerado,,x,
2011,Portugal,Homens, Básico - 1º Ciclo,Trabalhador por conta de outrem,,,315.4
2011,Portugal,Homens, Básico - 1º Ciclo,Trabalhador por conta própria/empregador,,,43.7
2011,Portugal,Homens, Básico - 1º Ciclo,Trabalhador por conta própria/isolado,,,99.8
2011,Portugal,Homens, Básico - 2º Ciclo,Total,,,420.7
2011,Portugal,Homens, Básico - 2º Ciclo,Trabalhador familiar não remunerado,,x,
2011,Portugal,Homens, Básico - 2º Ciclo,Trabalhador por conta de outrem,,,331.6
2011,Portugal,Homens, Básico - 2º Ciclo,Trabalhador por conta própria/empregador,,,34.6
2011,Portugal,Homens, Básico - 2º Ciclo,Trabalhador por conta própria/isolado,,,52.2
2011,Portugal,Homens, Básico - 3º Ciclo,Total,,,562.5
2011,Portugal,Homens, Básico - 3º Ciclo,Trabalhador familiar não remunerado,,x,
2011,Portugal,Homens, Básico - 3º Ciclo,Trabalhador por conta de outrem,,,467.0
2011,Portugal,Homens, Básico - 3º Ciclo,Trabalhador por conta própria/empregador,,,42.2
2011,Portugal,Homens, Básico - 3º Ciclo,Trabalhador por conta própria/isolado,,,50.7
2011,Portugal,Homens,Nenhum,Total,,,53.9
2011,Portugal,Homens,Nenhum,Trabalhador familiar não remunerado,,x,
2011,Portugal,Homens,Nenhum,Trabalhador por conta de outrem,,,40.5
2011,Portugal,Homens,Nenhum,Trabalhador por conta própria/empregador,,x,
2011,Portugal,Homens,Nenhum,Trabalhador por conta própria/isolado,,,11.7
2011,Portugal,Homens,Secundário e pós-secundário,Total,,,456.5
2011,Portugal,Homens,Secundário e pós-secundário,Trabalhador familiar não remunerado,,x,
2011,Portugal,Homens,Secundário e pós-secundário,Trabalhador por conta de outrem,,,396.7
2011,Portugal,Homens,Secundário e pós-secundário,Trabalhador por conta própria/empregador,,,25.8
2011,Portugal,Homens,Secundário e pós-secundário,Trabalhador por conta própria/isolado,,,31.6
2011,Portugal,Homens,Superior,Total,,,359.5
2011,Portugal,Homens,Superior,Trabalhador familiar não remunerado,,x,
2011,Portugal,Homens,Superior,Trabalhador por conta de outrem,,,298.2
2011,Portugal,Homens,Superior,Trabalhador por conta própria/empregador,,,29.2
2011,Portugal,Homens,Superior,Trabalhador por conta própria/isolado,,,31.3
2011,Portugal,Homens,Total,Total,,,2314.5
2011,Portugal,Homens,Total,Trabalhador familiar não remunerado,,,11.0
2011,Portugal,Homens,Total,Trabalhador por conta de outrem,,,1849.3
2011,Portugal,Homens,Total,Trabalhador por conta própria/empregador,,,176.7
2011,Portugal,Homens,Total,Trabalhador por conta própria/isolado,,,277.4
2011,Portugal,Mulheres, Básico - 1º Ciclo,Total,,,334.4
2011,Portugal,Mulheres, Básico - 1º Ciclo,Trabalhador familiar não remunerado,,,5.9
2011,Portugal,Mulheres, Básico - 1º Ciclo,Trabalhador por conta de outrem,,,268.6
2011,Portugal,Mulheres, Básico - 1º Ciclo,Trabalhador por conta própria/empregador,,,12.8
2011,Portugal,Mulheres, Básico - 1º Ciclo,Trabalhador por conta própria/isolado,,,47.1
2011,Portugal,Mulheres, Básico - 2º Ciclo,Total,,,279.9
2011,Portugal,Mulheres, Básico - 2º Ciclo,Trabalhador familiar não remunerado,,x,
2011,Portugal,Mulheres, Básico - 2º Ciclo,Trabalhador por conta de outrem,,,242.8
2011,Portugal,Mulheres, Básico - 2º Ciclo,Trabalhador por conta própria/empregador,,,9.7
2011,Portugal,Mulheres, Básico - 2º Ciclo,Trabalhador por conta própria/isolado,,,24.8
2011,Portugal,Mulheres, Básico - 3º Ciclo,Total,,,449.2
2011,Portugal,Mulheres, Básico - 3º Ciclo,Trabalhador familiar não remunerado,,x,
2011,Portugal,Mulheres, Básico - 3º Ciclo,Trabalhador por conta de outrem,,,404.3
2011,Portugal,Mulheres, Básico - 3º Ciclo,Trabalhador por conta própria/empregador,,,15.1
2011,Portugal,Mulheres, Básico - 3º Ciclo,Trabalhador por conta própria/isolado,,,25.3
2011,Portugal,Mulheres,Nenhum,Total,,,44.0
2011,Portugal,Mulheres,Nenhum,Trabalhador familiar não remunerado,,x,
2011,Portugal,Mulheres,Nenhum,Trabalhador por conta de outrem,,,31.5
2011,Portugal,Mulheres,Nenhum,Trabalhador por conta própria/empregador,,x,
2011,Portugal,Mulheres,Nenhum,Trabalhador por conta própria/isolado,,,10.0
2011,Portugal,Mulheres,Secundário e pós-secundário,Total,,,472.3
2011,Portugal,Mulheres,Secundário e pós-secundário,Trabalhador familiar não remunerado,,x,
2011,Portugal,Mulheres,Secundário e pós-secundário,Trabalhador por conta de outrem,,,434.6
2011,Portugal,Mulheres,Secundário e pós-secundário,Trabalhador por conta própria/empregador,,,12.0
2011,Portugal,Mulheres,Secundário e pós-secundário,Trabalhador por conta própria/isolado,,,23.3
2011,Portugal,Mulheres,Superior,Total,,,528.3
2011,Portugal,Mulheres,Superior,Trabalhador familiar não remunerado,,x,
2011,Portugal,Mulheres,Superior,Trabalhador por conta de outrem,,,478.7
2011,Portugal,Mulheres,Superior,Trabalhador por conta própria/empregador,,,17.0
2011,Portugal,Mulheres,Superior,Trabalhador por conta própria/isolado,,,31.5
2011,Portugal,Mulheres,Total,Total,,,2108.0
2011,Portugal,Mulheres,Total,Trabalhador familiar não remunerado,,,17.8
2011,Portugal,Mulheres,Total,Trabalhador por conta de outrem,,,1860.6
2011,Portugal,Mulheres,Total,Trabalhador por conta própria/empregador,,,67.7
2011,Portugal,Mulheres,Total,Trabalhador por conta própria/isolado,,,162.0
2011,Portugal,Total, Básico - 1º Ciclo,Total,,,795.7
2011,Portugal,Total, Básico - 1º Ciclo,Trabalhador familiar não remunerado,,,8.3
2011,Portugal,Total, Básico - 1º Ciclo,Trabalhador por conta de outrem,,,584.0
2011,Portugal,Total, Básico - 1º Ciclo,Trabalhador por conta própria/empregador,,,56.5
2011,Portugal,Total, Básico - 1º Ciclo,Trabalhador por conta própria/isolado,,,146.8
2011,Portugal,Total, Básico - 2º Ciclo,Total,,,700.6
2011,Portugal,Total, Básico - 2º Ciclo,Trabalhador familiar não remunerado,,,4.7
2011,Portugal,Total, Básico - 2º Ciclo,Trabalhador por conta de outrem,,,574.4
2011,Portugal,Total, Básico - 2º Ciclo,Trabalhador por conta própria/empregador,,,44.4
2011,Portugal,Total, Básico - 2º Ciclo,Trabalhador por conta própria/isolado,,,77.0
2011,Portugal,Total, Básico - 3º Ciclo,Total,,,1011.7
2011,Portugal,Total, Básico - 3º Ciclo,Trabalhador familiar não remunerado,,,7.1
2011,Portugal,Total, Básico - 3º Ciclo,Trabalhador por conta de outrem,,,871.3
2011,Portugal,Total, Básico - 3º Ciclo,Trabalhador por conta própria/empregador,,,57.3
2011,Portugal,Total, Básico - 3º Ciclo,Trabalhador por conta própria/isolado,,,76.0
2011,Portugal,Total,Nenhum,Total,,,97.9
2011,Portugal,Total,Nenhum,Trabalhador familiar não remunerado,,x,
2011,Portugal,Total,Nenhum,Trabalhador por conta de outrem,,,72.0
2011,Portugal,Total,Nenhum,Trabalhador por conta própria/empregador,,x,
2011,Portugal,Total,Nenhum,Trabalhador por conta própria/isolado,,,21.7
2011,Portugal,Total,Secundário e pós-secundário,Total,,,928.8
2011,Portugal,Total,Secundário e pós-secundário,Trabalhador familiar não remunerado,,,4.7
2011,Portugal,Total,Secundário e pós-secundário,Trabalhador por conta de outrem,,,831.3
2011,Portugal,Total,Secundário e pós-secundário,Trabalhador por conta própria/empregador,,,37.8
2011,Portugal,Total,Secundário e pós-secundário,Trabalhador por conta própria/isolado,,,55.0
2011,Portugal,Total,Superior,Total,,,887.8
2011,Portugal,Total,Superior,Trabalhador familiar não remunerado,,x,
2011,Portugal,Total,Superior,Trabalhador por conta de outrem,,,776.8
2011,Portugal,Total,Superior,Trabalhador por conta própria/empregador,,,46.3
2011,Portugal,Total,Superior,Trabalhador por conta própria/isolado,,,62.8
2011,Portugal,Total,Total,Total,,,4422.5
2011,Portugal,Total,Total,Trabalhador familiar não remunerado,,,28.8
2011,Portugal,Total,Total,Trabalhador por conta de outrem,,,3709.9
2011,Portugal,Total,Total,Trabalhador por conta própria/empregador,,,244.4
2011,Portugal,Total,Total,Trabalhador por conta própria/isolado,,,439.4
2012,Portugal,Homens, Básico - 1º Ciclo,Total,,,402.8
2012,Portugal,Homens, Básico - 1º Ciclo,Trabalhador familiar não remunerado,,x,
2012,Portugal,Homens, Básico - 1º Ciclo,Trabalhador por conta de outrem,,,268.6
2012,Portugal,Homens, Básico - 1º Ciclo,Trabalhador por conta própria/empregador,,,39.7
2012,Portugal,Homens, Básico - 1º Ciclo,Trabalhador por conta própria/isolado,,,91.5
2012,Portugal,Homens, Básico - 2º Ciclo,Total,,,391.8
2012,Portugal,Homens, Básico - 2º Ciclo,Trabalhador familiar não remunerado,,x,
2012,Portugal,Homens, Básico - 2º Ciclo,Trabalhador por conta de outrem,,,310.9
2012,Portugal,Homens, Básico - 2º Ciclo,Trabalhador por conta própria/empregador,,,28.9
2012,Portugal,Homens, Básico - 2º Ciclo,Trabalhador por conta própria/isolado,,,50.0
2012,Portugal,Homens, Básico - 3º Ciclo,Total,,,513.9
2012,Portugal,Homens, Básico - 3º Ciclo,Trabalhador familiar não remunerado,,x,
2012,Portugal,Homens, Básico - 3º Ciclo,Trabalhador por conta de outrem,,,433.8
2012,Portugal,Homens, Básico - 3º Ciclo,Trabalhador por conta própria/empregador,,,29.1
2012,Portugal,Homens, Básico - 3º Ciclo,Trabalhador por conta própria/isolado,,,47.7
2012,Portugal,Homens,Nenhum,Total,,,39.7
2012,Portugal,Homens,Nenhum,Trabalhador familiar não remunerado,,x,
2012,Portugal,Homens,Nenhum,Trabalhador por conta de outrem,,,28.9
2012,Portugal,Homens,Nenhum,Trabalhador por conta própria/empregador,,x,
2012,Portugal,Homens,Nenhum,Trabalhador por conta própria/isolado,,,9.1
2012,Portugal,Homens,Secundário e pós-secundário,Total,,,453.5
2012,Portugal,Homens,Secundário e pós-secundário,Trabalhador familiar não remunerado,,x,
2012,Portugal,Homens,Secundário e pós-secundário,Trabalhador por conta de outrem,,,389.9
2012,Portugal,Homens,Secundário e pós-secundário,Trabalhador por conta própria/empregador,,,26.9
2012,Portugal,Homens,Secundário e pós-secundário,Trabalhador por conta própria/isolado,,,33.4
2012,Portugal,Homens,Superior,Total,,,371.0
2012,Portugal,Homens,Superior,Trabalhador familiar não remunerado,,x,
2012,Portugal,Homens,Superior,Trabalhador por conta de outrem,,,303.8
2012,Portugal,Homens,Superior,Trabalhador por conta própria/empregador,,,28.9
2012,Portugal,Homens,Superior,Trabalhador por conta própria/isolado,,,37.0
2012,Portugal,Homens,Total,Total,,,2172.7
2012,Portugal,Homens,Total,Trabalhador familiar não remunerado,,,13.4
2012,Portugal,Homens,Total,Trabalhador por conta de outrem,,,1735.9
2012,Portugal,Homens,Total,Trabalhador por conta própria/empregador,,,154.6
2012,Portugal,Homens,Total,Trabalhador por conta própria/isolado,,,268.7
2012,Portugal,Mulheres, Básico - 1º Ciclo,Total,,,308.1
2012,Portugal,Mulheres, Básico - 1º Ciclo,Trabalhador familiar não remunerado,,,6.5
2012,Portugal,Mulheres, Básico - 1º Ciclo,Trabalhador por conta de outrem,,,243.7
2012,Portugal,Mulheres, Básico - 1º Ciclo,Trabalhador por conta própria/empregador,,,16.3
2012,Portugal,Mulheres, Básico - 1º Ciclo,Trabalhador por conta própria/isolado,,,41.6
2012,Portugal,Mulheres, Básico - 2º Ciclo,Total,,,244.4
2012,Portugal,Mulheres, Básico - 2º Ciclo,Trabalhador familiar não remunerado,,x,
2012,Portugal,Mulheres, Básico - 2º Ciclo,Trabalhador por conta de outrem,,,208.3
2012,Portugal,Mulheres, Básico - 2º Ciclo,Trabalhador por conta própria/empregador,,,11.6
2012,Portugal,Mulheres, Básico - 2º Ciclo,Trabalhador por conta própria/isolado,,,22.4
2012,Portugal,Mulheres, Básico - 3º Ciclo,Total,,,422.5
2012,Portugal,Mulheres, Básico - 3º Ciclo,Trabalhador familiar não remunerado,,x,
2012,Portugal,Mulheres, Básico - 3º Ciclo,Trabalhador por conta de outrem,,,377.4
2012,Portugal,Mulheres, Básico - 3º Ciclo,Trabalhador por conta própria/empregador,,,11.8
2012,Portugal,Mulheres, Básico - 3º Ciclo,Trabalhador por conta própria/isolado,,,29.9
2012,Portugal,Mulheres,Nenhum,Total,,,33.3
2012,Portugal,Mulheres,Nenhum,Trabalhador familiar não remunerado,,x,
2012,Portugal,Mulheres,Nenhum,Trabalhador por conta de outrem,,,24.9
2012,Portugal,Mulheres,Nenhum,Trabalhador por conta própria/empregador,,x,
2012,Portugal,Mulheres,Nenhum,Trabalhador por conta própria/isolado,,,6.8
2012,Portugal,Mulheres,Secundário e pós-secundário,Total,,,487.7
2012,Portugal,Mulheres,Secundário e pós-secundário,Trabalhador familiar não remunerado,,x,
2012,Portugal,Mulheres,Secundário e pós-secundário,Trabalhador por conta de outrem,,,446.9
2012,Portugal,Mulheres,Secundário e pós-secundário,Trabalhador por conta própria/empregador,,,13.7
2012,Portugal,Mulheres,Secundário e pós-secundário,Trabalhador por conta própria/isolado,,,24.6
2012,Portugal,Mulheres,Superior,Total,,,548.9
2012,Portugal,Mulheres,Superior,Trabalhador familiar não remunerado,,x,
2012,Portugal,Mulheres,Superior,Trabalhador por conta de outrem,,,499.3
2012,Portugal,Mulheres,Superior,Trabalhador por conta própria/empregador,,,17.1
2012,Portugal,Mulheres,Superior,Trabalhador por conta própria/isolado,,,31.7
2012,Portugal,Mulheres,Total,Total,,,2044.9
2012,Portugal,Mulheres,Total,Trabalhador familiar não remunerado,,,16.1
2012,Portugal,Mulheres,Total,Trabalhador por conta de outrem,,,1800.5
2012,Portugal,Mulheres,Total,Trabalhador por conta própria/empregador,,,71.3
2012,Portugal,Mulheres,Total,Trabalhador por conta própria/isolado,,,157.0
2012,Portugal,Total, Básico - 1º Ciclo,Total,,,710.9
2012,Portugal,Total, Básico - 1º Ciclo,Trabalhador familiar não remunerado,,,9.5
2012,Portugal,Total, Básico - 1º Ciclo,Trabalhador por conta de outrem,,,512.3
2012,Portugal,Total, Básico - 1º Ciclo,Trabalhador por conta própria/empregador,,,55.9
2012,Portugal,Total, Básico - 1º Ciclo,Trabalhador por conta própria/isolado,,,133.1
2012,Portugal,Total, Básico - 2º Ciclo,Total,,,636.1
2012,Portugal,Total, Básico - 2º Ciclo,Trabalhador familiar não remunerado,,x,
2012,Portugal,Total, Básico - 2º Ciclo,Trabalhador por conta de outrem,,,519.2
2012,Portugal,Total, Básico - 2º Ciclo,Trabalhador por conta própria/empregador,,,40.5
2012,Portugal,Total, Básico - 2º Ciclo,Trabalhador por conta própria/isolado,,,72.4
2012,Portugal,Total, Básico - 3º Ciclo,Total,,,936.5
2012,Portugal,Total, Básico - 3º Ciclo,Trabalhador familiar não remunerado,,,6.7
2012,Portugal,Total, Básico - 3º Ciclo,Trabalhador por conta de outrem,,,811.2
2012,Portugal,Total, Básico - 3º Ciclo,Trabalhador por conta própria/empregador,,,41.0
2012,Portugal,Total, Básico - 3º Ciclo,Trabalhador por conta própria/isolado,,,77.6
2012,Portugal,Total,Nenhum,Total,,,73.0
2012,Portugal,Total,Nenhum,Trabalhador familiar não remunerado,,x,
2012,Portugal,Total,Nenhum,Trabalhador por conta de outrem,,,53.8
2012,Portugal,Total,Nenhum,Trabalhador por conta própria/empregador,,x,
