01. Ano,02. Nome Região (Portugal),03. Âmbito Geográfico,04. Filtro 1,05. Filtro 2,06. Filtro 3,08. Símbolo,07. Escala,09. Valor
2011,Portugal,,T0 ou T1,,,, fogos,2313
2011,Portugal,,T2,,,, fogos,5827
2011,Portugal,,T3,,,, fogos,12796
2011,Portugal,,T4 ou mais,,,, fogos,5446
2011,Portugal,,Total,,,, fogos,26382
2012,Portugal,,T0 ou T1,,,, fogos,1717
2012,Portugal,,T2,,,, fogos,4381
2012,Portugal,,T3,,,, fogos,9225
2012,Portugal,,T4 ou mais,,,, fogos,4361
2012,Portugal,,Total,,,, fogos,19684
2013,Portugal,,T0 ou T1,,,, fogos,1123
2013,Portugal,,T2,,,, fogos,2845
2013,Portugal,,T3,,,, fogos,5955
2013,Portugal,,T4 ou mais,,,, fogos,2828
2013,Portugal,,Total,,,, fogos,12751
2014,Portugal,,T0 ou T1,,,, fogos,733
2014,Portugal,,T2,,,, fogos,1832
2014,Portugal,,T3,,,, fogos,3900
2014,Portugal,,T4 ou mais,,,, fogos,1848
2014,Portugal,,Total,,,, fogos,8313
2015,Portugal,,T0 ou T1,,,, fogos,670
2015,Portugal,,T2,,,, fogos,1509
2015,Portugal,,T3,,,, fogos,3510
2015,Portugal,,T4 ou mais,,,, fogos,1459
2015,Portugal,,Total,,,, fogos,7148
2016,Portugal,,T0 ou T1,,,, fogos,807
2016,Portugal,,T2,,,, fogos,1681
2016,Portugal,,T3,,,, fogos,4038
2016,Portugal,,T4 ou mais,,,, fogos,1383
2016,Portugal,,Total,,,, fogos,7909
2017,Portugal,,T0 ou T1,,,, fogos,694
2017,Portugal,,T2,,,, fogos,1541
2017,Portugal,,T3,,,, fogos,4370
2017,Portugal,,T4 ou mais,,,, fogos,1608
2017,Portugal,,Total,,,, fogos,8213
2018,Portugal,,T0 ou T1,,,, fogos,1020
2018,Portugal,,T2,,,, fogos,2286
2018,Portugal,,T3,,,, fogos,5577
2018,Portugal,,T4 ou mais,,,, fogos,1868
2018,Portugal,,Total,,,, fogos,10751
2019,Portugal,,T0 ou T1,,,, fogos,1297
2019,Portugal,,T2,,,, fogos,2749
2019,Portugal,,T3,,,, fogos,6821
2019,Portugal,,T4 ou mais,,,, fogos,2087
2019,Portugal,,Total,,,, fogos,12954
2020,Portugal,,T0 ou T1,,,, fogos,2019
2020,Portugal,,T2,,,, fogos,3663
2020,Portugal,,T3,,,, fogos,8595
2020,Portugal,,T4 ou mais,,,, fogos,2646
2020,Portugal,,Total,,,, fogos,16923
2021,Portugal,,T0 ou T1,,,r, fogos,2579
2021,Portugal,,T2,,,r, fogos,4566
2021,Portugal,,T3,,,r, fogos,9739
2021,Portugal,,T4 ou mais,,,r, fogos,2870
2021,Portugal,,Total,,,r, fogos,19754
2022,Portugal,,T0 ou T1,,,r, fogos,2459
2022,Portugal,,T2,,,r, fogos,4845
2022,Portugal,,T3,,,r, fogos,10457
2022,Portugal,,T4 ou mais,,,r, fogos,3011
2022,Portugal,,Total,,,r, fogos,20772
2023,Portugal,,T0 ou T1,,,r, fogos,3434
2023,Portugal,,T2,,,r, fogos,5762
2023,Portugal,,T3,,,r, fogos,10719
2023,Portugal,,T4 ou mais,,,r, fogos,3170
2023,Portugal,,Total,,,r, fogos,23085
2024,Portugal,,T0 ou T1,,,, fogos,3762
2024,Portugal,,T2,,,, fogos,6546
2024,Portugal,,T3,,,, fogos,11384
2024,Portugal,,T4 ou mais,,,, fogos,3597
2024,Portugal,,Total,,,, fogos,25311
2011,Abrantes,Município,T0 ou T1,,,, fogos,0
2011,Abrantes,Município,T2,,,, fogos,9
