01. Ano,02. Nome País (Europa),03. Nome Região (Portugal),04. Âmbito Geográfico,05. Filtro 1,06. Filtro 2,07. Filtro 3,08. Escala ,09. Símbolo,10. Valor
1990,Alemanha,,,,,, pessoas por km2,,222.2
1990,Áustria,,,,,, pessoas por km2,,93.0
1990,Bélgica,,,,,, pessoas por km2,,328.7
1990,Bulgária,,,,,, pessoas por km2,,77.4
1990,Chéquia,,,,,, pessoas por km2,x,
1990,Chipre,,,,,, pessoas por km2,,62.7
1990,Croácia,,,,,, pessoas por km2,x,
1990,Dinamarca,,,,,, pessoas por km2,,119.3
1990,Eslováquia,,,,,, pessoas por km2,,108.1
1990,Eslovénia,,,,,, pessoas por km2,,98.6
1990,Espanha,,,,,, pessoas por km2,,76.8
1990,Estónia,,,,,, pessoas por km2,,36.1
1990,Finlândia,,,,,, pessoas por km2,,16.4
1990,França,,,,,, pessoas por km2,,91.9
1990,Grécia,,,,,, pessoas por km2,,77.9
1990,Hungria,,,,,, pessoas por km2,,111.4
1990,Irlanda,,,,,, pessoas por km2,,51.3
1990,Itália,,,,,, pessoas por km2,,188.2
1990,Letónia,,,,,, pessoas por km2,,42.8
1990,Lituânia,,,,,, pessoas por km2,,56.6
1990,Luxemburgo,,,,,, pessoas por km2,,147.7
1990,Malta,,,,,, pessoas por km2,,1122.2
1990,Países Baixos,,,,,, pessoas por km2,,440.5
1990,Polónia,,,,,, pessoas por km2,,121.9
1990,Portugal,,,,,, pessoas por km2,,108.3
1990,Roménia,,,,,, pessoas por km2,,101.2
1990,Suécia,,,,,, pessoas por km2,,19.4
1991,Alemanha,,,,,, pessoas por km2,,224.1
1991,Áustria,,,,,, pessoas por km2,,94.0
1991,Bélgica,,,,,, pessoas por km2,,329.9
1991,Bulgária,,,,,, pessoas por km2,,76.7
1991,Chéquia,,,,,, pessoas por km2,x,
1991,Chipre,,,,,, pessoas por km2,,64.3
1991,Croácia,,,,,, pessoas por km2,x,
1991,Dinamarca,,,,,, pessoas por km2,,119.6
1991,Eslováquia,,,,,, pessoas por km2,,108.2
1991,Eslovénia,,,,,, pessoas por km2,,98.7
1991,Espanha,,,,,, pessoas por km2,,77.0
1991,Estónia,,,,,, pessoas por km2,,35.9
1991,Finlândia,,,,,, pessoas por km2,,16.5
1991,França,,,,,, pessoas por km2,,92.4
1991,Grécia,,,,,, pessoas por km2,,78.9
1991,Hungria,,,,,, pessoas por km2,,111.2
1991,Irlanda,,,,,, pessoas por km2,,51.5
1991,Itália,,,,,, pessoas por km2,,188.4
1991,Letónia,,,,,, pessoas por km2,,42.6
1991,Lituânia,,,,,, pessoas por km2,,56.7
1991,Luxemburgo,,,,,, pessoas por km2,,149.7
1991,Malta,,,,,, pessoas por km2,,1133.5
1991,Países Baixos,,,,,, pessoas por km2,,444.0
1991,Polónia,,,,,, pessoas por km2,,122.3
1991,Portugal,,,,,, pessoas por km2,,108.0
1991,Roménia,,,,,, pessoas por km2,,101.0
1991,Suécia,,,,,, pessoas por km2,,19.5
1992,Alemanha,,,,,, pessoas por km2,,225.8
1992,Áustria,,,,,, pessoas por km2,,95.0
1992,Bélgica,,,,,, pessoas por km2,,331.2
1992,Bulgária,,,,,, pessoas por km2,,75.9
1992,Chéquia,,,,,, pessoas por km2,,133.5
1992,Chipre,,,,,, pessoas por km2,,66.1
1992,Croácia,,,,,, pessoas por km2,x,
1992,Dinamarca,,,,,, pessoas por km2,,120.0
1992,Eslováquia,,,,,, pessoas por km2,,108.2
1992,Eslovénia,,,,,, pessoas por km2,,98.4
1992,Espanha,,,,,, pessoas por km2,,77.4
1992,Estónia,,,,,, pessoas por km2,,35.3
1992,Finlândia,,,,,, pessoas por km2,,16.6
1992,França,,,,,, pessoas por km2,,92.8
1992,Grécia,,,,,, pessoas por km2,,79.5
1992,Hungria,,,,,, pessoas por km2,,111.0
1992,Irlanda,,,,,, pessoas por km2,,52.0
1992,Itália,,,,,, pessoas por km2,,192.5
1992,Letónia,,,,,, pessoas por km2,,42.0
1992,Lituânia,,,,,, pessoas por km2,,56.7
1992,Luxemburgo,,,,,, pessoas por km2,,151.7
1992,Malta,,,,,, pessoas por km2,,1144.7
1992,Países Baixos,,,,,, pessoas por km2,,447.4
1992,Polónia,,,,,, pessoas por km2,,122.7
1992,Portugal,,,,,, pessoas por km2,,108.9
1992,Roménia,,,,,, pessoas por km2,,99.3
1992,Suécia,,,,,, pessoas por km2,,21.1
1993,Alemanha,,,,,, pessoas por km2,,227.3
1993,Áustria,,,,,, pessoas por km2,,95.8
1993,Bélgica,,,,,, pessoas por km2,,332.5
1993,Bulgária,,,,,, pessoas por km2,,75.3
1993,Chéquia,,,,,, pessoas por km2,,133.7
1993,Chipre,,,,,, pessoas por km2,,67.7
1993,Croácia,,,,,, pessoas por km2,x,
1993,Dinamarca,,,,,, pessoas por km2,,120.4
1993,Eslováquia,,,,,, pessoas por km2,,108.6
1993,Eslovénia,,,,,, pessoas por km2,,98.2
1993,Espanha,,,,,, pessoas por km2,,77.8
1993,Estónia,,,,,, pessoas por km2,,34.4
1993,Finlândia,,,,,, pessoas por km2,,16.6
1993,França,,,,,, pessoas por km2,,93.2
1993,Grécia,,,,,, pessoas por km2,,80.0
1993,Hungria,,,,,, pessoas por km2,,110.6
1993,Irlanda,,,,,, pessoas por km2,,52.3
1993,Itália,,,,,, pessoas por km2,,192.6
1993,Letónia,,,,,, pessoas por km2,,41.2
1993,Lituânia,,,,,, pessoas por km2,,56.4
1993,Luxemburgo,,,,,, pessoas por km2,,153.7
1993,Malta,,,,,, pessoas por km2,,1155.6
1993,Países Baixos,,,,,, pessoas por km2,,450.5
1993,Polónia,,,,,, pessoas por km2,,123.0
1993,Portugal,,,,,, pessoas por km2,,108.8
1993,Roménia,,,,,, pessoas por km2,,99.2
1993,Suécia,,,,,, pessoas por km2,,21.2
1994,Alemanha,,,,,, pessoas por km2,,228.1
1994,Áustria,,,,,, pessoas por km2,,96.2
1994,Bélgica,,,,,, pessoas por km2,,333.5
1994,Bulgária,,,,,, pessoas por km2,,75.0
1994,Chéquia,,,,,, pessoas por km2,,133.7
1994,Chipre,,,,,, pessoas por km2,,69.1
1994,Croácia,,,,,, pessoas por km2,x,
1994,Dinamarca,,,,,, pessoas por km2,,120.8
1994,Eslováquia,,,,,, pessoas por km2,,109.0
1994,Eslovénia,,,,,, pessoas por km2,,98.1
1994,Espanha,,,,,, pessoas por km2,,78.2
1994,Estónia,,,,,, pessoas por km2,,33.7
1994,Finlândia,,,,,, pessoas por km2,,16.7
1994,França,,,,,, pessoas por km2,,93.6
1994,Grécia,,,,,, pessoas por km2,,80.4
1994,Hungria,,,,,, pessoas por km2,,110.3
1994,Irlanda,,,,,, pessoas por km2,,52.4
1994,Itália,,,,,, pessoas por km2,,192.6
1994,Letónia,,,,,, pessoas por km2,,40.5
1994,Lituânia,,,,,, pessoas por km2,,56.0
1994,Luxemburgo,,,,,, pessoas por km2,,155.8
1994,Malta,,,,,, pessoas por km2,,1165.9
1994,Países Baixos,,,,,, pessoas por km2,,453.2
1994,Polónia,,,,,, pessoas por km2,,123.3
1994,Portugal,,,,,, pessoas por km2,,109.1
1994,Roménia,,,,,, pessoas por km2,,98.8
1994,Suécia,,,,,, pessoas por km2,,21.4
1995,Alemanha,,,,,, pessoas por km2,,228.8
1995,Áustria,,,,,, pessoas por km2,,96.3
1995,Bélgica,,,,,, pessoas por km2,,334.2
1995,Bulgária,,,,,, pessoas por km2,,74.7
1995,Chéquia,,,,,, pessoas por km2,,133.7
1995,Chipre,,,,,, pessoas por km2,,70.4
1995,Croácia,,,,,, pessoas por km2,x,
1995,Dinamarca,,,,,, pessoas por km2,,121.3
1995,Eslováquia,,,,,, pessoas por km2,,109.6
1995,Eslovénia,,,,,, pessoas por km2,,98.0
1995,Espanha,,,,,, pessoas por km2,,78.5
1995,Estónia,,,,,, pessoas por km2,,33.1
1995,Finlândia,,,,,, pessoas por km2,,16.8
1995,França,,,,,, pessoas por km2,,93.9
1995,Grécia,,,,,, pessoas por km2,,80.7
1995,Hungria,,,,,, pessoas por km2,,110.0
1995,Irlanda,,,,,, pessoas por km2,,52.7
1995,Itália,,,,,, pessoas por km2,,192.6
1995,Letónia,,,,,, pessoas por km2,,39.9
1995,Lituânia,,,,,, pessoas por km2,,57.9
1995,Luxemburgo,,,,,, pessoas por km2,,158.0
1995,Malta,,,,,, pessoas por km2,,1173.8
1995,Países Baixos,,,,,, pessoas por km2,,456.2
1995,Polónia,,,,,, pessoas por km2,,123.4
1995,Portugal,,,,,, pessoas por km2,,109.5
1995,Roménia,,,,,, pessoas por km2,,98.6
1995,Suécia,,,,,, pessoas por km2,,21.5
1996,Alemanha,,,,,, pessoas por km2,,229.4
1996,Áustria,,,,,, pessoas por km2,,96.5
1996,Bélgica,,,,,, pessoas por km2,,334.9
1996,Bulgária,,,,,, pessoas por km2,,75.7
1996,Chéquia,,,,,, pessoas por km2,,133.5
1996,Chipre,,,,,, pessoas por km2,,71.5
1996,Croácia,,,,,, pessoas por km2,x,
1996,Dinamarca,,,,,, pessoas por km2,,122.1
1996,Eslováquia,,,,,, pessoas por km2,,109.6
1996,Eslovénia,,,,,, pessoas por km2,,98.2
1996,Espanha,,,,,, pessoas por km2,,78.8
1996,Estónia,,,,,, pessoas por km2,,32.6
1996,Finlândia,,,,,, pessoas por km2,,16.8
1996,França,,,,,, pessoas por km2,,94.2
1996,Grécia,,,,,, pessoas por km2,,81.1
1996,Hungria,,,,,, pessoas por km2,,109.6
1996,Irlanda,,,,,, pessoas por km2,,53.2
1996,Itália,,,,,, pessoas por km2,,192.7
1996,Letónia,,,,,, pessoas por km2,,39.4
1996,Lituânia,,,,,, pessoas por km2,,57.5
1996,Luxemburgo,,,,,, pessoas por km2,,160.2
1996,Malta,,,,,, pessoas por km2,,1180.9
1996,Países Baixos,,,,,, pessoas por km2,,458.3
1996,Polónia,,,,,, pessoas por km2,,123.5
1996,Portugal,,,,,, pessoas por km2,,109.9
1996,Roménia,,,,,, pessoas por km2,,98.4
1996,Suécia,,,,,, pessoas por km2,,21.5
1997,Alemanha,,,,,, pessoas por km2,,229.8
1997,Áustria,,,,,, pessoas por km2,,96.6
1997,Bélgica,,,,,, pessoas por km2,,335.7
1997,Bulgária,,,,,, pessoas por km2,,75.1
1997,Chéquia,,,,,, pessoas por km2,,133.3
1997,Chipre,,,,,, pessoas por km2,,72.5
1997,Croácia,,,,,, pessoas por km2,x,
1997,Dinamarca,,,,,, pessoas por km2,,122.6
1997,Eslováquia,,,,,, pessoas por km2,,109.8
1997,Eslovénia,,,,,, pessoas por km2,,98.6
1997,Espanha,,,,,, pessoas por km2,,79.2
1997,Estónia,,,,,, pessoas por km2,,32.2
1997,Finlândia,,,,,, pessoas por km2,,16.9
1997,França,,,,,, pessoas por km2,,94.5
1997,Grécia,,,,,, pessoas por km2,,81.5
1997,Hungria,,,,,, pessoas por km2,,109.2
1997,Irlanda,,,,,, pessoas por km2,,53.7
1997,Itália,,,,,, pessoas por km2,,192.8
1997,Letónia,,,,,, pessoas por km2,,39.1
1997,Lituânia,,,,,, pessoas por km2,,57.0
1997,Luxemburgo,,,,,, pessoas por km2,,162.2
1997,Malta,,,,,, pessoas por km2,,1189.0
1997,Países Baixos,,,,,, pessoas por km2,,460.7
1997,Polónia,,,,,, pessoas por km2,,123.6
1997,Portugal,,,,,, pessoas por km2,,110.0
1997,Roménia,,,,,, pessoas por km2,,98.1
1997,Suécia,,,,,, pessoas por km2,,21.5
1998,Alemanha,,,,,, pessoas por km2,,229.7
1998,Áustria,,,,,, pessoas por km2,,96.7
1998,Bélgica,,,,,, pessoas por km2,,336.4
1998,Bulgária,,,,,, pessoas por km2,,74.4
1998,Chéquia,,,,,, pessoas por km2,,133.2
1998,Chipre,,,,,, pessoas por km2,,73.4
1998,Croácia,,,,,, pessoas por km2,x,
1998,Dinamarca,,,,,, pessoas por km2,,123.1
1998,Eslováquia,,,,,, pessoas por km2,,109.9
1998,Eslovénia,,,,,, pessoas por km2,,98.4
1998,Espanha,,,,,, pessoas por km2,,79.5
1998,Estónia,,,,,, pessoas por km2,,31.9
1998,Finlândia,,,,,, pessoas por km2,,16.9
1998,França,,,,,, pessoas por km2,,94.9
1998,Grécia,,,,,, pessoas por km2,,81.9
1998,Hungria,,,,,, pessoas por km2,,108.7
1998,Irlanda,,,,,, pessoas por km2,,54.3
1998,Itália,,,,,, pessoas por km2,,192.8
1998,Letónia,,,,,, pessoas por km2,,38.7
1998,Lituânia,,,,,, pessoas por km2,,56.6
1998,Luxemburgo,,,,,, pessoas por km2,,164.2
1998,Malta,,,,,, pessoas por km2,,1196.2
1998,Países Baixos,,,,,, pessoas por km2,,463.6
1998,Polónia,,,,,, pessoas por km2,,123.6
1998,Portugal,,,,,, pessoas por km2,,110.3
1998,Roménia,,,,,, pessoas por km2,,97.9
1998,Suécia,,,,,, pessoas por km2,,21.5
1999,Alemanha,,,,,, pessoas por km2,,230.0
1999,Áustria,,,,,, pessoas por km2,,96.9
1999,Bélgica,,,,,, pessoas por km2,,336.8
1999,Bulgária,,,,,, pessoas por km2,,74.0
1999,Chéquia,,,,,, pessoas por km2,,133.1
1999,Chipre,,,,,, pessoas por km2,,74.2
1999,Croácia,,,,,, pessoas por km2,x,
1999,Dinamarca,,,,,, pessoas por km2,,123.4
1999,Eslováquia,,,,,, pessoas por km2,,110.0
1999,Eslovénia,,,,,, pessoas por km2,,98.6
1999,Espanha,,,,,, pessoas por km2,,79.8
1999,Estónia,,,,,, pessoas por km2,,31.7
1999,Finlândia,,,,,, pessoas por km2,,17.0
1999,França,,,,,, pessoas por km2,,95.4
1999,Grécia,,,,,, pessoas por km2,,82.3
1999,Hungria,,,,,, pessoas por km2,,108.2
1999,Irlanda,,,,,, pessoas por km2,,54.9
1999,Itália,,,,,, pessoas por km2,,192.9
1999,Letónia,,,,,, pessoas por km2,,38.4
1999,Lituânia,,,,,, pessoas por km2,,56.2
1999,Luxemburgo,,,,,, pessoas por km2,,166.5
1999,Malta,,,,,, pessoas por km2,,1202.1
1999,Países Baixos,,,,,, pessoas por km2,,466.7
1999,Polónia,,,,,, pessoas por km2,,123.0
1999,Portugal,,,,,, pessoas por km2,,110.9
1999,Roménia,,,,,, pessoas por km2,,97.7
1999,Suécia,,,,,, pessoas por km2,,21.6
2000,Alemanha,,,,,, pessoas por km2,,230.3
2000,Áustria,,,,,, pessoas por km2,,97.2
2000,Bélgica,,,,,, pessoas por km2,,338.0
2000,Bulgária,,,,,, pessoas por km2,,73.6
2000,Chéquia,,,,,, pessoas por km2,,132.7
2000,Chipre,,,,,, pessoas por km2,,75.0
2000,Croácia,,,,,, pessoas por km2,,77.8
2000,Dinamarca,,,,,, pessoas por km2,,123.9
2000,Eslováquia,,,,,, pessoas por km2,,109.9
2000,Eslovénia,,,,,, pessoas por km2,,98.8
2000,Espanha,,,,,, pessoas por km2,,80.2
2000,Estónia,,,,,, pessoas por km2,,32.2
2000,Finlândia,,,,,, pessoas por km2,,17.0
2000,França,,,,,, pessoas por km2,,96.0
2000,Grécia,,,,,, pessoas por km2,,82.6
2000,Hungria,,,,,, pessoas por km2,,109.8
2000,Irlanda,,,,,, pessoas por km2,,55.6
2000,Itália,,,,,, pessoas por km2,,193.0
2000,Letónia,,,,,, pessoas por km2,,38.0
2000,Lituânia,,,,,, pessoas por km2,,55.8
