01. Ano,02. Nome Região (Portugal),03. Âmbito Geográfico,04. Filtro 1,05. Filtro 2,06. Filtro 3,07. Escala,08. Símbolo,09. Valor
2004,Portugal,,,,,,,877.5
2005,Portugal,,,,,,,907.2
2006,Portugal,,,,,,,934.0
2007,Portugal,,,,,,,963.3
2008,Portugal,,,,,,,1008.0
2009,Portugal,,,,,,,1034.2
2010,Portugal,,,,,,x,
2011,Portugal,,,,,,x,
2012,Portugal,,,,,,x,
2013,Portugal,,,,,,x,
2014,Portugal,,,,,,x,
2015,Portugal,,,,,,,1094.1
2016,Portugal,,,,,,,1105.6
2017,Portugal,,,,,,,1130.8
2018,Portugal,,,,,,,1166.9
2019,Portugal,,,,,,,1206.3
2020,Portugal,,,,,,,1247.2
2021,Portugal,,,,,,,1289.5
2022,Portugal,,,,,,,1362.4
2023,Portugal,,,,,,,1460.8
2004,Abrantes,Município,,,,,,800.7
2004,Águeda,Município,,,,,,740.9
2004,Aguiar da Beira,Município,,,,,,563.7
2004,Alandroal,Município,,,,,,642.4
2004,Albergaria-a-Velha,Município,,,,,,769.3
2004,Albufeira,Município,,,,,,759.8
2004,Alcácer do Sal,Município,,,,,,688.8
2004,Alcanena,Município,,,,,,740.7
2004,Alcobaça,Município,,,,,,695.1
2004,Alcochete,Município,,,,,,892.6
2004,Alcoutim,Município,,,,,,645.0
2004,Alenquer,Município,,,,,,870.7
2004,Alfândega da Fé,Município,,,,,,576.4
2004,Alijó,Município,,,,,,630.6
2004,Aljezur,Município,,,,,,593.1
2004,Aljustrel,Município,,,,,,744.6
2004,Almada,Município,,,,,,833.6
2004,Almeida,Município,,,,,,660.4
2004,Almeirim,Município,,,,,,747.5
2004,Almodôvar,Município,,,,,,614.2
2004,Alpiarça,Município,,,,,,693.8
2004,Alter do Chão,Município,,,,,,663.9
2004,Alvaiázere,Município,,,,,,653.2
2004,Alvito,Município,,,,,,702.5
2004,Amadora,Município,,,,,,1045.1
2004,Amarante,Município,,,,,,644.4
2004,Amares,Município,,,,,,626.3
2004,Anadia,Município,,,,,,725.2
2004,Angra do Heroísmo,Município,,,,,,723.4
2004,Ansião,Município,,,,,,691.4
2004,Arcos de Valdevez,Município,,,,,,623.8
2004,Arganil,Município,,,,,,627.2
2004,Armamar,Município,,,,,,582.8
2004,Arouca,Município,,,,,,566.7
2004,Arraiolos,Município,,,,,,662.6
2004,Arronches,Município,,,,,,624.4
2004,Arruda dos Vinhos,Município,,,,,,767.2
2004,Aveiro,Município,,,,,,939.6
2004,Avis,Município,,,,,,630.8
2004,Azambuja,Município,,,,,,1012.7
2004,Baião,Município,,,,,,541.9
2004,Barcelos,Município,,,,,,616.2
2004,Barrancos,Município,,,,,,612.3
2004,Barreiro,Município,,,,,,868.4
2004,Batalha,Município,,,,,,745.0
2004,Beja,Município,,,,,,790.5
2004,Belmonte,Município,,,,,,596.4
2004,Benavente,Município,,,,,,834.9
2004,Bombarral,Município,,,,,,687.6
2004,Borba,Município,,,,,,744.5
2004,Boticas,Município,,,,,,624.5
2004,Braga,Município,,,,,,746.5
2004,Bragança,Município,,,,,,684.8
2004,Cabeceiras de Basto,Município,,,,,,593.7
2004,Cadaval,Município,,,,,,670.0
2004,Caldas da Rainha,Município,,,,,,726.3
2004,Calheta [R.A.A.],Município,,,,,,588.8
2004,Calheta [R.A.M.],Município,,,,,,864.6
2004,Câmara de Lobos,Município,,,,,,782.1
2004,Caminha,Município,,,,,,688.2
2004,Campo Maior,Município,,,,,,893.6
2004,Cantanhede,Município,,,,,,763.1
2004,Carrazeda de Ansiães,Município,,,,,,621.3
2004,Carregal do Sal,Município,,,,,,684.4
2004,Cartaxo,Município,,,,,,770.7
2004,Cascais,Município,,,,,,947.6
2004,Castanheira de Pêra,Município,,,,,,636.6
2004,Castelo Branco,Município,,,,,,703.0
2004,Castelo de Paiva,Município,,,,,,586.3
2004,Castelo de Vide,Município,,,,,,628.9
2004,Castro Daire,Município,,,,,,589.2
2004,Castro Marim,Município,,,,,,706.3
2004,Castro Verde,Município,,,,,,1171.9
