iter	RMSE
0	381.7285595
1	371.5027912
2	362.1352155
3	352.7057508
4	344.4507869
5	337.0356698
6	329.2835743
7	322.2131298
8	316.0754695
9	310.0651141
10	303.936605
11	298.2089729
12	293.3530116
13	288.4486884
14	283.8213594
15	280.1269952
16	276.1507585
17	272.334997
18	268.8522117
19	265.5029654
20	262.4729751
21	259.6751432
22	256.611253
23	254.0170706
24	251.6119057
25	249.7168945
26	247.4130143
27	245.6087478
28	243.8166549
29	241.7579355
30	240.2315214
31	238.6364809
32	237.1047637
33	235.6474837
34	234.068682
35	232.7357041
36	231.6238267
37	230.4599804
38	229.4018516
39	228.3035895
40	227.4100978
41	226.5334527
42	225.5614102
43	224.4788073
44	223.451426
45	222.6371776
46	221.7567674
47	220.9398439
48	220.3014791
49	219.6192937
50	219.0848362
51	218.500474
52	217.9788004
53	217.4337622
54	216.8976766
55	216.4689435
56	215.7900697
57	215.3472189
58	214.8190498
59	214.3636688
60	213.8165746
61	213.4711326
62	213.0349669
63	212.6175938
64	212.266021
65	211.8390821
66	211.477996
67	211.1023364
68	210.6741125
69	210.1964714
70	209.8571966
71	209.393067
72	208.8520565
73	208.625333
74	208.2581894
75	207.8314418
76	207.5341666
77	207.2398621
78	206.9309695
79	206.6475086
80	206.3735939
81	206.1944385
82	205.8374185
83	205.4619535
84	205.2145091
85	204.8769758
86	204.5497498
87	204.3264127
88	204.0884023
89	203.7963263
90	203.5557108
91	203.3399104
92	203.1009294
93	202.8575149
94	202.7090102
95	202.4653661
96	202.3210673
97	201.9572183
98	201.7192268
99	201.5234787
100	201.4442059
101	201.2250545
102	200.9817807
103	200.7426741
104	200.4209472
105	200.1937272
106	199.8942749
107	199.6082123
108	199.337151
109	199.1044677
110	198.8885901
111	198.5506406
112	198.3952805
113	198.2382124
114	197.9729435
115	197.9015064
116	197.7960586
117	197.5710323
118	197.1890927
119	196.8277563
120	196.6665812
121	196.4523101
122	196.1764092
123	195.9709719
124	195.7014524
125	195.6004749
126	195.3840537
127	195.2282303
128	195.0155014
129	194.8252474
130	194.6455232
131	194.4651899
132	194.2355988
133	193.9513162
134	193.8745746
135	193.7058221
136	193.6046198
137	193.5451189
138	193.4368276
139	193.2142455
140	193.0286221
141	192.9167339
142	192.5594543
143	192.2685277
144	192.1518204
145	192.0187278
146	191.8381672
147	191.7399279
148	191.414125
149	191.3048965
150	191.1023843
151	191.0634005
152	190.9241356
153	190.7619756
154	190.4171142
155	190.145554
156	189.8412428
157	189.5156417
158	189.2102658
159	188.9424706
160	188.8260162
161	188.6292102
162	188.2958768
163	188.015063
164	187.714506
165	187.6093964
166	187.547368
167	187.4045943
168	187.315546
169	187.0244843
170	186.8760099
171	186.7130146
172	186.5698963
173	186.5025465
174	186.1932918
175	186.0572088
176	185.8369532
177	185.6049299
178	185.3768284
179	185.1417852
180	184.9133547
181	184.6753329
182	184.5017624
183	184.3034659
184	184.1981775
185	183.9690222
186	183.8514391
187	183.6878136
188	183.6215031
189	183.432136
190	183.2921094
191	183.1677133
192	182.8895985
193	182.7292371
194	182.501108
195	182.2210367
196	182.1191753
197	181.8898849
198	181.7577986
199	181.5186765
200	181.4000684
201	181.3000994
202	181.0643474
