iter	Passed	Remaining
0	144	144787
1	148	74123
2	151	50366
3	154	38508
4	158	31515
5	160	26548
6	163	23187
7	166	20689
8	169	18706
9	173	17158
10	176	15871
11	179	14777
12	182	13877
13	186	13106
14	189	12433
15	192	11835
16	195	11304
17	198	10843
18	201	10427
19	204	10044
20	207	9693
21	211	9387
22	214	9110
23	217	8862
24	221	8624
25	223	8388
26	226	8179
27	230	7991
28	233	7820
29	236	7654
30	240	7508
31	243	7366
32	246	7234
33	250	7128
34	254	7008
35	257	6905
36	260	6792
37	264	6694
38	268	6615
39	272	6531
40	275	6447
41	278	6363
42	282	6292
43	286	6235
44	291	6185
45	295	6127
46	299	6078
47	304	6029
48	311	6042
49	317	6029
50	320	5962
51	328	5991
52	334	5969
53	341	5980
54	345	5934
55	348	5872
56	351	5816
57	355	5766
58	358	5718
59	361	5669
60	365	5622
61	368	5573
62	371	5532
63	375	5496
64	379	5464
65	382	5419
66	386	5380
67	390	5346
68	394	5323
69	397	5285
70	401	5251
71	406	5233
72	410	5209
73	413	5174
74	417	5145
75	421	5118
76	425	5098
77	428	5064
78	431	5034
79	435	5010
80	438	4976
81	442	4949
82	444	4915
83	448	4885
84	451	4855
85	454	4830
86	457	4805
87	460	4774
88	464	4754
89	467	4731
90	470	4698
91	473	4676
92	476	4651
93	480	4626
94	483	4602
95	486	4582
96	489	4558
97	492	4536
98	496	4519
99	500	4501
100	503	4482
101	506	4462
102	510	4443
103	513	4425
104	516	4405
105	519	4384
106	523	4365
107	526	4347
108	529	4327
109	532	4307
110	535	4288
111	538	4267
112	541	4248
113	544	4228
114	547	4212
115	550	4193
116	553	4175
117	556	4156
118	559	4142
119	563	4129
120	566	4112
121	569	4095
122	572	4083
123	576	4070
124	579	4054
125	582	4042
126	586	4029
127	588	4012
128	592	3997
129	594	3981
130	597	3965
131	600	3950
132	603	3937
133	607	3924
134	610	3913
135	613	3899
136	616	3885
137	619	3870
138	622	3857
139	625	3845
140	628	3831
141	631	3817
142	635	3808
143	638	3795
144	641	3785
145	645	3773
146	648	3760
147	652	3756
148	656	3750
149	660	3740
150	663	3729
151	666	3718
152	670	3712
153	673	3701
154	676	3688
155	679	3676
156	683	3668
157	688	3669
158	691	3658
159	694	3647
160	698	3637
