distrito,municipio,qtd.imoveis,qtd.imoveis.T0,qtd.imoveis.T1,qtd.imoveis.T2,qtd.imoveis.T3,qtd.imoveis.T4,qtd.imoveis.T5.mais,media.valor.arrendamento,mediana.valor.arrendamento,max.valor.arrendamento,min.valor.arrendamento,sdt.valor.arrendamento,media.valor.metro.quadrado,mediana.valor.metro.quadrado,max.valor.metro.quadrado,min.valor_metro.quadrado,std.valor.metro.quadrado,media.metro.quadrado,mediana.metro.quadrado,max.metro.quadrado,min.metro.quadrado,std.metro.quadrado,valor.medio.0.Quarto,valor.medio.1.Quarto,valor.medio.2.Quartos,valor.medio.3.Quartos,valor.medio.4.Quartos,mean.>5.Quartos,valor.mediano.0.Quarto,valor.mediano.1.Quarto,valor.mediano.2.Quartos,valor.mediano.3.Quartos,valor.mediano.4.Quartos,median.>5.Quartos,media_preco_0.Quarto,media_preco_1.Quarto,media_preco_2.Quartos,media_preco_3.Quartos,media_preco_4.Quartos,media_preco_>5.Quartos
Acores,acores,"42,00","2,00","8,00","12,00","13,00","4,00","3,00","1.352,74","992,50","5.000,00","500,00","885,94","9,60","9,62","20,00","1,32","4,49","206,83","120,00","2.273,00","30,00","342,44","590,00","1.004,00","1.235,83","1.196,54","2.372,50","2.966,67","590,00","900,00","965,00","1.000,00","2.250,00","2.500,00","590,00","857,50","1.235,83","1.196,54","2.372,50","2.966,67"
Alentejo\beja,Beja,"11,00","0,00","2,00","1,00","3,00","4,00","1,00","966,36","1.000,00","1.900,00","380,00","482,64","6,89","6,76","11,36","3,51","2,77","161,27","124,00","328,00","44,00","95,94","0,00","440,00","600,00","883,33","1.150,00","1.900,00","0,00","440,00","600,00","1.000,00","1.075,00","1.900,00",nan,"440,00","600,00","883,33","1.150,00","1.900,00"
Alentejo\beja,Mértola,"8,00","0,00","6,00","1,00","1,00","0,00","0,00","1.165,62","1.225,00","1.750,00","400,00","630,61","19,57","19,74","38,89","1,37","15,28","119,12","60,00","510,00","45,00","158,64","0,00","1.329,17","650,00","700,00","0,00","0,00","0,00","1.750,00","650,00","700,00","0,00","0,00",nan,"1.329,17","650,00","700,00",nan,nan
Alentejo\beja,Odemira,"34,00","1,00","12,00","13,00","6,00","0,00","2,00","998,24","900,00","2.500,00","450,00","396,44","11,63","11,59","17,50","4,76","2,89","92,94","81,00","252,00","35,00","52,15","550,00","783,33","983,85","1.307,14","0,00","2.250,00","550,00","750,00","900,00","1.200,00","0,00","2.250,00","600,00","783,33","983,85","1.108,33",nan,"2.250,00"
Alentejo\evora,Évora,"56,00","2,00","5,00","25,00","13,00","7,00","4,00","1.267,95","1.100,00","3.500,00","600,00","529,60","11,79","11,50","19,23","3,40","3,53","117,43","100,00","280,00","43,00","56,36","800,00","900,00","1.175,00","1.373,08","1.357,14","2.050,00","740,00","900,00","1.050,00","1.200,00","1.400,00","2.050,00","940,00","840,00","1.175,00","1.373,08","1.357,14","2.050,00"
Alentejo\porta alegre,Elvas,"8,00","0,00","3,00","1,00","3,00","1,00","0,00","603,75","490,00","1.250,00","340,00","307,15","7,44","7,43","10,24","4,34","2,19","97,75","75,00","288,00","35,00","83,56","0,00","380,00","400,00","680,00","1.250,00","5.500,00","0,00","370,00","400,00","700,00","1.250,00","5.500,00",nan,"380,00","400,00","680,00","1.250,00",nan
Alentejo\santarem,Abrantes,"26,00","0,00","0,00","11,00","10,00","3,00","2,00","932,77","875,00","1.450,00","420,00","274,74","8,45","8,50","12,88","5,00","2,15","114,38","119,50","180,00","49,00","33,26","0,00","0,00","800,18","1.000,00","1.066,67","1.125,00","0,00","0,00","800,00","950,00","900,00","1.125,00",nan,nan,"800,18","1.000,00","1.066,67","1.125,00"
Alentejo\santarem,Alcanena,"9,00","0,00","0,00","4,00","5,00","0,00","0,00","705,56","750,00","900,00","450,00","133,33","7,87","7,55","11,43","4,29","2,48","98,22","100,00","175,00","45,00","36,39","0,00","500,00","650,00","750,00","0,00","0,00","0,00","500,00","675,00","750,00","0,00","0,00",nan,nan,"650,00","750,00",nan,nan
Alentejo\santarem,Almeirim,"9,00","1,00","1,00","1,00","5,00","1,00","0,00","1.177,78","900,00","2.500,00","650,00","635,47","9,62","9,68","16,25","4,00","3,54","137,56","118,00","250,00","40,00","74,47","650,00","700,00","900,00","1.170,00","2.500,00","0,00","650,00","700,00","900,00","1.000,00","2.500,00","0,00","650,00","700,00","900,00","1.170,00","2.500,00",nan
Alentejo\santarem,Entroncamento,"17,00","0,00","1,00","3,00","13,00","0,00","0,00","997,65","1.050,00","1.350,00","600,00","208,55","7,73","7,30","11,36","5,29","1,85","134,94","130,00","200,00","65,00","38,29","570,00","600,00","750,00","1.085,38","0,00","0,00","570,00","600,00","800,00","1.100,00","0,00","0,00",nan,"600,00","750,00","1.085,38",nan,nan
