;location;YEAR_MONTH;YEAR;MONTH;QUARTER;Temp_Median_Max;Temp_Median_Min;Temp_Mean_Max;Temp_Mean_Min
0;Brasil,+Sao+Paulo;202001;2020;01;1;26,0;19,0;25,94;19,06
1;Brasil,+Sao+Paulo;202002;2020;02;1;25,0;19,0;24,83;19,07
2;Brasil,+Sao+Paulo;202003;2020;03;1;26,0;17,0;25,55;17,26
3;Brasil,+Sao+Paulo;202004;2020;04;2;25,0;16,0;24,6;15,97
4;Brasil,+Sao+Paulo;202005;2020;05;2;22,0;13,0;21,97;12,9
5;Brasil,+Sao+Paulo;202006;2020;06;2;24,0;15,0;23,67;15,07
6;Brasil,+Sao+Paulo;202007;2020;07;3;25,0;15,0;25,06;14,65
7;Brasil,+Sao+Paulo;202008;2020;08;3;27,0;13,0;26,77;14,42
8;Brasil,+Sao+Paulo;202009;2020;09;3;32,5;18,5;31,47;18,57
9;Brasil,+Sao+Paulo;202010;2020;10;4;31,0;19,0;30,55;19,71
10;Brasil,+Sao+Paulo;202011;2020;11;4;27,5;18,5;27,87;17,87
11;Brasil,+Sao+Paulo;202012;2020;12;4;27,0;19,0;26,71;19,23
12;Brasil,+Sao+Paulo;202101;2021;01;1;27,0;19,0;26,42;18,97
13;Brasil,+Sao+Paulo;202102;2021;02;1;26,0;19,0;26,36;18,25
14;Brasil,+Sao+Paulo;202103;2021;03;1;26,0;18,0;26,06;18,0
15;Brasil,+Sao+Paulo;202104;2021;04;2;27,0;15,5;26,57;15,4
16;Brasil,+Sao+Paulo;202105;2021;05;2;28,0;15,0;27,03;14,94
17;Brasil,+Sao+Paulo;202106;2021;06;2;27,0;15,5;26,1;14,87
18;Brasil,+Sao+Paulo;202107;2021;07;3;27,0;12,0;26,06;12,0
19;Brasil,+Sao+Paulo;202108;2021;08;3;30,0;16,0;29,74;15,81
20;Brasil,+Sao+Paulo;202109;2021;09;3;38,0;19,0;37,63;19,53
21;Brasil,+Sao+Paulo;202110;2021;10;4;26,0;18,0;27,71;18,06
22;Brasil,+Sao+Paulo;202111;2021;11;4;29,0;18,0;28,55;17,91
23;Portugal,+Abrantes;202001;2020;01;1;14,0;6,0;13,97;6,39
24;Portugal,+Abrantes;202002;2020;02;1;18,0;8,0;18,34;8,07
25;Portugal,+Abrantes;202003;2020;03;1;18,0;8,0;18,55;8,06
26;Portugal,+Abrantes;202004;2020;04;2;19,0;9,0;18,87;9,3
27;Portugal,+Abrantes;202005;2020;05;2;28,0;13,0;26,48;13,71
28;Portugal,+Abrantes;202006;2020;06;2;26,0;13,0;26,93;13,43
29;Portugal,+Abrantes;202007;2020;07;3;36,0;17,0;36,26;17,48
30;Portugal,+Abrantes;202008;2020;08;3;31,0;15,0;31,35;15,16
31;Portugal,+Abrantes;202009;2020;09;3;28,5;16,0;30,27;15,47
32;Portugal,+Abrantes;202010;2020;10;4;21,0;12,0;21,87;11,52
33;Portugal,+Abrantes;202011;2020;11;4;18,5;10,5;18,43;11,0
34;Portugal,+Abrantes;202012;2020;12;4;13,0;7,0;13,45;6,74
35;Portugal,+Abrantes;202101;2021;01;1;12,0;3,0;12,45;4,35
36;Portugal,+Abrantes;202102;2021;02;1;16,0;8,0;15,0;8,0
37;Portugal,+Abrantes;202103;2021;03;1;19,0;7,0;19,35;7,52
38;Portugal,+Abrantes;202104;2021;04;2;20,0;10,0;20,33;10,1
39;Portugal,+Abrantes;202105;2021;05;2;25,0;11,0;24,42;10,61
40;Portugal,+Abrantes;202106;2021;06;2;30,0;13,0;28,73;13,07
41;Portugal,+Abrantes;202107;2021;07;3;31,0;14,0;31,97;14,71
42;Portugal,+Abrantes;202108;2021;08;3;33,0;14,0;34,19;14,55
43;Portugal,+Abrantes;202109;2021;09;3;29,0;15,0;28,6;15,43
44;Portugal,+Abrantes;202110;2021;10;4;27,0;14,0;26,16;14,26
45;Portugal,+Abrantes;202111;2021;11;4;19,0;9,0;19,0;8,82
46;Portugal,+Agueda;202001;2020;01;1;14,0;7,0;14,23;6,94
47;Portugal,+Agueda;202002;2020;02;1;17,0;9,0;17,9;9,45
48;Portugal,+Agueda;202003;2020;03;1;19,0;9,0;17,65;8,26
49;Portugal,+Agueda;202004;2020;04;2;18,0;9,0;18,13;9,47
50;Portugal,+Agueda;202005;2020;05;2;25,0;14,0;25,26;14,0
51;Portugal,+Agueda;202006;2020;06;2;23,5;12,5;24,03;13,07
52;Portugal,+Agueda;202007;2020;07;3;32,0;19,0;32,35;18,16
53;Portugal,+Agueda;202008;2020;08;3;27,0;15,0;27,68;15,1
54;Portugal,+Agueda;202009;2020;09;3;27,0;15,5;28,77;16,07
55;Portugal,+Agueda;202010;2020;10;4;21,0;12,0;20,9;11,74
56;Portugal,+Agueda;202011;2020;11;4;19,0;11,0;19,03;11,4
57;Portugal,+Agueda;202012;2020;12;4;13,0;6,0;13,26;6,97
58;Portugal,+Agueda;202101;2021;01;1;13,0;5,0;12,87;5,39
59;Portugal,+Agueda;202102;2021;02;1;14,0;9,0;14,75;7,96
60;Portugal,+Agueda;202103;2021;03;1;18,0;7,0;18,65;7,94
61;Portugal,+Agueda;202104;2021;04;2;21,0;10,0;20,1;10,13
62;Portugal,+Agueda;202105;2021;05;2;22,0;10,0;21,23;10,03
63;Portugal,+Agueda;202106;2021;06;2;26,0;12,0;24,77;12,87
64;Portugal,+Agueda;202107;2021;07;3;27,0;14,0;27,71;14,74
65;Portugal,+Agueda;202108;2021;08;3;30,0;15,0;29,97;14,97
66;Portugal,+Agueda;202109;2021;09;3;28,0;15,0;27,6;14,97
67;Portugal,+Agueda;202110;2021;10;4;23,0;14,0;24,29;13,52
68;Portugal,+Agueda;202111;2021;11;4;18,0;10,0;19,09;9,09
69;Portugal,+Aguiar+da+Beira;202001;2020;01;1;11,0;5,0;11,35;4,9
70;Portugal,+Aguiar+da+Beira;202002;2020;02;1;15,0;7,0;15,83;7,03
71;Portugal,+Aguiar+da+Beira;202003;2020;03;1;16,0;6,0;15,77;6,03
72;Portugal,+Aguiar+da+Beira;202004;2020;04;2;16,0;8,0;16,27;7,9
73;Portugal,+Aguiar+da+Beira;202005;2020;05;2;26,0;13,0;24,35;12,94
74;Portugal,+Aguiar+da+Beira;202006;2020;06;2;23,5;11,5;24,23;12,6
75;Portugal,+Aguiar+da+Beira;202007;2020;07;3;35,0;19,0;34,35;18,16
76;Portugal,+Aguiar+da+Beira;202008;2020;08;3;29,0;15,0;28,9;14,9
77;Portugal,+Aguiar+da+Beira;202009;2020;09;3;27,0;14,0;27,3;14,77
78;Portugal,+Aguiar+da+Beira;202010;2020;10;4;19,0;9,0;18,48;9,58
79;Portugal,+Aguiar+da+Beira;202011;2020;11;4;15,0;9,0;15,83;9,23
80;Portugal,+Aguiar+da+Beira;202012;2020;12;4;10,0;4,0;9,97;4,29
81;Portugal,+Aguiar+da+Beira;202101;2021;01;1;10,0;1,0;10,23;2,84
82;Portugal,+Aguiar+da+Beira;202102;2021;02;1;12,0;6,0;12,04;5,43
83;Portugal,+Aguiar+da+Beira;202103;2021;03;1;16,0;6,0;16,68;5,87
84;Portugal,+Aguiar+da+Beira;202104;2021;04;2;19,0;8,5;18,03;8,2
85;Portugal,+Aguiar+da+Beira;202105;2021;05;2;21,0;9,0;20,84;9,23
86;Portugal,+Aguiar+da+Beira;202106;2021;06;2;27,0;13,0;25,33;13,17
87;Portugal,+Aguiar+da+Beira;202107;2021;07;3;30,0;14,0;29,65;14,39
88;Portugal,+Aguiar+da+Beira;202108;2021;08;3;32,0;15,0;32,23;14,74
89;Portugal,+Aguiar+da+Beira;202109;2021;09;3;26,0;14,0;26,07;13,97
90;Portugal,+Aguiar+da+Beira;202110;2021;10;4;22,0;12,0;22,26;11,84
91;Portugal,+Aguiar+da+Beira;202111;2021;11;4;15,0;8,0;16,27;6,55
92;Portugal,+Alandroal;202001;2020;01;1;13,0;6,0;13,58;6,52
93;Portugal,+Alandroal;202002;2020;02;1;18,0;8,0;17,59;8,07
94;Portugal,+Alandroal;202003;2020;03;1;17,0;7,0;17,42;7,42
95;Portugal,+Alandroal;202004;2020;04;2;19,0;9,5;18,3;9,5
96;Portugal,+Alandroal;202005;2020;05;2;27,0;14,0;26,06;13,61
97;Portugal,+Alandroal;202006;2020;06;2;26,5;13,5;28,1;13,6
98;Portugal,+Alandroal;202007;2020;07;3;37,0;19,0;37,06;18,32
99;Portugal,+Alandroal;202008;2020;08;3;34,0;16,0;33,29;15,74
100;Portugal,+Alandroal;202009;2020;09;3;29,0;17,0;30,0;16,37
101;Portugal,+Alandroal;202010;2020;10;4;23,0;12,0;22,58;12,13
102;Portugal,+Alandroal;202011;2020;11;4;18,5;11,5;18,5;11,47
103;Portugal,+Alandroal;202012;2020;12;4;14,0;7,0;13,48;7,35
104;Portugal,+Alandroal;202101;2021;01;1;12,0;3,0;11,9;4,48
105;Portugal,+Alandroal;202102;2021;02;1;15,5;8,0;14,61;7,86
106;Portugal,+Alandroal;202103;2021;03;1;17,0;7,0;17,52;7,03
107;Portugal,+Alandroal;202104;2021;04;2;20,5;10,0;19,97;9,5
108;Portugal,+Alandroal;202105;2021;05;2;25,0;10,0;25,39;10,68
109;Portugal,+Alandroal;202106;2021;06;2;30,5;14,0;29,67;13,93
110;Portugal,+Alandroal;202107;2021;07;3;34,0;15,0;34,1;15,55
111;Portugal,+Alandroal;202108;2021;08;3;34,0;16,0;35,26;16,1
112;Portugal,+Alandroal;202109;2021;09;3;29,5;16,0;29,4;16,47
113;Portugal,+Alandroal;202110;2021;10;4;27,0;15,0;26,9;15,0
114;Portugal,+Alandroal;202111;2021;11;4;18,0;9,0;18,64;9,0
115;Portugal,+Albergaria-a-Velha;202001;2020;01;1;14,0;7,0;14,23;6,94
116;Portugal,+Albergaria-a-Velha;202002;2020;02;1;17,0;9,0;17,9;9,45
117;Portugal,+Albergaria-a-Velha;202003;2020;03;1;19,0;9,0;17,65;8,26
118;Portugal,+Albergaria-a-Velha;202004;2020;04;2;18,0;9,0;18,13;9,47
119;Portugal,+Albergaria-a-Velha;202005;2020;05;2;25,0;14,0;25,26;14,0
120;Portugal,+Albergaria-a-Velha;202006;2020;06;2;23,5;12,5;24,03;13,07
121;Portugal,+Albergaria-a-Velha;202007;2020;07;3;32,0;19,0;32,35;18,16
122;Portugal,+Albergaria-a-Velha;202008;2020;08;3;27,0;15,0;27,68;15,1
123;Portugal,+Albergaria-a-Velha;202009;2020;09;3;27,0;15,5;28,77;16,07
124;Portugal,+Albergaria-a-Velha;202010;2020;10;4;21,0;12,0;20,9;11,74
125;Portugal,+Albergaria-a-Velha;202011;2020;11;4;19,0;11,0;19,03;11,4
126;Portugal,+Albergaria-a-Velha;202012;2020;12;4;13,0;6,0;13,26;6,97
127;Portugal,+Albergaria-a-Velha;202101;2021;01;1;13,0;5,0;12,87;5,39
128;Portugal,+Albergaria-a-Velha;202102;2021;02;1;14,0;9,0;14,75;7,96
129;Portugal,+Albergaria-a-Velha;202103;2021;03;1;18,0;7,0;18,65;7,94
130;Portugal,+Albergaria-a-Velha;202104;2021;04;2;21,0;10,0;20,1;10,13
131;Portugal,+Albergaria-a-Velha;202105;2021;05;2;22,0;10,0;21,23;10,03
132;Portugal,+Albergaria-a-Velha;202106;2021;06;2;26,0;12,0;24,77;12,87
133;Portugal,+Albergaria-a-Velha;202107;2021;07;3;27,0;14,0;27,71;14,74
134;Portugal,+Albergaria-a-Velha;202108;2021;08;3;30,0;15,0;29,97;14,97
135;Portugal,+Albergaria-a-Velha;202109;2021;09;3;28,0;15,0;27,6;14,97
136;Portugal,+Albergaria-a-Velha;202110;2021;10;4;23,0;14,0;24,29;13,52
137;Portugal,+Albergaria-a-Velha;202111;2021;11;4;18,0;10,0;19,09;9,09
138;Portugal,+Albufeira;202001;2020;01;1;15,0;10,0;15,29;10,35
