;location;202001;202002;202003;202004;202005;202006;202007;202008;202009;202010;202011;202012;202101;202102;202103;202104;202105;202106;202107;202108;202109;202110;202111
0;Brasil,+Sao+Paulo;26,0;25,0;26,0;25,0;22,0;24,0;25,0;27,0;32,5;31,0;27,5;27,0;27,0;26,0;26,0;27,0;28,0;27,0;27,0;30,0;38,0;26,0;29,0
1;Portugal,+Abrantes;14,0;18,0;18,0;19,0;28,0;26,0;36,0;31,0;28,5;21,0;18,5;13,0;12,0;16,0;19,0;20,0;25,0;30,0;31,0;33,0;29,0;27,0;19,0
2;Portugal,+Agueda;14,0;17,0;19,0;18,0;25,0;23,5;32,0;27,0;27,0;21,0;19,0;13,0;13,0;14,0;18,0;21,0;22,0;26,0;27,0;30,0;28,0;23,0;18,0
3;Portugal,+Aguiar+da+Beira;11,0;15,0;16,0;16,0;26,0;23,5;35,0;29,0;27,0;19,0;15,0;10,0;10,0;12,0;16,0;19,0;21,0;27,0;30,0;32,0;26,0;22,0;15,0
4;Portugal,+Alandroal;13,0;18,0;17,0;19,0;27,0;26,5;37,0;34,0;29,0;23,0;18,5;14,0;12,0;15,5;17,0;20,5;25,0;30,5;34,0;34,0;29,5;27,0;18,0
5;Portugal,+Albergaria-a-Velha;14,0;17,0;19,0;18,0;25,0;23,5;32,0;27,0;27,0;21,0;19,0;13,0;13,0;14,0;18,0;21,0;22,0;26,0;27,0;30,0;28,0;23,0;18,0
6;Portugal,+Albufeira;15,0;18,0;17,0;18,0;23,0;25,0;28,0;28,0;25,0;21,0;19,0;15,0;14,0;16,0;17,0;19,0;24,0;25,0;28,0;29,0;28,5;25,0;20,0
7;Portugal,+Alcacer+do+Sal;14,0;17,0;17,0;18,0;25,0;23,0;29,0;27,0;24,0;21,0;19,0;15,0;13,0;15,5;17,0;19,0;23,0;25,0;28,0;28,0;27,5;26,0;20,0
8;Portugal,+Alcanena;14,0;18,0;18,0;18,5;27,0;25,0;36,0;29,0;28,0;22,0;18,5;14,0;13,0;16,0;18,0;20,5;23,0;28,0;30,0;32,0;30,0;25,0;20,0
9;Portugal,+Alcobaca;14,0;16,0;16,0;16,0;21,0;20,0;26,0;22,0;24,0;19,0;18,0;13,0;12,0;14,5;16,0;18,5;19,0;21,0;22,0;24,0;24,0;22,0;19,0
10;Portugal,+Alcochete;14,0;18,0;18,0;18,0;24,0;23,0;29,0;26,0;24,5;21,0;19,0;15,0;14,0;16,0;17,0;19,5;23,0;25,0;27,0;28,0;28,0;25,0;20,0
11;Portugal,+Alcoutim;15,0;18,0;18,0;19,0;24,0;25,0;30,0;29,0;26,0;22,0;19,0;16,0;14,0;16,0;18,0;19,0;24,0;26,0;29,0;29,0;29,0;26,0;21,0
12;Portugal,+Alenquer;14,0;18,0;17,0;18,0;24,0;23,0;32,0;27,0;25,5;20,0;18,0;14,0;13,0;16,0;17,0;20,0;22,0;26,0;27,0;29,0;28,5;25,0;20,0
13;Portugal,+Alentejo+Central;11,0;14,0;16,0;17,0;26,0;24,0;35,0;30,0;27,0;17,0;15,0;9,0;10,0;12,0;16,0;19,0;21,0;26,5;29,0;31,0;25,0;21,0;14,0
14;Portugal,+Alentejo+Litoral;11,0;14,0;16,0;17,0;26,0;24,0;35,0;30,0;27,0;17,0;15,0;9,0;10,0;12,0;16,0;19,0;21,0;26,5;29,0;31,0;25,0;21,0;14,0
15;Portugal,+Alfandega+da+Fe;9,0;14,0;15,0;16,5;26,0;24,0;34,0;30,0;25,5;17,0;14,5;8,0;8,0;11,5;15,0;17,0;21,0;25,5;30,0;32,0;24,0;21,0;14,0
16;Portugal,+Algarve;15,0;17,0;17,0;18,0;21,0;22,5;26,0;26,0;24,0;21,0;19,0;16,0;13,0;16,0;16,0;18,0;21,0;22,5;25,0;25,0;25,5;24,0;21,0
17;Portugal,+Alijo;10,0;14,0;16,0;17,0;26,0;24,0;34,0;29,0;27,0;17,0;15,0;10,0;9,0;12,0;16,0;17,0;20,0;26,0;29,0;31,0;25,0;20,0;14,0
18;Portugal,+Aljezur;13,0;17,0;16,0;17,0;24,0;23,0;30,0;28,0;24,5;20,0;17,5;13,0;12,0;14,5;16,0;18,0;22,0;24,5;28,0;29,0;28,0;25,0;19,0
19;Portugal,+Aljustrel;14,0;17,0;17,0;17,0;25,0;23,0;34,0;27,0;26,5;20,0;18,0;13,0;12,0;15,0;18,0;20,0;22,0;26,0;28,0;30,0;29,0;24,0;18,0
20;Portugal,+Almada;16,0;18,0;17,0;18,0;24,0;23,0;28,0;26,0;24,0;21,0;19,0;15,0;14,0;16,0;17,0;19,0;22,0;24,0;26,0;27,0;27,0;25,0;19,0
21;Portugal,+Almeida;8,0;13,0;14,0;14,0;23,0;21,5;33,0;29,0;24,5;16,0;13,0;8,0;7,0;10,0;14,0;15,5;19,0;25,0;28,0;31,0;24,0;21,0;13,0
22;Portugal,+Almeirim;14,0;18,0;18,0;18,5;26,0;24,0;35,0;29,0;27,5;22,0;19,0;14,0;13,0;17,0;18,0;20,5;23,0;28,0;29,0;31,0;29,0;26,0;20,0
23;Portugal,+Almodovar;14,0;18,0;16,0;18,0;23,0;25,0;29,0;29,0;25,0;21,0;18,0;14,0;13,0;15,5;17,0;19,0;24,0;26,0;29,0;30,0;29,0;25,0;21,0
24;Portugal,+Alpiarca;14,0;18,0;18,0;18,5;26,0;24,0;35,0;29,0;27,5;22,0;19,0;14,0;13,0;17,0;18,0;20,5;23,0;28,0;29,0;31,0;29,0;26,0;20,0
25;Portugal,+Alter+do+Chao;11,0;15,0;15,0;16,0;26,0;25,5;36,0;32,0;27,0;20,0;16,0;11,0;10,0;12,5;15,0;17,5;23,0;28,5;32,0;33,0;27,0;25,0;16,0
26;Portugal,+Alto+Alentejo;11,0;14,0;16,0;17,0;26,0;24,0;35,0;30,0;27,0;17,0;15,0;9,0;10,0;12,0;16,0;19,0;21,0;26,5;29,0;31,0;25,0;21,0;14,0
27;Portugal,+Alto+Tamega;11,0;14,0;16,0;17,0;26,0;24,0;35,0;30,0;27,0;17,0;15,0;9,0;10,0;12,0;16,0;19,0;21,0;26,5;29,0;31,0;25,0;21,0;14,0
28;Portugal,+Alvaiazere;14,0;18,0;18,0;18,0;25,0;23,0;31,0;26,0;26,0;21,0;19,0;13,0;13,0;16,0;18,0;20,0;22,0;25,5;26,0;28,0;27,5;24,0;18,0
29;Portugal,+Alvito;14,0;18,0;18,0;18,0;25,0;23,0;31,0;26,0;26,0;21,0;19,0;13,0;13,0;16,0;18,0;20,0;22,0;25,5;26,0;28,0;27,5;24,0;18,0
30;Portugal,+Amadora;15,0;18,0;17,0;18,0;25,0;23,0;30,0;26,0;24,0;21,0;19,0;15,0;14,0;16,0;17,0;19,0;22,0;23,5;26,0;27,0;28,0;25,0;20,0
31;Portugal,+Amarante;13,0;16,0;18,0;18,0;27,0;24,5;36,0;30,0;28,5;19,0;18,0;11,0;12,0;13,0;19,0;19,5;21,0;27,5;30,0;32,0;28,0;23,0;17,0
32;Portugal,+Amares;13,0;15,0;16,0;17,0;26,0;24,0;33,0;29,0;26,0;17,0;15,0;10,0;10,0;13,0;17,0;19,0;20,0;26,0;29,0;31,0;27,0;22,0;16,0
33;Portugal,+Anadia;14,0;17,0;19,0;18,0;25,0;23,5;32,0;27,0;27,0;21,0;19,0;13,0;13,0;14,0;18,0;21,0;22,0;26,0;27,0;30,0;28,0;23,0;18,0
34;Portugal,+Angra+do+Heroismo;16,0;16,0;15,0;16,0;17,0;18,0;21,0;23,0;21,0;20,0;16,0;15,0;16,0;14,0;15,0;16,0;18,0;20,0;22,0;23,0;22,0;21,0;20,0
35;Portugal,+Arcos+de+Valdevez;13,0;16,0;18,0;17,0;25,0;23,0;33,0;27,0;26,5;18,0;17,0;12,0;12,0;13,0;17,0;19,0;20,0;25,0;28,0;31,0;27,0;22,0;18,0
36;Portugal,+Area+Metropolitana+de+Lisboa;15,0;17,0;17,0;18,0;24,0;22,5;29,0;25,0;24,0;20,0;19,0;15,0;14,0;16,0;17,0;19,0;22,0;24,0;25,0;27,0;27,0;25,0;20,0
37;Portugal,+Area+Metropolitana+do+Porto;13,0;16,0;16,0;17,0;22,0;20,0;27,0;23,0;23,0;18,0;18,0;13,0;13,0;14,0;17,0;18,0;18,0;20,5;22,0;23,0;23,0;22,0;17,0
38;Portugal,+Arganil;14,0;18,0;18,0;19,0;28,0;26,0;36,0;31,0;28,5;21,0;18,5;13,0;12,0;16,0;19,0;20,0;25,0;30,0;31,0;33,0;29,0;27,0;19,0
39;Portugal,+Armamar;10,0;14,0;16,0;17,0;26,0;24,0;34,0;29,0;27,0;17,0;15,0;10,0;9,0;12,0;16,0;17,0;20,0;26,0;29,0;31,0;25,0;20,0;14,0
40;Portugal,+Arouca;15,0;18,0;17,0;18,0;23,0;24,0;28,0;28,0;25,0;22,0;19,0;15,0;14,0;16,0;17,0;19,0;23,0;25,0;28,0;28,0;28,0;25,0;21,0
41;Portugal,+Arraiolos;14,0;18,0;18,0;19,0;27,0;26,0;37,0;33,0;29,0;23,0;20,0;14,0;13,0;16,0;18,0;21,0;25,0;30,0;33,0;34,0;30,0;28,0;19,0
42;Portugal,+Arronches;11,0;15,0;15,0;16,0;26,0;25,5;36,0;32,0;27,0;20,0;16,0;11,0;10,0;12,5;15,0;17,5;23,0;28,5;32,0;33,0;27,0;25,0;16,0
