;Regiao;Cidades;Distance_Lisboa;Distance_Porto;duration_hours_driving_lisboa, Portugal;distance_drivingdriving_lisboa, Portugal;duration_hours_driving_porto, Portugal;distance_drivingdriving_porto, Portugal;RANKING
149;Centro;Leiria;118.48706402973097;156.97505975810793;1.5;147.3;1.7;184.3;55
115;Centro;Aveiro;218.5501265454706;56.63644041588613;2.5;255.3;0.8;76.0;55
110;Centro;Torres Vedras;46.29587032071757;233.44144296884886;0.8;50.3;2.5;274.2;54
126;Centro;Coimbra;177.66495459348874;105.31299313005489;2.0;204.4;1.3;126.0;53
104;Centro;Caldas da Rainha;77.65197129030541;198.5199039491831;1.1;92.6;2.1;230.6;53
167;Centro;Viseu;240.54277443680277;80.20665868371059;3.0;300.6;1.3;130.0;53
128;Centro;Figueira da Foz;161.78450472751916;113.05681629376276;2.0;197.3;1.4;139.8;53
150;Centro;Marinha Grande;117.03426411367157;157.7836625374687;1.6;136.8;1.9;193.4;52
120;Centro;Ovar;241.04623581957142;33.865911289316315;2.7;284.2;0.5;39.1;51
99;Centro;Alcobaça;94.73674247968053;180.0894350440078;1.4;120.4;2.0;213.0;50
117;Centro;Ílhavo;213.93970697415668;61.18663352484839;2.5;249.7;0.9;82.0;49
100;Centro;Alenquer;40.31523295036212;234.8289150094661;0.7;47.1;2.5;281.1;49
112;Centro;Águeda;216.04813537943107;64.94891263523873;2.6;256.5;0.9;78.6;49
183;Centro;Ourém;115.83060576218479;165.76978141683819;1.6;137.7;2.0;205.7;49
170;Centro;Castelo Branco;202.69503669325246;163.35920093204635;2.2;225.3;2.6;259.3;48
125;Centro;Cantanhede;188.58735840910836;87.15088922519973;2.2;222.4;1.1;108.1;48
194;Centro;Covilhã;224.06049702138992;134.3511068337547;2.8;278.4;2.5;249.6;48
152;Centro;Pombal;141.15197900318043;136.9555941287996;1.7;170.2;1.5;159.8;48
113;Centro;Albergaria-a-Velha;227.26581127810476;52.138167248464626;2.5;265.9;0.8;67.1;48
199;Centro;Guarda;277.24625194335033;129.0662300437058;3.0;314.3;2.0;201.6;47
187;Centro;Torres Novas;100.05321708930532;185.5180468240108;1.3;114.7;2.0;223.5;46
165;Centro;Tondela;221.01294828248479;77.89695198409939;2.6;266.5;1.4;127.3;45
186;Centro;Tomar;117.39766622814031;172.45047886603936;1.5;139.3;1.9;199.6;45
116;Centro;Estarreja;232.14131728098803;44.23060161146424;2.6;272.7;0.6;53.2;45
119;Centro;Oliveira do Bairro;208.00264947304794;71.28509322741222;2.4;252.0;0.9;82.9;44
114;Centro;Anadia;201.80895112195176;79.86131168473224;2.3;230.8;1.1;94.2;43
197;Centro;Fundão;210.5963765639558;146.9497304216278;2.5;262.4;2.5;259.3;43
177;Centro;Abrantes;116.77820484785828;190.51245996394857;1.5;144.6;2.2;235.8;43
105;Centro;Lourinhã;60.887503978112285;218.7061232817412;1.0;70.8;2.5;266.7;42
108;Centro;Peniche;75.08630422691515;209.58712427486842;1.3;102.5;2.5;262.7;42
131;Centro;Mealhada;191.44893230332906;90.1005640053632;2.1;222.8;1.0;101.3;40
153;Centro;Porto de Mós;103.05648138704564;172.6914521582184;1.5;118.5;1.9;204.5;39
122;Centro;Vagos;208.67145436051348;66.40130142884492;2.4;239.4;0.9;87.1;39
180;Centro;Entroncamento;102.05616742727904;187.4102599986868;1.3;119.7;2.0;216.9;39
146;Centro;Batalha;108.88199970886274;166.61141088324877;1.6;145.7;1.8;196.2;39
101;Centro;Arruda dos Vinhos;30.985184026680397;243.8240582351807;0.6;37.0;2.6;290.2;38
136;Centro;Oliveira do Hospital;215.69634034535397;106.61753268373246;2.9;279.4;2.0;181.5;38
134;Centro;Montemor-o-Velho;167.22669236161323;108.65428258576179;2.0;201.4;1.3;134.5;38
178;Centro;Alcanena;94.37246055367305;185.40814888074243;1.2;110.2;2.0;219.1;36
204;Centro;Seia;226.542235249967;111.50628249508688;3.1;293.6;2.0;163.3;36
106;Centro;Nazaré;99.545045214481;176.10515915675487;1.4;121.7;2.0;214.3;36
158;Centro;Mangualde;241.1307831901378;93.54492719849759;3.0;292.1;1.4;142.3;36
130;Centro;Lousã;175.93152028314827;117.82539721926901;2.2;209.9;1.6;157.7;35
159;Centro;Nelas;229.0681936899294;94.406843931169;2.8;280.9;1.5;140.5;35
127;Centro;Condeixa-a-Nova;165.61594232831303;115.21649971875266;1.9;194.2;1.2;128.2;35
107;Centro;Óbidos;72.64865752718285;203.85183089711404;1.1;85.2;2.3;240.7;33
160;Centro;Oliveira de Frades;239.4462122965659;59.164870633196294;2.8;297.2;1.1;98.4;33
109;Centro;Sobral de Monte Agraço;34.505477169348225;241.08334085489818;0.8;45.5;2.7;285.8;33
185;Centro;Sertã;151.34236656832843;155.50965697224285;2.1;189.8;1.9;194.7;32
145;Centro;Ansião;146.65386617683671;138.27714486048686;1.9;186.0;1.6;169.1;32
157;Centro;Castro Daire;264.52823879140533;63.44854437853289;3.2;322.2;1.6;151.6;32
133;Centro;Miranda do Corvo;168.7445039653123;119.51032585747471;2.0;198.6;1.4;146.4;31
141;Centro;Tábua;206.728959668138;100.48869188178908;2.6;260.0;1.7;162.2;31
140;Centro;Soure;156.3796318882565;121.04186837895048;1.8;183.2;1.4;143.1;31
198;Centro;Gouveia;238.7522246434204;112.10833838049281;3.4;312.4;1.9;168.5;31
121;Centro;Sever do Vouga;234.1850145620564;50.515564929517325;2.8;279.8;1.0;71.3;31
118;Centro;Murtosa;229.29285885346422;45.887911996775635;2.7;278.5;0.7;59.0;30
103;Centro;Cadaval;59.391256889948515;215.52407018239708;1.0;75.2;2.4;256.5;30
179;Centro;Constância;109.66925330536947;187.36345609869588;1.4;130.7;2.1;221.9;29
163;Centro;São Pedro do Sul;252.02779435012067;55.36405233278709;3.1;311.0;1.3;112.2;29
203;Centro;Sabugal;259.986844753363;155.6225138995643;3.3;322.2;2.5;233.9;29
175;Centro;Vila Velha de Ródão;164.48305597400034;184.1229468112882;2.0;207.3;2.4;241.3;28
102;Centro;Bombarral;62.09110526560094;214.18014211978613;1.0;73.1;2.3;249.6;28
171;Centro;Idanha-a-Nova;217.44964916773452;189.8703231731648;2.7;264.6;3.0;306.6;28
205;Centro;Trancoso;278.4075421504547;113.77678888103574;3.4;352.3;2.0;201.0;28
138;Centro;Penacova;188.43555360075356;101.53566182887144;2.2;229.1;1.3;131.2;28
124;Centro;Arganil;195.1703569651576;116.1218654677935;2.6;258.9;1.7;161.0;28
135;Centro;Mortágua;203.15758171685553;89.54284620390507;2.5;249.2;1.4;124.4;28
144;Centro;Alvaiázere;138.42221761404966;149.11086089856315;1.7;168.7;1.6;172.1;27
156;Centro;Carregal do Sal;214.92607603629108;94.62555994825821;2.6;263.2;1.7;154.5;27
168;Centro;Vouzela;234.33290583074205;65.48312531368515;2.9;303.6;1.1;104.7;26
181;Centro;Ferreira do Zêzere;131.58775379927076;163.94834080827428;1.6;151.7;1.8;186.5;26
142;Centro;Vila Nova de Poiares;183.24517479851212;108.4783638339622;2.3;219.9;1.5;141.7;26
148;Centro;Figueiró dos Vinhos;152.0227942478803;141.36007191033409;1.9;184.3;1.6;168.7;26
173;Centro;Penamacor;236.84785994721338;163.10936357111638;2.9;276.0;2.8;265.1;26
164;Centro;Sátão;255.94138784361957;86.57934620076938;3.3;316.3;1.6;146.1;26
151;Centro;Pedrógão Grande;159.14406177345856;142.42433340598063;2.0;193.3;1.7;177.7;25
202;Centro;Pinhel;288.5699812227779;133.39413451567432;3.3;346.1;2.2;215.3;25
147;Centro;Castanheira de Pêra;164.69123226776935;131.58688971070734;2.0;193.8;1.8;178.2;25
132;Centro;Mira;195.83099386858396;78.99822131835123;2.2;226.4;1.0;98.8;25
129;Centro;Góis;183.34678961735855;118.31528749361084;2.5;226.1;1.8;161.4;25
174;Centro;Proença-a-Nova;157.18622672476613;171.17884992131778;2.1;216.2;2.1;210.5;25
189;Centro;Vila Nova da Barquinha;105.65754903760656;185.5700495110844;1.4;125.8;2.1;216.8;25
191;Centro;Almeida;294.57393055522994;150.9978197043277;3.4;355.5;2.3;236.6;25
193;Centro;Celorico da Beira;261.16439277049074;117.41749755150335;3.2;342.9;1.7;176.0;24
200;Centro;Manteigas;232.6551606311908;122.77644705209364;3.3;315.2;2.6;196.5;24
139;Centro;Penela;163.22563802458512;122.26912634074549;1.9;187.8;1.5;149.6;24
192;Centro;Belmonte;237.69239205125822;141.25847114735086;2.8;291.2;2.2;226.8;24
188;Centro;Vila de Rei;137.49219591973232;168.3411774868387;1.8;169.8;2.1;204.9;24
166;Centro;Vila Nova de Paiva;266.2403805563284;78.92560033768343;3.4;327.3;1.8;157.0;24
182;Centro;Mação;136.27147017811816;184.64031441022968;1.9;175.6;2.5;225.1;24
161;Centro;Penalva do Castelo;250.71387400440338;93.12102389281769;3.3;323.4;1.7;158.4;24
162;Centro;Santa Comba Dão;207.42396295522224;93.36285941206378;2.5;255.5;1.6;133.4;24
195;Centro;Figueira de Castelo Rodrigo;306.19345752581495;141.3988253375597;3.7;377.4;2.6;258.6;23
