;location;RANKING
169;Portugal,+Mertola;69
260;Portugal,+Santana;69
55;Portugal,+Beja;69
41;Portugal,+Arraiolos;69
82;Portugal,+Castro+Verde;69
306;Portugal,+Vendas+Novas;69
95;Portugal,+Cuba;69
107;Portugal,+Ferreira+do+Alentejo;69
183;Portugal,+Montemor-o-Novo;69
188;Portugal,+Moura;69
275;Portugal,+Serpa;69
98;Portugal,+Entroncamento;68
119;Portugal,+Golega;68
53;Portugal,+Beira+Baixa;68
8;Portugal,+Alcanena;68
314;Portugal,+Vila+Nova+da+Barquinha;68
296;Portugal,+Torres+Novas;68
24;Portugal,+Alpiarca;67
74;Portugal,+Cartaxo;67
91;Portugal,+Coruche;67
292;Portugal,+Terras+de+Tras-os-Montes;67
261;Portugal,+Santarem;67
22;Portugal,+Almeirim;67
146;Portugal,+Leziria+do+Tejo;66
153;Portugal,+Macao;66
229;Portugal,+Ponte+de+Sor;66
38;Portugal,+Arganil;66
1;Portugal,+Abrantes;66
90;Portugal,+Constancia;66
50;Portugal,+Barrancos;65
293;Portugal,+Tomar;64
276;Portugal,+Serta;64
108;Portugal,+Ferreira+do+Zezere;64
70;Portugal,+Campo+Maior;64
97;Portugal,+Elvas;64
103;Portugal,+Evora;62
102;Portugal,+Estremoz;62
245;Portugal,+Reguengos+de+Monsaraz;62
285;Portugal,+Sousel;62
4;Portugal,+Alandroal;62
134;Portugal,+Ilha+de+Sao+Miguel;62
307;Portugal,+Viana+do+Alentejo;62
231;Portugal,+Portel;62
130;Portugal,+Ilha+das+Flores;61
0;Brasil,+Sao+Paulo;60
243;Portugal,+Regiao+de+Coimbra;59
54;Portugal,+Beiras+e+Serra+da+Estrela;59
88;Portugal,+Coimbra;59
89;Portugal,+Condeixa-a-Nova;59
311;Portugal,+Vila+Flor;59
118;Portugal,+Gois;59
290;Portugal,+Tavira;59
76;Portugal,+Castanheira+de+Pera;59
172;Portugal,+Miranda+do+Corvo;59
177;Portugal,+Moita;59
181;Portugal,+Monforte;59
11;Portugal,+Alcoutim;59
211;Portugal,+Pampilhosa+da+Serra;59
214;Portugal,+Pedrogao+Grande;59
220;Portugal,+Penela;59
81;Portugal,+Castro+Marim;59
117;Portugal,+Gaviao;58
148;Portugal,+Loule;55
23;Portugal,+Almodovar;55
135;Portugal,+Ilha+do+Corvo;55
224;Portugal,+Pombal;55
45;Portugal,+Avis;55
6;Portugal,+Albufeira;54
240;Portugal,+Proenca-a-Nova;54
40;Portugal,+Arouca;54
126;Portugal,+Idanha-a-Nova;54
139;Portugal,+Lagoa;54
140;Portugal,+Lagoa+[R.A.A.];54
280;Portugal,+Silves;54
77;Portugal,+Castelo+Branco;54
