;Regiao;Cidades;Distance_Lisboa;Distance_Porto;duration_hours_driving_lisboa, Portugal;distance_drivingdriving_lisboa, Portugal;duration_hours_driving_porto, Portugal;distance_drivingdriving_porto, Portugal;RANKING
343;Região Autónoma da Madeira;Funchal;972.3241387657314;1197.3712006834903;0.5;16.5;0.5;16.5;52
348;Região Autónoma da Madeira;Santa Cruz;961.4728714069829;1187.1451460075446;1.1;68.9;2.7;283.9;50
342;Região Autónoma da Madeira;Câmara de Lobos;976.8529800883324;1201.1989909446481;0.5;21.0;0.5;21.0;47
344;Região Autónoma da Madeira;Machico;957.1805101248765;1182.9779445436563;0.8;40.3;0.8;40.3;41
341;Região Autónoma da Madeira;Calheta [R.A.M.];;;0.9;47.2;0.9;47.2;40
347;Região Autónoma da Madeira;Ribeira Brava;980.96795580159;1204.145299226088;0.7;31.0;0.7;31.0;37
345;Região Autónoma da Madeira;Ponta do Sol;982.6841324534895;1205.3308795115524;0.7;35.6;0.7;35.6;35
352;Região Autónoma da Madeira;Porto Santo;901.8993319362173;1128.7084807099172;;;;;34
346;Região Autónoma da Madeira;Porto Moniz;972.3879424667416;1192.31760857122;1.2;61.0;1.2;61.0;28
350;Região Autónoma da Madeira;São Vicente;969.4199692262625;1191.3546391191292;0.9;45.6;0.9;45.6;28
349;Região Autónoma da Madeira;Santana;958.2269459858901;1181.9147384164119;1.0;56.0;1.0;56.0;27
